"Protein","Active_over_Control_mean","Inactive_over_Control_mean","Difference"
"TOIP1.Nuclear_9039.47",0.621933179360568,0.43798419599652,0.183948983364048
"VNN2_7012.35",0.696231680350344,0.559067518429612,0.137164161920732
"P.Cadherin_2643.57",0.889439544670777,0.76685477071029,0.122584773960487
"GATD1_22154.37",0.555516763410848,0.453080190434829,0.102436572976019
"STAP1_12510.3",0.474087818036816,0.392559491698542,0.081528326338274
"PRRP_6543.182",0.542178329521827,0.492555553390877,0.04962277613095
"Prolactin.Receptor_5114.65",0.45527607323162,0.407268415699673,0.048007657531947
"LRFN4_21696.80",0.155156154844302,0.115268070386908,0.039888084457394
"LIRB5_7015.8",0.955175040475834,0.916614464692927,0.0385605757829071
"TRAIL.R4_14121.24",0.391847595183135,0.353702436679505,0.03814515850363
"SELM_15336.7",0.790719845624252,0.755527049406579,0.035192796217673
"GLDN_20591.48",0.423676710552804,0.394098444329375,0.029578266223429
"Protein.S_2700.56",0.631488006465,0.604914426351504,0.026573580113496
"IL.5_3741.4",0.396885846816646,0.371769726136925,0.025116120679721
"ST4S6_4469.78",0.611746144944688,0.588309817355695,0.0234363275889931
"WFDC5_6969.14",0.264425198316939,0.244577208164966,0.019847990151973
"GPR37_21495.134",0.69921746073185,0.683820189249303,0.015397271482547
"KREM1_17331.138",0.313324058785838,0.299159553728345,0.014164505057493
"MUCDL_9962.1",0.226723781203518,0.213108381795803,0.013615399407715
"ST4S6_14097.86",0.438451319658223,0.430586862017425,0.00786445764079796
"ERLN1_8776.10",0.427150532411257,0.419329972954643,0.00782055945661397
"CD8A_15462.28",0.837392310460239,0.831768194244175,0.00562411621606396
"NEUR1_15426.5",0.347042769745145,0.341440808527725,0.00560196121741996
"PSG6_6456.17",0.358262964450526,0.353682645130237,0.00458031932028902
"UT1_13430.50",0.339998673620262,0.335752267712337,0.00424640590792497
"PPAR.gamma_24221.3",0.173775430829256,0.170746947978206,0.00302848285105001
"Integrin.a3b1_21901.14",0.454367864356907,0.451597704307646,0.00277016004926101
"ACY3_21781.9",0.267652262236181,0.265649881902353,0.00200238033382799
