"Proteins","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"CRBB2_10000.28",0.13427927144224,0.182025062461633,0.197905586702225,0.48084648726128,0.310998597486186,0.366245730948609
"c.Raf_10001.7",0.5772524483572,0.93162837681806,0.260670917894195,0.249576938622951,0.410470854114671,0.22115783297815
"ZNF41_10003.15",0.239485718741317,0.155582116700365,0.827604360405668,0.0501739240228244,0.0129955881808897,0.394792097184988
"ELK1_10006.25",0.0920694917597607,0.0946586687551735,0.626193354442989,0.100531165599629,0.467405238619515,0.490831078389445
"GUC1A_10008.43",0.357004835384093,0.49784220261446,0.46929424689314,0.529441239975859,0.616402578043378,0.555163070066081
"BECN1_10010.10",0.084141013440024,0.821475695477142,0.464655475738374,0.467718535040343,0.893255525657843,0.441490835571735
"OCRL_10011.65",0.890999999870845,0.556118087851504,0.359792385456095,0.775088008668697,0.753111627270386,0.799175392792246
"SPDEF_10012.5",0.829151067195019,0.967616299975193,0.787559713015502,0.333712422800446,0.301783988094253,0.582758864307918
"SLUG_10014.31",0.11948217097523,0.408377484785791,0.837944818382326,0.259041037586668,0.814429407644998,0.321834204447587
"KCAB2_10015.119",0.0579317946740744,0.0806153591715627,0.686216427531856,0.182238550573862,0.538629795551433,0.445404538691899
"POLH_10022.207",0.191792905786041,0.81156068946369,0.068238561813151,0.766908238303076,0.199515379706765,0.384014185482122
"VDR_10023.32",0.892973055027863,0.3060287959467,0.958395668164753,0.691114639633282,0.22387953539983,0.65127786086993
"HOGA1_10024.44",0.531646880481332,0.0280612835857326,0.0881218924144946,0.348590479295562,0.423382381530756,0.318434592760664
"DLDH_10025.1",0.860296847479142,0.47777882510887,0.153259337347991,0.97090086272266,0.565837314751944,0.384342405599518
"MutY.homolog_10030.8",0.322161602927459,0.468047682438473,0.191905078293767,0.719657830516364,0.117924385610767,0.35268993457976
"DUS4_10035.6",0.417828099427699,0.449735106256465,0.683870048082779,0.791972773770608,0.417230775946666,0.796687042118003
"ZHX3_10036.201",0.935835656024636,0.616913660166591,0.644860595665078,0.334560565068552,0.855291769481974,0.948868831204832
"SIG12.Ig.like.V.type.2_10037.98",0.010555408532928,0.443170025620353,0.657798442468578,0.0615797150241381,0.195516664873626,0.397789473202776
"PNP_10039.32",0.34186987644512,0.742386241571567,0.448770438848794,0.48753682687224,0.763199393469421,0.950221286941431
"P73L_10040.63",0.15398019352627,0.0415867900829069,0.92116169020714,0.0322903018551105,0.369462305655562,0.44923080607165
"HNF4A_10041.3",0.711357053997157,0.923221028900443,0.555799686273015,0.161292267320909,0.160585989333091,0.294997251328224
"SGK3_10042.8",0.237887578545063,0.506939925941634,0.634834954428292,0.167283893067238,0.793921056838806,0.125890845854453
"BRD4_10043.31",0.104899681350571,0.372054610597897,0.979830337076274,0.11526206534364,0.663438643950409,0.212416410644754
"WN10A_10044.12",0.621016861898283,0.705181285036351,0.553544505628465,0.245983058951025,0.338699965778591,0.54160826678862
"CUL3_10045.47",0.859954578185527,0.373174235756185,0.877122340984711,0.322002256376768,0.740746309747796,0.306965072223252
"cIAP.1_10046.55",0.517917776077238,0.566459091264436,0.309738318403,0.689186717731892,0.398123934146969,0.216079950894733
"NCF.2_10047.12",0.787467596608699,0.573549354760075,0.367766458777163,0.496252906965278,0.0292872908047586,0.341023809153372
"PEBB_10048.7",0.510944945482723,0.515506244371902,0.519078645529334,0.442897385899696,0.735675996877692,0.88109961328864
"TERF1_10049.112",0.321984595653375,0.484586226523814,0.513081621307988,0.652800044819075,0.708562199617055,0.344288236814243
"ILK1_10053.5",0.430499300374433,0.603787646508974,0.238617058427703,0.0683098611005665,0.863124402538321,0.957257294326306
"GAN_10054.3",0.513605647539617,0.12209698426168,0.837941240666144,0.481022216434514,0.788078673620939,0.578701400602616
"FOXM1_10056.5",0.3255743246041,0.661329919802932,0.324517858466315,0.639239524449629,0.701186146242504,0.396298061396691
"RD23A_10058.1",0.0257983385822556,0.466589671970277,0.695794701341283,0.481807643872915,0.0593550867622168,0.613508049796566
"FANCL_10063.10",0.787648521360443,0.32013469566421,0.795112748704902,0.324753095736082,0.676202645730344,0.251880048785797
"RBBP9_10064.12",0.729880929761347,0.438924165802727,0.585242468690754,0.333761791320181,0.455935958771213,0.373528260980055
"PIN1_10069.2",0.22434605528713,0.764961588613121,0.762281375048271,0.283700050835465,0.497086270334269,0.615277559419644
"PLCG2_10070.22",0.0271690340406023,0.479805543229195,0.1851403288413,0.454234767753591,0.471943334024559,0.857315675339016
"TYDP1_10073.22",0.219511636570301,0.848196292198014,0.0556427579014969,0.174636893549902,0.128145423454699,0.863571756717164
"BRD2_10074.128",0.727437213863437,0.505266413080368,0.582069047573,0.234705086673275,0.0796753700362178,0.395641755405937
"ACBD6_10075.75",0.904133705833839,0.525514397235615,0.428903348876879,0.236757052221404,0.738760907130567,0.711062357781945
"AP4M1_10076.1",0.354803654723379,0.482687538078642,0.0899471215078653,0.958411162485829,0.209577714608962,0.0759957158225565
"BAG3_10078.5",0.254975154821332,0.701837572374831,0.486389353231225,0.435754614517513,0.603697331523087,0.352285358103778
"EI2BA_10080.9",0.465489937357071,0.751322530273098,0.20764447500142,0.433868672071129,0.984180399927949,0.712294355199755
"SATB2_10081.17",0.99913779266828,0.439320128503653,0.244235453446112,0.276592586620975,0.35285403625874,0.391301861662716
"NFL_10082.251",0.792531777431521,0.251814444394134,0.735320534609001,0.208711380823808,0.10167374901938,0.884874463643025
"STAR_10085.25",0.908139474516181,0.320287890917374,0.278175615042427,0.979062266230831,0.155644258512987,0.199842598169405
"CBS_10086.39",0.548732167125321,0.256567788247629,0.268370547015323,0.348525213557176,0.51586258602572,0.115798666956499
