"Protein","Adjusted_linear_model","linear_modeling_pvalue","spearman","spearman_pvalue","log_lm_pvalue","log_spear_pvalue"
"CRBB2_10000.28","~ PGA",0.401694846111441,0.11379110556235,0.549355438086963,0.396103740386129,0.260146572032019
"c.Raf_10001.7","~ PGA",0.9010997678624,0.088680145885569,0.641214010862315,0.0452271221914191,0.192996996652093
"ZNF41_10003.15","~ PGA + Methotrexate",0.693755071452558,0.0509062567968607,0.789353332971474,0.158793829100531,0.102728552924123
"ELK1_10006.25","~ PGA",0.459460084032875,0.0271500036249924,0.886753078316078,0.337752212324114,0.0521972952232418
"GUC1A_10008.43","~ PGA",0.438577895213063,0.0766902282020609,0.687098874445343,0.357953261005307,0.162980762887671
"BECN1_10010.10","~ PGA",0.531999233934806,-0.00361959779124771,0.984854698279106,0.274088993077369,0.00662783893427565
"OCRL_10011.65","~ PGA",0.279437318883232,-0.0827982994747914,0.663574714789549,0.553715594274946,0.178110170924632
"SPDEF_10012.5","~ PGA",0.88445822064181,-0.00746542044444841,0.968768584680883,0.0533226771389518,0.0137799529791184
"SLUG_10014.31","~ PGA",0.546742480347807,-0.128495721589294,0.498591069959727,0.262217181341831,0.302255504215607
"KCAB2_10015.119","~ PGA",0.427797683159678,0.118089377939457,0.534271193384122,0.368761571783406,0.27223824129825
"POLH_10022.207","~ PGA",0.586011751961605,-0.0309928060875585,0.87084894714577,0.232093674492319,0.0600571688846175
"VDR_10023.32","~ PGA",0.567339976629291,-0.0539606322046723,0.777021793005386,0.246156613548266,0.109566800440712
"HOGA1_10024.44","~ PGA + Sex",0.50945921117348,0.0662838845522238,0.727834006220965,0.292890581179428,0.137967656953831
"DLDH_10025.1","~ PGA",0.504951234295332,-0.195910730451282,0.299479997625506,0.29675056187951,0.5236321789874
"MutY.homolog_10030.8","~ PGA",0.33923782500328,-0.172366124526218,0.36239257369049,0.469495729898953,0.440820710659372
"DUS4_10035.6","~ PGA",0.861154492543943,-0.143652787340144,0.448854264185678,0.0649189284064272,0.347894644595467
"ZHX3_10036.201","~ PGA",0.485401275830737,0.0936570928485346,0.622529864491884,0.313899086501157,0.205839809416287
"SIG12.Ig.like.V.type.2_10037.98","~ PGA + Age",0.140591690795676,-0.391821460902565,0.0322447972105533,0.852040346088763,1.49154035002187
"PNP_10039.32","~ PGA",0.840463564676126,-0.0063342961346835,0.973498825076527,0.0754811091169422,0.0116645682970967
"P73L_10040.63","~ PGA + Sex + Prednisone",0.0969735476107956,-0.344992914478298,0.0618878181117476,1.01334671618102,1.2083948283224
"HNF4A_10041.3","~ PGA",0.215882228503868,0.277721912080651,0.137300441409304,0.665783107459069,0.862328066540981
"SGK3_10042.8","~ PGA",0.63101453861836,-0.0104063436498372,0.956475211764854,0.199960634465866,0.0193262807681417
"BRD4_10043.31","~ PGA",0.334450953715749,0.0678674585858946,0.721584857392634,0.475667561281399,0.141712589129949
"WN10A_10044.12","~ PGA",0.691321367813344,0.0554250911784806,0.771127865170446,0.160320019451996,0.112873603098552
"CUL3_10045.47","~ PGA",0.180934588141431,-0.253739408878574,0.176055934316951,0.74247840382513,0.754349331584028
"cIAP.1_10046.55","~ PGA",0.973758936755942,0.0271500036249924,0.886753078316078,0.0115485435263297,0.0521972952232418
"NCF.2_10047.12","~ PGA + Methotrexate",0.407967553925544,-0.0400418005656778,0.833603036106071,0.389374375418508,0.0790407122766622
"PEBB_10048.7","~ PGA",0.461687475192109,-0.063569186208788,0.738586536666036,0.335651906970918,0.131598613155308
"TERF1_10049.112","~ PGA",0.335126011658265,0.207674423272838,0.270806818473887,0.474791861985001,0.567340405022696
"ILK1_10053.5","~ PGA",0.858979358944892,0.0230749359192042,0.903665578478209,0.0660172720291049,0.0439922601135703
"GAN_10054.3","~ PGA",0.150478824000205,-0.285980038183253,0.125517910724677,0.822524611478261,0.901294298295369
"FOXM1_10056.5","~ PGA",0.524295407099674,0.024884734814828,0.896148941076733,0.280423946749378,0.0476198040519919
"RD23A_10058.1","~ PGA + Age",0.729113451104363,-0.0287337538364503,0.880192862848586,0.137204889576322,0.0554221572886867
"FANCL_10063.10","~ PGA",0.465752154872126,0.024884734814828,0.896148941076733,0.331845127098582,0.0476198040519919
"RBBP9_10064.12","~ PGA",0.603094186709656,-0.0334812795690414,0.860575833401981,0.219614857720534,0.0652108538931686
"PIN1_10069.2","~ PGA",0.29979732021097,0.300460040116582,0.106682155189304,0.523172253485037,0.97190821929105
"PLCG2_10070.22","~ PGA + Age",0.172871946351016,0.287984249266146,0.122774213628136,0.762275478290393,0.91089283885431
"TYDP1_10073.22","~ PGA",0.95372817592966,-0.0660576596902708,0.728728150581383,0.0205753868423197,0.137434453466812
"BRD2_10074.128","~ PGA",0.921447791078449,-0.0287305574680287,0.880206095179055,0.035529266726921,0.0554156283958132
"ACBD6_10075.75","~ PGA",0.7082020553391,0.0477334458720792,0.802216031215109,0.149842817169641,0.0957086634729288
"AP4M1_10076.1","~ PGA",0.869307639485142,-0.0789524768215907,0.678351362936073,0.0608265037733462,0.168545298082862
"BAG3_10078.5","~ PGA",0.576768143524496,-0.0700243843494595,0.71310138089849,0.23899873489333,0.146848722553681
"EI2BA_10080.9","~ PGA",0.70448172290535,0.0393631259798189,0.836385292758834,0.152130269757348,0.0775936125471441
"SATB2_10081.17","~ PGA",0.366644443131461,0.125681891780694,0.508119127965633,0.435754892792007,0.294034455919143
"NFL_10082.251","~ PGA",0.531048247573798,0.0298616817777936,0.875525464950167,0.274866019967154,0.0577312177969753
