GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0009605~response to external stimulus,60,2.16E-10,"9388, 8575, 5068, 3164, 8493, 6590, 5618, 3958, 83999, 355, 140596, 3918, 6504, 5657, 718, 5617, 7132, 8542, 7412, 2160, 51052, 883, 3929, 567, 325, 2277, 6039, 966, 6358, 5468, 85363, 57715, 10501, 1824, 5627, 51738, 1000, 1675, 411, 57048, 735, 5996, 149708, 11326, 4360, 7035, 7037, 5972, 2660, 58189, 26228, 9173, 338339, 5806, 10406, 1401, 3909, 947, 5648, 5968",181,2.324411229
GO:0051707~response to other organism,31,9.81E-07,"8575, 5068, 3164, 8493, 6590, 5618, 3958, 1675, 140596, 57048, 5996, 5657, 149708, 718, 7132, 4360, 8542, 5972, 7412, 26228, 338339, 5806, 10406, 883, 1401, 3929, 567, 2277, 6039, 85363, 5968",181,2.710734341
GO:0043207~response to external biotic stimulus,31,1.03E-06,"8575, 5068, 3164, 8493, 6590, 5618, 3958, 1675, 140596, 57048, 5996, 5657, 149708, 718, 7132, 4360, 8542, 5972, 7412, 26228, 338339, 5806, 10406, 883, 1401, 3929, 567, 2277, 6039, 85363, 5968",181,2.704090384
GO:0009607~response to biotic stimulus,31,2.38E-06,"8575, 5068, 3164, 8493, 6590, 5618, 3958, 1675, 140596, 57048, 5996, 5657, 149708, 718, 7132, 4360, 8542, 5972, 7412, 26228, 338339, 5806, 10406, 883, 1401, 3929, 567, 2277, 6039, 85363, 5968",181,2.595926768
GO:0009617~response to bacterium,24,3.34E-06,"7132, 4360, 5068, 7412, 5972, 3164, 8493, 26228, 6590, 5618, 338339, 10406, 883, 1401, 1675, 140596, 3929, 567, 57048, 2277, 5996, 6039, 149708, 718",181,3.065108779
GO:0098542~defense response to other organism,12,0.071392739,"7132, 338339, 8542, 10406, 1401, 140596, 3929, 567, 6039, 85363, 149708, 6590",181,1.791909748
GO:0042127~regulation of cell proliferation,39,1.72E-06,"51738, 8575, 5068, 3486, 28514, 1000, 3164, 8493, 5618, 3958, 332, 1512, 80781, 3479, 3918, 55423, 1397, 85477, 6504, 5657, 11326, 4869, 5617, 7037, 7412, 2683, 2660, 182, 84417, 1401, 3567, 3489, 3488, 567, 2277, 1001, 6358, 5468, 5968",181,2.28161659
GO:0008283~cell proliferation,42,1.84E-06,"9388, 51738, 8575, 5068, 3486, 28514, 1000, 3164, 8493, 5618, 3958, 332, 1512, 80781, 3479, 3918, 55423, 1397, 85477, 6504, 5657, 11326, 4869, 5617, 9212, 7037, 7412, 2683, 2660, 182, 84417, 1401, 3567, 3489, 3488, 567, 2277, 1001, 6358, 5468, 947, 5968",181,2.181057463
GO:0008284~positive regulation of cell proliferation,24,7.46E-05,"51738, 7037, 5068, 7412, 28514, 2683, 3164, 5618, 1512, 332, 3567, 3479, 3918, 3488, 55423, 2277, 1001, 1397, 6358, 6504, 5657, 5968, 4869, 5617",181,2.519597777
GO:0008285~negative regulation of cell proliferation,19,5.79E-04,"51738, 8575, 28514, 2683, 3486, 2660, 8493, 84417, 80781, 1401, 3489, 3488, 567, 55423, 85477, 5468, 11326, 4869, 5617",181,2.504433531
GO:0032101~regulation of response to external stimulus,25,1.29E-05,"51738, 5068, 83999, 735, 6504, 718, 11326, 7132, 7035, 2660, 58189, 26228, 9173, 2160, 3929, 325, 2277, 966, 5468, 947, 5648, 85363, 57715, 10501, 5627",181,2.740450611
GO:0048585~negative regulation of response to stimulus,36,5.42E-05,"51738, 5068, 3486, 28514, 1000, 3958, 117584, 83999, 3479, 336, 2861, 5996, 6504, 11326, 7132, 9212, 7035, 5133, 2660, 58189, 26228, 9173, 2160, 3489, 1388, 325, 3488, 146722, 966, 5468, 947, 5648, 57715, 10501, 1846, 5627",181,2.04123548
GO:0051241~negative regulation of multicellular organismal process,29,1.09E-04,"51738, 5068, 28514, 83999, 3479, 336, 6504, 11326, 5617, 7132, 7032, 7035, 5133, 2660, 1075, 182, 26228, 9173, 2160, 3929, 325, 3488, 567, 1001, 5468, 947, 57715, 10501, 5627",181,2.200618847
GO:0080134~regulation of response to stress,33,1.13E-04,"22976, 51738, 9865, 5068, 10516, 83999, 355, 2861, 84787, 735, 6504, 718, 11326, 4869, 7132, 9212, 7035, 22925, 58189, 9173, 2160, 3929, 3489, 1388, 325, 567, 146722, 966, 5468, 947, 5648, 85363, 5627",181,2.053229919
GO:0032102~negative regulation of response to external stimulus,14,1.86E-04,"7132, 51738, 7035, 5068, 58189, 26228, 2160, 83999, 325, 5468, 947, 57715, 10501, 5627",181,3.508806059
GO:0050766~positive regulation of phagocytosis,8,7.51E-06,"5806, 336, 55423, 146722, 5468, 5648, 26228, 718",181,11.09277463
GO:0050764~regulation of phagocytosis,9,8.27E-06,"5806, 336, 55423, 146722, 5468, 5657, 5648, 26228, 718",181,8.815702773
GO:0051050~positive regulation of transport,25,1.03E-05,"9388, 5360, 51738, 28514, 1000, 3958, 3479, 336, 55423, 79778, 85477, 10972, 718, 5617, 22925, 26228, 5806, 84417, 567, 146722, 1001, 5468, 8536, 947, 5648",181,2.777522263
GO:0006909~phagocytosis,14,1.62E-05,"7087, 26228, 5806, 1401, 3929, 336, 55423, 146722, 375033, 5468, 6504, 5657, 5648, 718",181,4.461944422
GO:0006897~endocytosis,22,2.45E-05,"4360, 7087, 5286, 22925, 7037, 28514, 26228, 5806, 3958, 1401, 3929, 336, 567, 55423, 146722, 375033, 5468, 6504, 51435, 5657, 5648, 718",181,2.882079788
GO:0045807~positive regulation of endocytosis,10,2.49E-05,"5806, 336, 567, 55423, 146722, 28514, 5468, 5648, 26228, 718",181,6.4707852
GO:0030100~regulation of endocytosis,12,1.14E-04,"3958, 5806, 336, 567, 55423, 146722, 28514, 5468, 5657, 5648, 26228, 718",181,4.299380771
GO:0051130~positive regulation of cellular component organization,27,0.001142743,"22976, 51738, 6871, 28514, 3936, 3958, 332, 3479, 411, 336, 55423, 79778, 85477, 718, 9212, 7037, 2660, 114798, 26228, 5806, 3567, 567, 146722, 5468, 8536, 5648, 139065",181,1.963715808
GO:0051049~regulation of transport,32,0.001610746,"9388, 5360, 51738, 28514, 1000, 3936, 3958, 332, 3479, 336, 55423, 79778, 85477, 6504, 5657, 10972, 718, 5617, 7132, 7032, 22925, 5972, 26228, 5806, 84417, 567, 146722, 1001, 5468, 8536, 947, 5648",181,1.784112055
GO:0060627~regulation of vesicle-mediated transport,13,0.008076628,"28514, 26228, 5806, 3958, 336, 567, 55423, 146722, 5468, 6504, 5657, 5648, 718",181,2.401355407
GO:0016192~vesicle-mediated transport,26,0.010674133,"7087, 5286, 28514, 3958, 336, 55423, 79778, 85477, 6504, 5657, 10972, 718, 4360, 22925, 7037, 26228, 5806, 1401, 3929, 567, 146722, 375033, 5468, 51435, 5648, 5627",181,1.681385131
GO:0002526~acute inflammatory response,14,1.02E-09,"7037, 5068, 7412, 2683, 1401, 3929, 325, 336, 966, 5468, 735, 5648, 718, 11326",181,10.30863022
GO:0006954~inflammatory response,25,6.47E-07,"51738, 9865, 5068, 336, 27189, 735, 6504, 718, 11326, 7132, 7037, 7412, 2683, 58189, 9173, 5806, 1401, 3567, 3929, 325, 966, 6358, 5468, 10164, 5648",181,3.263079334
GO:0050727~regulation of inflammatory response,13,0.00235146,"7132, 51738, 5068, 58189, 9173, 3929, 325, 966, 5468, 735, 5648, 718, 11326",181,2.809683047
GO:0031347~regulation of defense response,17,0.007288797,"7132, 9212, 51738, 9865, 5068, 58189, 9173, 3929, 325, 146722, 966, 5468, 735, 5648, 85363, 718, 11326",181,2.091077475
GO:0031348~negative regulation of defense response,8,0.030611589,"7132, 9212, 51738, 5068, 325, 5468, 58189, 11326",181,2.669198895
GO:0050728~negative regulation of inflammatory response,6,0.056145626,"7132, 51738, 5068, 325, 5468, 58189",181,2.898677533
GO:0016477~cell migration,34,9.55E-06,"22976, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501",181,2.290290535
GO:0040011~locomotion,39,3.64E-05,"22976, 5360, 51738, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 2861, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 85363, 57715, 10501",181,1.999015975
GO:0051674~localization of cell,36,3.69E-05,"22976, 5360, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501",181,2.079895243
GO:0048870~cell motility,36,3.69E-05,"22976, 5360, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501",181,2.079895243
GO:0040012~regulation of locomotion,25,2.58E-04,"51738, 5286, 3486, 3958, 1512, 2886, 117584, 3479, 411, 3918, 6504, 132141, 4162, 2660, 182, 26228, 3929, 3488, 3909, 2277, 5468, 10164, 85363, 57715, 10501",181,2.262032962
GO:2000147~positive regulation of cell motility,16,6.60E-04,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 132141, 57715, 10501",181,2.777702915
GO:2000145~regulation of cell motility,23,7.37E-04,"4162, 5286, 3486, 2660, 182, 26228, 3958, 1512, 2886, 117584, 3479, 411, 3918, 3929, 3488, 2277, 3909, 10164, 5468, 6504, 132141, 57715, 10501",181,2.196478518
GO:0051270~regulation of cellular component movement,24,8.13E-04,"4162, 5286, 3486, 2660, 182, 26228, 3958, 1512, 2886, 117584, 3479, 411, 3918, 3929, 3488, 2277, 3909, 10164, 5468, 6504, 132141, 57715, 1824, 10501",181,2.131806106
GO:0030334~regulation of cell migration,22,8.45E-04,"4162, 5286, 3486, 2660, 182, 26228, 3958, 1512, 2886, 117584, 3479, 411, 3918, 3929, 3488, 2277, 3909, 10164, 5468, 6504, 57715, 10501",181,2.226440784
GO:0040017~positive regulation of locomotion,16,8.84E-04,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 132141, 57715, 10501",181,2.698716102
GO:0051272~positive regulation of cellular component movement,16,8.84E-04,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 132141, 57715, 10501",181,2.698716102
GO:0006928~movement of cell or subcellular component,37,0.001244826,"22976, 5360, 5286, 3486, 1000, 3164, 3936, 3958, 1512, 2886, 117584, 3479, 411, 3918, 140596, 6504, 5657, 132141, 4162, 7412, 2683, 2660, 182, 26228, 3929, 3489, 885, 3488, 3909, 2277, 6358, 5468, 10164, 947, 57715, 10501, 1824",181,1.712359933
GO:0030335~positive regulation of cell migration,15,0.001252907,"4162, 5286, 2660, 3958, 1512, 2886, 3479, 3918, 3929, 3488, 2277, 10164, 6504, 57715, 10501",181,2.723672342
GO:0006935~chemotaxis,14,0.007706531,"7412, 2660, 3164, 26228, 3958, 3918, 140596, 3929, 2277, 3909, 6358, 6504, 57715, 10501",181,2.310280342
GO:0042330~taxis,14,0.008191684,"7412, 2660, 3164, 26228, 3958, 3918, 140596, 3929, 2277, 3909, 6358, 6504, 57715, 10501",181,2.292563468
"GO:0006957~complement activation, alternative pathway",5,3.14E-05,"1675, 733, 735, 11326, 718",181,26.69198895
GO:0072376~protein activation cascade,10,5.14E-05,"1401, 1675, 325, 733, 966, 735, 5648, 2160, 11326, 718",181,5.898782088
GO:0002673~regulation of acute inflammatory response,7,8.24E-05,"325, 966, 5468, 735, 5648, 11326, 718",181,9.7061778
GO:0006956~complement activation,9,1.09E-04,"1401, 1675, 325, 733, 966, 735, 5648, 11326, 718",181,6.159689758
GO:0030449~regulation of complement activation,5,1.44E-04,"966, 735, 5648, 11326, 718",181,18.40826824
