GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0009605~response to external stimulus,60,2.16E-10,"9388, 8575, 5068, 3164, 8493, 6590, 5618, 3958, 83999, 355, 140596, 3918, 6504, 5657, 718, 5617, 7132, 8542, 7412, 2160, 51052, 883, 3929, 567, 325, 2277, 6039, 966, 6358, 5468, 85363, 57715, 10501, 1824, 5627, 51738, 1000, 1675, 411, 57048, 735, 5996, 149708, 11326, 4360, 7035, 7037, 5972, 2660, 58189, 26228, 9173, 338339, 5806, 10406, 1401, 3909, 947, 5648, 5968",181,2.324411229,"['LIPG', 'PRKRA', 'REG3A', 'NR4A1', 'PPM1D', 'SLPI', 'PRLR', 'LGALS3', 'KREMEN1', 'FAS', 'DEFB104A', 'LAMC2', 'SLAMF1', 'PRTN3', 'C3', 'PRL', 'TNFRSF1A', 'APOL1', 'VCAM1', 'F11', 'PRLH', 'KYAT1', 'LBP', 'B2M', 'APCS', 'VEGFD', 'RNASE6', 'CD59', 'CCL14', 'PPARG', 'TRIM5', 'SEMA4G', 'SEMA6B', 'DSC2', 'PROS1', 'GHRL', 'CDH2', 'CFD', 'ARSB', 'PLSCR3', 'C9', 'RGS1', 'WFDC5', 'VSIG4', 'MRC1', 'TFPI', 'TFRC', 'REN', 'MSTN', 'WFDC1', 'STAP1', 'IL1RL1', 'CLEC4D', 'PTX3', 'WFDC2', 'CRP', 'LAMA3', 'CD34', 'MASP1', 'REG1B']"
GO:0051707~response to other organism,31,9.81E-07,"8575, 5068, 3164, 8493, 6590, 5618, 3958, 1675, 140596, 57048, 5996, 5657, 149708, 718, 7132, 4360, 8542, 5972, 7412, 26228, 338339, 5806, 10406, 883, 1401, 3929, 567, 2277, 6039, 85363, 5968",181,2.710734341,"['PRKRA', 'REG3A', 'NR4A1', 'PPM1D', 'SLPI', 'PRLR', 'LGALS3', 'CFD', 'DEFB104A', 'PLSCR3', 'RGS1', 'PRTN3', 'WFDC5', 'C3', 'TNFRSF1A', 'MRC1', 'APOL1', 'REN', 'VCAM1', 'STAP1', 'CLEC4D', 'PTX3', 'WFDC2', 'KYAT1', 'CRP', 'LBP', 'B2M', 'VEGFD', 'RNASE6', 'TRIM5', 'REG1B']"
GO:0043207~response to external biotic stimulus,31,1.03E-06,"8575, 5068, 3164, 8493, 6590, 5618, 3958, 1675, 140596, 57048, 5996, 5657, 149708, 718, 7132, 4360, 8542, 5972, 7412, 26228, 338339, 5806, 10406, 883, 1401, 3929, 567, 2277, 6039, 85363, 5968",181,2.704090384,"['PRKRA', 'REG3A', 'NR4A1', 'PPM1D', 'SLPI', 'PRLR', 'LGALS3', 'CFD', 'DEFB104A', 'PLSCR3', 'RGS1', 'PRTN3', 'WFDC5', 'C3', 'TNFRSF1A', 'MRC1', 'APOL1', 'REN', 'VCAM1', 'STAP1', 'CLEC4D', 'PTX3', 'WFDC2', 'KYAT1', 'CRP', 'LBP', 'B2M', 'VEGFD', 'RNASE6', 'TRIM5', 'REG1B']"
GO:0009607~response to biotic stimulus,31,2.38E-06,"8575, 5068, 3164, 8493, 6590, 5618, 3958, 1675, 140596, 57048, 5996, 5657, 149708, 718, 7132, 4360, 8542, 5972, 7412, 26228, 338339, 5806, 10406, 883, 1401, 3929, 567, 2277, 6039, 85363, 5968",181,2.595926768,"['PRKRA', 'REG3A', 'NR4A1', 'PPM1D', 'SLPI', 'PRLR', 'LGALS3', 'CFD', 'DEFB104A', 'PLSCR3', 'RGS1', 'PRTN3', 'WFDC5', 'C3', 'TNFRSF1A', 'MRC1', 'APOL1', 'REN', 'VCAM1', 'STAP1', 'CLEC4D', 'PTX3', 'WFDC2', 'KYAT1', 'CRP', 'LBP', 'B2M', 'VEGFD', 'RNASE6', 'TRIM5', 'REG1B']"
GO:0009617~response to bacterium,24,3.34E-06,"7132, 4360, 5068, 7412, 5972, 3164, 8493, 26228, 6590, 5618, 338339, 10406, 883, 1401, 1675, 140596, 3929, 567, 57048, 2277, 5996, 6039, 149708, 718",181,3.065108779,"['TNFRSF1A', 'MRC1', 'REG3A', 'VCAM1', 'REN', 'NR4A1', 'PPM1D', 'STAP1', 'SLPI', 'PRLR', 'CLEC4D', 'WFDC2', 'KYAT1', 'CRP', 'CFD', 'DEFB104A', 'LBP', 'B2M', 'PLSCR3', 'VEGFD', 'RGS1', 'RNASE6', 'WFDC5', 'C3']"
GO:0098542~defense response to other organism,12,0.071392739,"7132, 338339, 8542, 10406, 1401, 140596, 3929, 567, 6039, 85363, 149708, 6590",181,1.791909748,"['TNFRSF1A', 'CLEC4D', 'APOL1', 'WFDC2', 'CRP', 'DEFB104A', 'LBP', 'B2M', 'RNASE6', 'TRIM5', 'WFDC5', 'SLPI']"
GO:0042127~regulation of cell proliferation,39,1.72E-06,"51738, 8575, 5068, 3486, 28514, 1000, 3164, 8493, 5618, 3958, 332, 1512, 80781, 3479, 3918, 55423, 1397, 85477, 6504, 5657, 11326, 4869, 5617, 7037, 7412, 2683, 2660, 182, 84417, 1401, 3567, 3489, 3488, 567, 2277, 1001, 6358, 5468, 5968",181,2.28161659,"['GHRL', 'PRKRA', 'REG3A', 'IGFBP3', 'DLL1', 'CDH2', 'NR4A1', 'PPM1D', 'PRLR', 'LGALS3', 'BIRC5', 'CTSH', 'COL18A1', 'IGF1', 'LAMC2', 'SIRPG', 'CRIP2', 'SCIN', 'SLAMF1', 'PRTN3', 'VSIG4', 'NPM1', 'PRL', 'TFRC', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'ECRG4', 'CRP', 'IL5', 'IGFBP6', 'IGFBP5', 'B2M', 'VEGFD', 'CDH3', 'CCL14', 'PPARG', 'REG1B']"
GO:0008283~cell proliferation,42,1.84E-06,"9388, 51738, 8575, 5068, 3486, 28514, 1000, 3164, 8493, 5618, 3958, 332, 1512, 80781, 3479, 3918, 55423, 1397, 85477, 6504, 5657, 11326, 4869, 5617, 9212, 7037, 7412, 2683, 2660, 182, 84417, 1401, 3567, 3489, 3488, 567, 2277, 1001, 6358, 5468, 947, 5968",181,2.181057463,"['LIPG', 'GHRL', 'PRKRA', 'REG3A', 'IGFBP3', 'DLL1', 'CDH2', 'NR4A1', 'PPM1D', 'PRLR', 'LGALS3', 'BIRC5', 'CTSH', 'COL18A1', 'IGF1', 'LAMC2', 'SIRPG', 'CRIP2', 'SCIN', 'SLAMF1', 'PRTN3', 'VSIG4', 'NPM1', 'PRL', 'AURKB', 'TFRC', 'VCAM1', 'B4GALT1', 'MSTN', 'JAG1', 'ECRG4', 'CRP', 'IL5', 'IGFBP6', 'IGFBP5', 'B2M', 'VEGFD', 'CDH3', 'CCL14', 'PPARG', 'CD34', 'REG1B']"
GO:0008284~positive regulation of cell proliferation,24,7.46E-05,"51738, 7037, 5068, 7412, 28514, 2683, 3164, 5618, 1512, 332, 3567, 3479, 3918, 3488, 55423, 2277, 1001, 1397, 6358, 6504, 5657, 5968, 4869, 5617",181,2.519597777,"['GHRL', 'TFRC', 'REG3A', 'VCAM1', 'DLL1', 'B4GALT1', 'NR4A1', 'PRLR', 'CTSH', 'BIRC5', 'IL5', 'IGF1', 'LAMC2', 'IGFBP5', 'SIRPG', 'VEGFD', 'CDH3', 'CRIP2', 'CCL14', 'SLAMF1', 'PRTN3', 'REG1B', 'NPM1', 'PRL']"
GO:0008285~negative regulation of cell proliferation,19,0.000579,"51738, 8575, 28514, 2683, 3486, 2660, 8493, 84417, 80781, 1401, 3489, 3488, 567, 55423, 85477, 5468, 11326, 4869, 5617",181,2.504433531,"['GHRL', 'PRKRA', 'DLL1', 'B4GALT1', 'IGFBP3', 'MSTN', 'PPM1D', 'ECRG4', 'COL18A1', 'CRP', 'IGFBP6', 'IGFBP5', 'B2M', 'SIRPG', 'SCIN', 'PPARG', 'VSIG4', 'NPM1', 'PRL']"
GO:0032101~regulation of response to external stimulus,25,1.29E-05,"51738, 5068, 83999, 735, 6504, 718, 11326, 7132, 7035, 2660, 58189, 26228, 9173, 2160, 3929, 325, 2277, 966, 5468, 947, 5648, 85363, 57715, 10501, 5627",181,2.740450611,"['GHRL', 'REG3A', 'KREMEN1', 'C9', 'SLAMF1', 'C3', 'VSIG4', 'TNFRSF1A', 'TFPI', 'MSTN', 'WFDC1', 'STAP1', 'IL1RL1', 'F11', 'LBP', 'APCS', 'VEGFD', 'CD59', 'PPARG', 'CD34', 'MASP1', 'TRIM5', 'SEMA4G', 'SEMA6B', 'PROS1']"
GO:0048585~negative regulation of response to stimulus,36,5.42E-05,"51738, 5068, 3486, 28514, 1000, 3958, 117584, 83999, 3479, 336, 2861, 5996, 6504, 11326, 7132, 9212, 7035, 5133, 2660, 58189, 26228, 9173, 2160, 3489, 1388, 325, 3488, 146722, 966, 5468, 947, 5648, 57715, 10501, 1846, 5627",181,2.04123548,"['GHRL', 'REG3A', 'IGFBP3', 'DLL1', 'CDH2', 'LGALS3', 'RFFL', 'KREMEN1', 'IGF1', 'APOA2', 'GPR37', 'RGS1', 'SLAMF1', 'VSIG4', 'TNFRSF1A', 'AURKB', 'TFPI', 'PDCD1', 'MSTN', 'WFDC1', 'STAP1', 'IL1RL1', 'F11', 'IGFBP6', 'ATF6B', 'APCS', 'IGFBP5', 'CD300LF', 'CD59', 'PPARG', 'CD34', 'MASP1', 'SEMA4G', 'SEMA6B', 'DUSP4', 'PROS1']"
GO:0051241~negative regulation of multicellular organismal process,29,0.000109,"51738, 5068, 28514, 83999, 3479, 336, 6504, 11326, 5617, 7132, 7032, 7035, 5133, 2660, 1075, 182, 26228, 9173, 2160, 3929, 325, 3488, 567, 1001, 5468, 947, 57715, 10501, 5627",181,2.200618847,"['GHRL', 'REG3A', 'DLL1', 'KREMEN1', 'IGF1', 'APOA2', 'SLAMF1', 'VSIG4', 'PRL', 'TNFRSF1A', 'TFF2', 'TFPI', 'PDCD1', 'MSTN', 'CTSC', 'JAG1', 'STAP1', 'IL1RL1', 'F11', 'LBP', 'APCS', 'IGFBP5', 'B2M', 'CDH3', 'PPARG', 'CD34', 'SEMA4G', 'SEMA6B', 'PROS1']"
GO:0080134~regulation of response to stress,33,0.000113,"22976, 51738, 9865, 5068, 10516, 83999, 355, 2861, 84787, 735, 6504, 718, 11326, 4869, 7132, 9212, 7035, 22925, 58189, 9173, 2160, 3929, 3489, 1388, 325, 567, 146722, 966, 5468, 947, 5648, 85363, 5627",181,2.053229919,"['PAXIP1', 'GHRL', 'TRIL', 'REG3A', 'FBLN5', 'KREMEN1', 'FAS', 'GPR37', 'KMT5C', 'C9', 'SLAMF1', 'C3', 'VSIG4', 'NPM1', 'TNFRSF1A', 'AURKB', 'TFPI', 'PLA2R1', 'WFDC1', 'IL1RL1', 'F11', 'LBP', 'IGFBP6', 'ATF6B', 'APCS', 'B2M', 'CD300LF', 'CD59', 'PPARG', 'CD34', 'MASP1', 'TRIM5', 'PROS1']"
GO:0032102~negative regulation of response to external stimulus,14,0.000186,"7132, 51738, 7035, 5068, 58189, 26228, 2160, 83999, 325, 5468, 947, 57715, 10501, 5627",181,3.508806059,"['TNFRSF1A', 'GHRL', 'TFPI', 'REG3A', 'WFDC1', 'STAP1', 'F11', 'KREMEN1', 'APCS', 'PPARG', 'CD34', 'SEMA4G', 'SEMA6B', 'PROS1']"
GO:0050766~positive regulation of phagocytosis,8,7.51E-06,"5806, 336, 55423, 146722, 5468, 5648, 26228, 718",181,11.09277463,"['PTX3', 'APOA2', 'SIRPG', 'CD300LF', 'PPARG', 'MASP1', 'STAP1', 'C3']"
GO:0050764~regulation of phagocytosis,9,8.27E-06,"5806, 336, 55423, 146722, 5468, 5657, 5648, 26228, 718",181,8.815702773,"['PTX3', 'APOA2', 'SIRPG', 'CD300LF', 'PPARG', 'PRTN3', 'MASP1', 'STAP1', 'C3']"
GO:0051050~positive regulation of transport,25,1.03E-05,"9388, 5360, 51738, 28514, 1000, 3958, 3479, 336, 55423, 79778, 85477, 10972, 718, 5617, 22925, 26228, 5806, 84417, 567, 146722, 1001, 5468, 8536, 947, 5648",181,2.777522263,"['LIPG', 'PLTP', 'GHRL', 'DLL1', 'CDH2', 'LGALS3', 'IGF1', 'APOA2', 'SIRPG', 'MICALL2', 'SCIN', 'TMED10', 'C3', 'PRL', 'PLA2R1', 'STAP1', 'PTX3', 'ECRG4', 'B2M', 'CD300LF', 'CDH3', 'PPARG', 'CAMK1', 'CD34', 'MASP1']"
GO:0006909~phagocytosis,14,1.62E-05,"7087, 26228, 5806, 1401, 3929, 336, 55423, 146722, 375033, 5468, 6504, 5657, 5648, 718",181,4.461944422,"['ICAM5', 'STAP1', 'PTX3', 'CRP', 'LBP', 'APOA2', 'SIRPG', 'CD300LF', 'PEAR1', 'PPARG', 'SLAMF1', 'PRTN3', 'MASP1', 'C3']"
GO:0006897~endocytosis,22,2.45E-05,"4360, 7087, 5286, 22925, 7037, 28514, 26228, 5806, 3958, 1401, 3929, 336, 567, 55423, 146722, 375033, 5468, 6504, 51435, 5657, 5648, 718",181,2.882079788,"['MRC1', 'ICAM5', 'PIK3C2A', 'PLA2R1', 'TFRC', 'DLL1', 'STAP1', 'PTX3', 'LGALS3', 'CRP', 'LBP', 'APOA2', 'B2M', 'SIRPG', 'CD300LF', 'PEAR1', 'PPARG', 'SLAMF1', 'SCARA3', 'PRTN3', 'MASP1', 'C3']"
GO:0045807~positive regulation of endocytosis,10,2.49E-05,"5806, 336, 567, 55423, 146722, 28514, 5468, 5648, 26228, 718",181,6.4707852,"['PTX3', 'APOA2', 'B2M', 'SIRPG', 'CD300LF', 'DLL1', 'PPARG', 'MASP1', 'STAP1', 'C3']"
GO:0030100~regulation of endocytosis,12,0.000114,"3958, 5806, 336, 567, 55423, 146722, 28514, 5468, 5657, 5648, 26228, 718",181,4.299380771,"['LGALS3', 'PTX3', 'APOA2', 'B2M', 'SIRPG', 'CD300LF', 'DLL1', 'PPARG', 'PRTN3', 'MASP1', 'STAP1', 'C3']"
GO:0051130~positive regulation of cellular component organization,27,0.001142743,"22976, 51738, 6871, 28514, 3936, 3958, 332, 3479, 411, 336, 55423, 79778, 85477, 718, 9212, 7037, 2660, 114798, 26228, 5806, 3567, 567, 146722, 5468, 8536, 5648, 139065",181,1.963715808,"['PAXIP1', 'GHRL', 'TADA2A', 'DLL1', 'LCP1', 'LGALS3', 'BIRC5', 'IGF1', 'ARSB', 'APOA2', 'SIRPG', 'MICALL2', 'SCIN', 'C3', 'AURKB', 'TFRC', 'MSTN', 'SLITRK1', 'STAP1', 'PTX3', 'IL5', 'B2M', 'CD300LF', 'PPARG', 'CAMK1', 'MASP1', 'SLITRK4']"
