GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0006954~inflammatory response,46,3.8e-14,"929, 9865, 5265, 8995, 2152, 3240, 2921, 8809, 1378, 4907, 90, 2167, 6348, 735, 6504, 718, 6362, 7132, 7076, 4283, 7133, 7037, 6288, 6346, 6863, 6368, 7412, 2683, 145581, 7096, 3426, 1401, 284207, 27179, 3567, 3929, 325, 347, 722, 79987, 5764, 5468, 727, 3689, 3965, 5925",291,3.734487771,"['CD14', 'TRIL', 'SERPINA1', 'TNFSF18', 'F3', 'HP', 'CXCL3', 'IL18R1', 'CR1', 'NT5E', 'ACVR1', 'FABP4', 'CCL3', 'C9', 'SLAMF1', 'C3', 'CCL18', 'TNFRSF1A', 'TIMP1', 'CXCL9', 'TNFRSF1B', 'TFRC', 'SAA1', 'CCL1', 'TAC1', 'CCL23', 'VCAM1', 'B4GALT1', 'LRFN5', 'TLR1', 'CFI', 'CRP', 'METRNL', 'IL36A', 'IL5', 'LBP', 'APCS', 'APOD', 'C4BPA', 'SVEP1', 'PTN', 'PPARG', 'C5', 'ITGB2', 'LGALS9', 'RB1']"
GO:0032101~regulation of response to external stimulus,39,6.84e-08,"929, 7422, 8995, 2152, 83999, 1378, 4907, 2167, 6348, 5654, 735, 6504, 718, 7132, 8740, 89780, 5055, 6288, 6346, 3594, 51191, 3371, 26228, 285, 145581, 3426, 284207, 3929, 325, 347, 722, 79987, 5764, 5468, 727, 85363, 3965, 5627, 5925",291,2.659084655,"['CD14', 'VEGFA', 'TNFSF18', 'F3', 'KREMEN1', 'CR1', 'NT5E', 'FABP4', 'CCL3', 'HTRA1', 'C9', 'SLAMF1', 'C3', 'TNFRSF1A', 'TNFSF14', 'WNT3A', 'SERPINB2', 'SAA1', 'CCL1', 'IL12RB1', 'HERC5', 'TNC', 'STAP1', 'ANGPT2', 'LRFN5', 'CFI', 'METRNL', 'LBP', 'APCS', 'APOD', 'C4BPA', 'SVEP1', 'PTN', 'PPARG', 'C5', 'TRIM5', 'LGALS9', 'PROS1', 'RB1']"
GO:0031347~regulation of defense response,34,9.57e-07,"929, 9865, 8995, 2922, 1378, 4907, 2167, 3135, 6348, 5654, 5699, 735, 718, 7132, 6288, 6346, 2220, 3594, 51191, 3371, 145581, 7096, 3426, 284207, 3929, 325, 347, 722, 146722, 79987, 5468, 85363, 3965, 5925",291,2.601271636,"['CD14', 'TRIL', 'TNFSF18', 'GRP', 'CR1', 'NT5E', 'FABP4', 'HLA-G', 'CCL3', 'HTRA1', 'PSMB10', 'C9', 'C3', 'TNFRSF1A', 'SAA1', 'CCL1', 'FCN2', 'IL12RB1', 'HERC5', 'TNC', 'LRFN5', 'TLR1', 'CFI', 'METRNL', 'LBP', 'APCS', 'APOD', 'C4BPA', 'CD300LF', 'SVEP1', 'PPARG', 'TRIM5', 'LGALS9', 'RB1']"
GO:0050727~regulation of inflammatory response,21,6.14e-05,"7132, 6288, 6346, 8995, 3371, 145581, 3426, 1378, 284207, 4907, 3929, 325, 347, 79987, 722, 2167, 6348, 5468, 735, 718, 5925",291,2.82305188,"['TNFRSF1A', 'SAA1', 'CCL1', 'TNFSF18', 'TNC', 'LRFN5', 'CFI', 'CR1', 'METRNL', 'NT5E', 'LBP', 'APCS', 'APOD', 'SVEP1', 'C4BPA', 'FABP4', 'CCL3', 'PPARG', 'C9', 'C3', 'RB1']"
GO:0010033~response to organic substance,97,9.49e-12,"2152, 3482, 3481, 355, 8809, 90, 117, 5654, 6348, 4327, 6362, 22926, 4189, 6368, 1191, 3929, 2796, 9508, 929, 27, 8313, 3381, 2204, 4907, 411, 2167, 7855, 10990, 6402, 11167, 8828, 4869, 4360, 8289, 4481, 7076, 6423, 55593, 3394, 1645, 2332, 2695, 58191, 6432, 5069, 10613, 5618, 2348, 56975, 144233, 80326, 5699, 4920, 717, 7132, 7133, 7412, 3172, 285, 7096, 51052, 27179, 3567, 567, 5468, 3689, 3965, 23625, 8751, 9563, 25805, 7422, 8995, 28514, 26577, 2921, 3338, 51341, 51588, 5754, 89780, 4283, 7037, 6346, 6863, 9456, 8764, 3594, 26228, 23071, 3625, 1840, 1047, 146722, 1441, 51237, 5925",291,1.97294538,"['F3', 'IGF2R', 'IGF2', 'FAS', 'IL18R1', 'ACVR1', 'ADCYAP1R1', 'HTRA1', 'CCL3', 'MMP19', 'CCL18', 'ATF6', 'DNAJB9', 'CCL23', 'CLU', 'LBP', 'GNRH1', 'ADAMTS3', 'CD14', 'ABL2', 'AXIN2', 'IBSP', 'FCAR', 'NT5E', 'ARSB', 'FABP4', 'FZD5', 'LILRB5', 'SELL', 'FSTL1', 'NRP2', 'NPM1', 'MRC1', 'ARID1A', 'MSR1', 'TIMP1', 'SFRP2', 'OTUD5', 'IRF8', 'AKR1C1', 'FMR1', 'GIP', 'CXCL16', 'SRSF7', 'PAPPA', 'ERLIN1', 'PRLR', 'FOLR1', 'FAM20C', 'BCDIN3D', 'WNT10A', 'PSMB10', 'ROR2', 'C2', 'TNFRSF1A', 'TNFRSF1B', 'VCAM1', 'HNF4A', 'ANGPT2', 'TLR1', 'PRLH', 'IL36A', 'IL5', 'B2M', 'PPARG', 'ITGB2', 'LGALS9', 'FAM89B', 'ADAM15', 'H6PD', 'BAMBI', 'VEGFA', 'TNFSF18', 'DLL1', 'PCOLCE2', 'CXCL3', 'DNAJC4', 'ZBTB7A', 'PIAS4', 'PTK7', 'WNT3A', 'CXCL9', 'TFRC', 'CCL1', 'TAC1', 'HOMER1', 'TNFRSF14', 'IL12RB1', 'STAP1', 'ERP44', 'INHBB', 'DTX1', 'CLGN', 'CD300LF', 'CSF3R', 'MZB1', 'RB1']"
GO:0034097~response to cytokine,40,6.04e-08,"929, 58191, 6432, 8995, 26577, 2152, 5618, 2921, 2204, 355, 8809, 2167, 51588, 6348, 10990, 6402, 5699, 8828, 6362, 7132, 4360, 7076, 4283, 7133, 7037, 6346, 6368, 7412, 8764, 3594, 3394, 26228, 3625, 27179, 3567, 1840, 146722, 1441, 5468, 3965",291,2.627455379,"['CD14', 'CXCL16', 'SRSF7', 'TNFSF18', 'PCOLCE2', 'F3', 'PRLR', 'CXCL3', 'FCAR', 'FAS', 'IL18R1', 'FABP4', 'PIAS4', 'CCL3', 'LILRB5', 'SELL', 'PSMB10', 'NRP2', 'CCL18', 'TNFRSF1A', 'MRC1', 'TIMP1', 'CXCL9', 'TNFRSF1B', 'TFRC', 'CCL1', 'CCL23', 'VCAM1', 'TNFRSF14', 'IL12RB1', 'IRF8', 'STAP1', 'INHBB', 'IL36A', 'IL5', 'DTX1', 'CD300LF', 'CSF3R', 'PPARG', 'LGALS9']"
GO:0070887~cellular response to chemical stimulus,85,7.92e-08,"58191, 6432, 2152, 3481, 5618, 56975, 2348, 151647, 355, 8809, 144233, 80326, 2861, 90, 5654, 6348, 5699, 6504, 4920, 5195, 6362, 7132, 8740, 7133, 22926, 6288, 4189, 6368, 7412, 3172, 285, 1191, 27179, 3567, 3929, 567, 5468, 727, 3689, 3965, 9508, 929, 23625, 8751, 25805, 7422, 27, 8995, 8313, 26577, 28514, 3381, 2921, 10516, 2204, 51341, 2167, 51588, 10990, 5754, 11167, 8828, 4869, 4481, 4360, 89780, 4283, 8289, 7037, 6423, 6346, 6863, 8764, 3594, 3394, 26228, 3625, 1645, 1840, 2332, 146722, 1441, 5764, 51237, 5925",291,1.762885525,"['CXCL16', 'SRSF7', 'F3', 'IGF2', 'PRLR', 'FAM20C', 'FOLR1', 'TAFA4', 'FAS', 'IL18R1', 'BCDIN3D', 'WNT10A', 'GPR37', 'ACVR1', 'HTRA1', 'CCL3', 'PSMB10', 'SLAMF1', 'ROR2', 'PEX14', 'CCL18', 'TNFRSF1A', 'TNFSF14', 'TNFRSF1B', 'ATF6', 'SAA1', 'DNAJB9', 'CCL23', 'VCAM1', 'HNF4A', 'ANGPT2', 'CLU', 'IL36A', 'IL5', 'LBP', 'B2M', 'PPARG', 'C5', 'ITGB2', 'LGALS9', 'ADAMTS3', 'CD14', 'FAM89B', 'ADAM15', 'BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'PCOLCE2', 'DLL1', 'IBSP', 'CXCL3', 'FBLN5', 'FCAR', 'ZBTB7A', 'FABP4', 'PIAS4', 'LILRB5', 'PTK7', 'FSTL1', 'NRP2', 'NPM1', 'MSR1', 'MRC1', 'WNT3A', 'CXCL9', 'ARID1A', 'TFRC', 'SFRP2', 'CCL1', 'TAC1', 'TNFRSF14', 'IL12RB1', 'IRF8', 'STAP1', 'INHBB', 'AKR1C1', 'DTX1', 'FMR1', 'CD300LF', 'CSF3R', 'PTN', 'MZB1', 'RB1']"
GO:0071310~cellular response to organic substance,73,8.31e-08,"6432, 2152, 3481, 5618, 56975, 2348, 355, 8809, 144233, 80326, 90, 5654, 6348, 5699, 4920, 6362, 7132, 7133, 22926, 4189, 6368, 7412, 285, 1191, 27179, 3567, 3929, 567, 5468, 3689, 3965, 9508, 929, 23625, 8751, 25805, 7422, 27, 8995, 8313, 26577, 28514, 3381, 2921, 2204, 51341, 2167, 51588, 10990, 5754, 11167, 8828, 4869, 4481, 4360, 89780, 4283, 8289, 7037, 6423, 6346, 6863, 8764, 3594, 3394, 26228, 3625, 1645, 1840, 146722, 1441, 51237, 5925",291,1.881199935,"['SRSF7', 'F3', 'IGF2', 'PRLR', 'FAM20C', 'FOLR1', 'FAS', 'IL18R1', 'BCDIN3D', 'WNT10A', 'ACVR1', 'HTRA1', 'CCL3', 'PSMB10', 'ROR2', 'CCL18', 'TNFRSF1A', 'TNFRSF1B', 'ATF6', 'DNAJB9', 'CCL23', 'VCAM1', 'ANGPT2', 'CLU', 'IL36A', 'IL5', 'LBP', 'B2M', 'PPARG', 'ITGB2', 'LGALS9', 'ADAMTS3', 'CD14', 'FAM89B', 'ADAM15', 'BAMBI', 'VEGFA', 'ABL2', 'TNFSF18', 'AXIN2', 'PCOLCE2', 'DLL1', 'IBSP', 'CXCL3', 'FCAR', 'ZBTB7A', 'FABP4', 'PIAS4', 'LILRB5', 'PTK7', 'FSTL1', 'NRP2', 'NPM1', 'MSR1', 'MRC1', 'WNT3A', 'CXCL9', 'ARID1A', 'TFRC', 'SFRP2', 'CCL1', 'TAC1', 'TNFRSF14', 'IL12RB1', 'IRF8', 'STAP1', 'INHBB', 'AKR1C1', 'DTX1', 'CD300LF', 'CSF3R', 'MZB1', 'RB1']"
GO:0071345~cellular response to cytokine stimulus,36,3.17e-07,"6432, 8995, 26577, 2152, 5618, 2921, 2204, 355, 8809, 2167, 51588, 6348, 10990, 5699, 8828, 6362, 7132, 4360, 4283, 7133, 7037, 6346, 6368, 7412, 8764, 3594, 3394, 26228, 3625, 27179, 3567, 1840, 146722, 1441, 5468, 3965",291,2.632953358,"['SRSF7', 'TNFSF18', 'PCOLCE2', 'F3', 'PRLR', 'CXCL3', 'FCAR', 'FAS', 'IL18R1', 'FABP4', 'PIAS4', 'CCL3', 'LILRB5', 'PSMB10', 'NRP2', 'CCL18', 'TNFRSF1A', 'MRC1', 'CXCL9', 'TNFRSF1B', 'TFRC', 'CCL1', 'CCL23', 'VCAM1', 'TNFRSF14', 'IL12RB1', 'IRF8', 'STAP1', 'INHBB', 'IL36A', 'IL5', 'DTX1', 'CD300LF', 'CSF3R', 'PPARG', 'LGALS9']"
GO:0019221~cytokine-mediated signaling pathway,25,3.62e-06,"8995, 2152, 5618, 2921, 355, 8809, 51588, 6348, 10990, 5699, 6362, 7132, 4283, 7133, 6346, 6368, 8764, 3594, 3394, 26228, 27179, 3567, 146722, 1441, 5468",291,2.996793082,"['TNFSF18', 'F3', 'PRLR', 'CXCL3', 'FAS', 'IL18R1', 'PIAS4', 'CCL3', 'LILRB5', 'PSMB10', 'CCL18', 'TNFRSF1A', 'CXCL9', 'TNFRSF1B', 'CCL1', 'CCL23', 'TNFRSF14', 'IL12RB1', 'IRF8', 'STAP1', 'IL36A', 'IL5', 'CD300LF', 'CSF3R', 'PPARG']"
