GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0018193~peptidyl-amino acid modification,49,5.92E-09,"6197, 5781, 6198, 5584, 9943, 23326, 9261, 1017, 1455, 10935, 53944, 51645, 5579, 2081, 85480, 140609, 4067, 9874, 5905, 27330, 79643, 23173, 84313, 3445, 5588, 207, 7329, 6714, 10465, 11315, 9125, 3066, 282618, 374, 3458, 1950, 92715, 135112, 815, 30844, 2648, 6464, 4089, 5894, 2932, 1487, 867, 8877, 5601",304,2.507958831
GO:0018105~peptidyl-serine phosphorylation,23,1.08E-08,"2081, 6197, 9125, 140609, 6198, 5584, 5894, 9874, 9261, 27330, 2932, 1017, 3458, 1455, 3445, 5588, 207, 53944, 5601, 5579, 815, 6714, 11315",304,4.484935018
GO:0018209~peptidyl-serine modification,23,3.85E-08,"2081, 6197, 9125, 140609, 6198, 5584, 5894, 9874, 9261, 27330, 2932, 1017, 3458, 1455, 3445, 5588, 207, 53944, 5601, 5579, 815, 6714, 11315",304,4.177396617
GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,35,6.22E-10,"9146, 9125, 8396, 5781, 9046, 6198, 7424, 10273, 6774, 3265, 2251, 9241, 84959, 9261, 9361, 374, 55022, 1796, 1950, 5579, 2549, 6464, 4067, 5894, 23236, 1490, 2932, 79643, 84313, 5588, 207, 867, 6778, 6714, 7409",304,3.460214251
GO:0071375~cellular response to peptide hormone stimulus,24,1.02E-09,"8396, 4141, 5781, 6198, 5584, 6464, 4067, 5894, 6774, 3265, 23236, 9361, 5905, 2932, 55022, 5588, 207, 5315, 5579, 5910, 6778, 815, 6714, 2549",304,4.858783104
GO:0070887~cellular response to chemical stimulus,93,1.48E-09,"9146, 5781, 6198, 5584, 9943, 3561, 2194, 9261, 2987, 55364, 1017, 10935, 874, 57026, 318, 5579, 5019, 10298, 2549, 2081, 85480, 7332, 4141, 140609, 26608, 4067, 26523, 3329, 5905, 83700, 2876, 79444, 3445, 1783, 5588, 207, 51411, 6714, 11315, 7409, 9125, 8396, 6498, 7424, 10273, 9049, 6774, 3265, 3066, 2251, 9241, 9361, 3182, 282618, 572, 3458, 55022, 1796, 445329, 1311, 10550, 7337, 5315, 5910, 135112, 1915, 815, 87178, 54936, 10314, 30844, 2648, 4087, 6464, 4089, 5894, 1809, 23236, 1490, 81858, 2932, 2776, 587, 2730, 2057, 192669, 5687, 867, 8877, 5601, 6778, 51119, 2539",304,1.846322405
GO:1901699~cellular response to nitrogen compound,36,5.91E-09,"8396, 5781, 6198, 5584, 6774, 3265, 3066, 9361, 3182, 572, 55364, 1017, 55022, 445329, 57026, 5315, 5579, 5910, 815, 2549, 4141, 4087, 6464, 4067, 5894, 26523, 23236, 5905, 2932, 2776, 2730, 192669, 5588, 207, 6778, 6714",304,3.10093068
GO:0043434~response to peptide hormone,27,6.08E-09,"8396, 5781, 6198, 5584, 6774, 3265, 9361, 374, 55022, 5315, 5579, 5910, 815, 87178, 2549, 4141, 6464, 4067, 5894, 23236, 1490, 5905, 2932, 5588, 207, 6778, 6714",304,3.945666969
GO:0071417~cellular response to organonitrogen compound,31,3.22E-08,"8396, 5781, 6198, 5584, 6774, 3265, 3066, 9361, 3182, 572, 55364, 55022, 445329, 57026, 5315, 5579, 5910, 815, 2549, 4141, 6464, 4067, 5894, 23236, 5905, 2932, 2730, 5588, 207, 6778, 6714",304,3.241186591
GO:1901653~cellular response to peptide,24,4.34E-08,"8396, 4141, 5781, 6198, 5584, 6464, 4067, 5894, 6774, 3265, 23236, 9361, 5905, 2932, 55022, 5588, 207, 5315, 5579, 5910, 6778, 815, 6714, 2549",304,3.983440978
GO:1901698~response to nitrogen compound,43,4.79E-08,"8396, 5781, 6198, 5584, 6774, 3265, 3066, 9361, 3182, 374, 572, 55364, 1017, 55022, 445329, 57026, 7337, 5315, 5579, 5910, 815, 87178, 2549, 4141, 4087, 6464, 4067, 5894, 26523, 23236, 3251, 1490, 5905, 2932, 2876, 2776, 2730, 3445, 192669, 5588, 207, 6778, 6714",304,2.535686823
GO:0071310~cellular response to organic substance,76,5.14E-08,"9146, 5781, 6198, 5584, 9943, 3561, 2194, 9261, 55364, 57026, 5579, 5019, 10298, 2549, 2081, 85480, 7332, 4141, 26608, 4067, 26523, 3329, 5905, 2876, 79444, 3445, 1783, 5588, 207, 6714, 11315, 9125, 8396, 6498, 7424, 10273, 6774, 3265, 3066, 2251, 9241, 9361, 3182, 282618, 572, 3458, 55022, 1796, 445329, 1311, 10550, 7337, 5315, 5910, 1915, 815, 87178, 30844, 2648, 4087, 6464, 4089, 5894, 1809, 23236, 1490, 81858, 2932, 587, 2730, 2057, 192669, 5687, 867, 8877, 6778",304,1.87475747
GO:0008286~insulin receptor signaling pathway,14,5.23E-08,"8396, 5781, 6198, 6464, 5894, 3265, 9361, 2932, 55022, 5588, 207, 5579, 6714, 2549",304,7.416392544
GO:0010033~response to organic substance,89,8.53E-08,"6197, 9146, 5781, 6198, 5584, 9943, 3561, 2194, 9261, 55364, 1017, 10935, 57026, 5579, 5019, 10298, 2549, 2081, 85480, 7332, 4141, 26608, 4067, 26523, 3251, 3329, 5905, 2876, 51571, 79444, 1267, 3445, 1783, 5588, 207, 6714, 11315, 9125, 11080, 8396, 6498, 7424, 10273, 6774, 3265, 3066, 2251, 9241, 9361, 3182, 282618, 572, 374, 3458, 3337, 55022, 1796, 445329, 1311, 10550, 7337, 5315, 5910, 1915, 815, 3931, 87178, 30844, 2648, 4087, 6464, 4089, 5894, 1809, 23236, 1490, 81858, 2932, 2776, 587, 2730, 23197, 2057, 192669, 5687, 867, 8877, 6778, 2539",304,1.73281716
GO:0007167~enzyme linked receptor protein signaling pathway,41,1.23E-07,"9146, 9125, 8396, 5781, 9046, 6198, 6498, 7424, 10273, 6774, 3265, 3066, 2251, 9241, 84959, 9261, 9361, 374, 55022, 1796, 1950, 1311, 151742, 5579, 2549, 4087, 6464, 4067, 4089, 5894, 23236, 1490, 2932, 79643, 84313, 5588, 207, 867, 6778, 6714, 7409",304,2.523070897
GO:1901652~response to peptide,27,2.60E-07,"8396, 5781, 6198, 5584, 6774, 3265, 9361, 374, 55022, 5315, 5579, 5910, 815, 87178, 2549, 4141, 6464, 4067, 5894, 23236, 1490, 5905, 2932, 5588, 207, 6778, 6714",304,3.269266917
GO:0032869~cellular response to insulin stimulus,17,3.07E-07,"8396, 4141, 5781, 6198, 5584, 6464, 5894, 3265, 9361, 2932, 55022, 5588, 207, 5315, 5579, 6714, 2549",304,5.026392289
GO:0009725~response to hormone,36,3.24E-07,"9125, 8396, 5781, 6198, 5584, 6774, 3265, 9361, 374, 572, 55022, 7337, 5315, 5579, 5910, 5019, 3931, 815, 87178, 2549, 7332, 4141, 6464, 4067, 5894, 23236, 1490, 5905, 2932, 2876, 2730, 5588, 207, 6778, 6714, 11315",304,2.633471625
GO:0010243~response to organonitrogen compound,37,4.46E-07,"8396, 5781, 6198, 5584, 6774, 3265, 3066, 9361, 3182, 374, 572, 55364, 55022, 445329, 57026, 7337, 5315, 5579, 5910, 815, 87178, 2549, 4141, 6464, 4067, 5894, 23236, 3251, 1490, 5905, 2932, 2876, 2730, 5588, 207, 6778, 6714",304,2.553806646
GO:0032870~cellular response to hormone stimulus,29,6.72E-07,"9125, 8396, 5781, 6198, 5584, 6774, 3265, 9361, 55022, 7337, 5315, 5579, 5910, 815, 2549, 7332, 4141, 6464, 4067, 5894, 23236, 5905, 2932, 2730, 5588, 207, 6778, 6714, 11315",304,2.949605263
GO:0071495~cellular response to endogenous stimulus,47,1.09E-06,"9125, 8396, 5781, 6198, 5584, 6498, 10273, 6774, 3265, 3066, 2251, 9241, 9361, 3182, 572, 55364, 55022, 445329, 1311, 57026, 7337, 5315, 5579, 5910, 1915, 815, 2648, 2549, 7332, 4141, 4087, 6464, 4067, 4089, 5894, 23236, 1490, 5905, 2932, 2730, 1783, 5588, 207, 867, 6778, 6714, 11315",304,2.154107217
GO:1901701~cellular response to oxygen-containing compound,42,1.99E-06,"8396, 5781, 6198, 5584, 6774, 3265, 3066, 9361, 3182, 572, 55364, 1017, 55022, 445329, 10935, 57026, 5315, 5579, 5910, 5019, 815, 54936, 2549, 2081, 4141, 6464, 4067, 4089, 5894, 23236, 5905, 2932, 2876, 2776, 2730, 5588, 207, 5601, 8877, 6778, 6714, 11315",304,2.23235896
GO:0032868~response to insulin,18,2.14E-06,"8396, 4141, 5781, 6198, 5584, 6464, 4067, 5894, 3265, 9361, 2932, 55022, 5588, 207, 5315, 5579, 6714, 2549",304,4.1012309
