GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0019752~carboxylic acid metabolic process,63,1.02E-13,"9146, 3081, 8850, 7167, 5860, 9380, 1384, 8050, 2194, 9261, 6470, 441024, 471, 670, 275, 54995, 4522, 2628, 1737, 1615, 4141, 1503, 1666, 2876, 1743, 387522, 55577, 2597, 128, 207, 5226, 208, 5321, 6774, 4191, 130, 3417, 3458, 56954, 1431, 84105, 5315, 10797, 284273, 34, 6342, 36, 37, 8644, 39, 4200, 8565, 3033, 7390, 114876, 55157, 3029, 3028, 2730, 3421, 8833, 5007, 4677",416,2.869237839
GO:0006082~organic acid metabolic process,66,4.85E-13,"9146, 3081, 8850, 7167, 5860, 9380, 9061, 1384, 8050, 2194, 9261, 6470, 441024, 471, 670, 275, 54995, 4522, 2628, 1737, 1615, 4141, 10380, 4860, 1503, 1666, 2876, 1743, 387522, 55577, 2597, 128, 207, 5226, 208, 5321, 6774, 4191, 130, 3417, 3458, 56954, 1431, 84105, 5315, 10797, 284273, 34, 6342, 36, 37, 8644, 39, 4200, 8565, 3033, 7390, 114876, 55157, 3029, 3028, 2730, 3421, 8833, 5007, 4677",416,2.684750943
GO:0043436~oxoacid metabolic process,65,8.27E-13,"9146, 3081, 8850, 7167, 5860, 9380, 9061, 1384, 8050, 2194, 9261, 6470, 441024, 471, 670, 275, 54995, 4522, 2628, 1737, 1615, 4141, 10380, 1503, 1666, 2876, 1743, 387522, 55577, 2597, 128, 207, 5226, 208, 5321, 6774, 4191, 130, 3417, 3458, 56954, 1431, 84105, 5315, 10797, 284273, 34, 6342, 36, 37, 8644, 39, 4200, 8565, 3033, 7390, 114876, 55157, 3029, 3028, 2730, 3421, 8833, 5007, 4677",416,2.679264641
GO:0032787~monocarboxylic acid metabolic process,37,5.33E-07,"8850, 7167, 5321, 6774, 9380, 1384, 8050, 2194, 130, 9261, 3417, 3458, 56954, 54995, 5315, 1737, 284273, 34, 6342, 36, 8644, 37, 39, 4200, 3033, 114876, 1666, 2876, 3029, 3028, 387522, 2597, 128, 207, 5226, 5007, 208",416,2.550163347
GO:0018193~peptidyl-amino acid modification,67,6.91E-12,"6197, 8850, 5781, 6198, 5584, 9943, 23326, 9261, 23081, 673, 596, 1017, 54472, 1455, 10935, 53944, 5578, 51645, 8767, 5579, 3093, 2081, 140609, 5594, 5595, 5870, 4067, 6640, 2241, 5905, 27330, 79643, 23173, 84313, 2597, 128, 5588, 207, 208, 408, 6714, 10105, 9125, 3066, 282618, 55146, 374, 3458, 3611, 1950, 2321, 92715, 64092, 135112, 30844, 2648, 6464, 4089, 5894, 2932, 10000, 867, 5007, 8877, 9647, 5601, 7867",416,2.505990261
GO:0018105~peptidyl-serine phosphorylation,29,5.31E-10,"6197, 9125, 6198, 5584, 9261, 596, 673, 1017, 3458, 3611, 1455, 5578, 53944, 5579, 8767, 2081, 140609, 5594, 5894, 27330, 2932, 10000, 5588, 207, 208, 5601, 9647, 7867, 6714",416,4.132440125
GO:0018209~peptidyl-serine modification,29,2.62E-09,"6197, 9125, 6198, 5584, 9261, 596, 673, 1017, 3458, 3611, 1455, 5578, 53944, 5579, 8767, 2081, 140609, 5594, 5894, 27330, 2932, 10000, 5588, 207, 208, 5601, 9647, 7867, 6714",416,3.849072802
GO:0042886~amide transport,89,3.95E-12,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 9218, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 65977, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 4089, 5894, 55072, 3033, 23633, 54662, 80772, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.15672149
GO:0015031~protein transport,86,4.31E-12,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 4089, 5894, 55072, 3033, 23633, 54662, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.192685025
GO:0045184~establishment of protein localization,88,2.03E-11,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 673, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 22948, 4089, 5894, 55072, 3033, 23633, 54662, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.103953046
GO:0015833~peptide transport,86,2.11E-11,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 4089, 5894, 55072, 3033, 23633, 54662, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.127301446
GO:0008104~protein localization,108,8.48E-11,"5781, 23607, 8774, 8775, 81609, 94121, 80124, 54472, 2664, 115201, 27243, 10938, 90678, 9218, 5019, 10015, 5813, 7332, 9910, 4738, 79643, 84313, 81565, 2035, 51534, 408, 5289, 6774, 116986, 55585, 29886, 26092, 27183, 56957, 9135, 4087, 4088, 4089, 55072, 3033, 54662, 79666, 2332, 9647, 5601, 26519, 9146, 5584, 26119, 79058, 10612, 3837, 673, 56850, 952, 404636, 5579, 9817, 7375, 5870, 5872, 9798, 161, 163, 3329, 83547, 5905, 83700, 26088, 23011, 8615, 3840, 207, 208, 10981, 6714, 64130, 7424, 9049, 3068, 572, 55146, 3458, 79752, 55022, 1950, 1399, 10550, 30845, 5878, 30844, 9179, 6342, 7432, 22948, 4287, 5894, 23633, 8087, 2932, 23197, 9727, 5007, 56648, 127829, 10204, 10049, 26060",416,1.86093001
GO:0071705~nitrogen compound transport,93,6.27E-10,"26519, 9146, 5781, 23607, 7884, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 9218, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 4067, 5872, 9798, 65977, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 87178, 27183, 9135, 9179, 4087, 4088, 7432, 4089, 5894, 55072, 3033, 59272, 23633, 54662, 80772, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,1.919259175
GO:0033036~macromolecule localization,117,6.57E-10,"6198, 5781, 23607, 8774, 8775, 81609, 94121, 80124, 54472, 2664, 115201, 27243, 10938, 90678, 9218, 5019, 10015, 5813, 7332, 9910, 5948, 4738, 79643, 84313, 81565, 2035, 51534, 5305, 408, 5321, 5289, 6774, 116986, 55585, 29886, 26092, 27183, 87178, 56957, 9135, 4087, 4088, 4089, 55072, 3033, 54662, 80772, 79666, 2332, 9647, 5601, 26519, 9146, 7884, 5584, 26119, 79058, 10612, 3837, 673, 56850, 952, 404636, 5579, 9817, 7375, 5870, 5872, 9798, 65977, 161, 163, 3329, 83547, 5905, 83700, 26088, 23011, 8615, 3840, 207, 208, 10981, 6714, 64130, 7424, 9049, 3068, 572, 55146, 3458, 79752, 55022, 1950, 1399, 10550, 30845, 5878, 30844, 9179, 6342, 7432, 22948, 4287, 5894, 114876, 23633, 8087, 2932, 23197, 9727, 5007, 56648, 127829, 10204, 10049, 26060",416,1.73925
