GO_Term,count,PValue,Genes,List_total,Fold_enrichment,Entrez_gene_symbol
GO:0019752~carboxylic acid metabolic process,63,1.02e-13,"9146, 3081, 8850, 7167, 5860, 9380, 1384, 8050, 2194, 9261, 6470, 441024, 471, 670, 275, 54995, 4522, 2628, 1737, 1615, 4141, 1503, 1666, 2876, 1743, 387522, 55577, 2597, 128, 207, 5226, 208, 5321, 6774, 4191, 130, 3417, 3458, 56954, 1431, 84105, 5315, 10797, 284273, 34, 6342, 36, 37, 8644, 39, 4200, 8565, 3033, 7390, 114876, 55157, 3029, 3028, 2730, 3421, 8833, 5007, 4677",416,2.869237839,"['HGS', 'HGD', 'KAT2B', 'TPI1', 'QDPR', 'GRHPR', 'CRAT', 'PDHX', 'FASN', 'MAPKAPK2', 'SHMT1', 'MTHFD2L', 'ATIC', 'BPHL', 'AMT', 'OXSM', 'MTHFD1', 'GATM', 'DLAT', 'DARS1', 'MARS1', 'CTPS1', 'DECR1', 'GPX1', 'DLST', 'UBE2V1', 'NAGK', 'GAPDH', 'ADH5', 'AKT1', 'PGD', 'AKT2', 'PLA2G4A', 'STAT3', 'MDH2', 'ADH6', 'IDH1', 'IFNG', 'NIT2', 'CS', 'PCBD2', 'PKM', 'MTHFD2', 'ZADH2', 'ACADM', 'SCP2', 'ACADSB', 'ACADVL', 'AKR1C3', 'ACAT2', 'ME2', 'YARS1', 'HADH', 'UROS', 'OSBPL1A', 'DARS2', 'HAGH', 'HSD17B10', 'GCLM', 'IDH3G', 'GMPS', 'OSBP', 'NARS1']"
GO:0006082~organic acid metabolic process,66,4.85e-13,"9146, 3081, 8850, 7167, 5860, 9380, 9061, 1384, 8050, 2194, 9261, 6470, 441024, 471, 670, 275, 54995, 4522, 2628, 1737, 1615, 4141, 10380, 4860, 1503, 1666, 2876, 1743, 387522, 55577, 2597, 128, 207, 5226, 208, 5321, 6774, 4191, 130, 3417, 3458, 56954, 1431, 84105, 5315, 10797, 284273, 34, 6342, 36, 37, 8644, 39, 4200, 8565, 3033, 7390, 114876, 55157, 3029, 3028, 2730, 3421, 8833, 5007, 4677",416,2.684750943,"['HGS', 'HGD', 'KAT2B', 'TPI1', 'QDPR', 'GRHPR', 'PAPSS1', 'CRAT', 'PDHX', 'FASN', 'MAPKAPK2', 'SHMT1', 'MTHFD2L', 'ATIC', 'BPHL', 'AMT', 'OXSM', 'MTHFD1', 'GATM', 'DLAT', 'DARS1', 'MARS1', 'BPNT1', 'PNP', 'CTPS1', 'DECR1', 'GPX1', 'DLST', 'UBE2V1', 'NAGK', 'GAPDH', 'ADH5', 'AKT1', 'PGD', 'AKT2', 'PLA2G4A', 'STAT3', 'MDH2', 'ADH6', 'IDH1', 'IFNG', 'NIT2', 'CS', 'PCBD2', 'PKM', 'MTHFD2', 'ZADH2', 'ACADM', 'SCP2', 'ACADSB', 'ACADVL', 'AKR1C3', 'ACAT2', 'ME2', 'YARS1', 'HADH', 'UROS', 'OSBPL1A', 'DARS2', 'HAGH', 'HSD17B10', 'GCLM', 'IDH3G', 'GMPS', 'OSBP', 'NARS1']"
GO:0043436~oxoacid metabolic process,65,8.27e-13,"9146, 3081, 8850, 7167, 5860, 9380, 9061, 1384, 8050, 2194, 9261, 6470, 441024, 471, 670, 275, 54995, 4522, 2628, 1737, 1615, 4141, 10380, 1503, 1666, 2876, 1743, 387522, 55577, 2597, 128, 207, 5226, 208, 5321, 6774, 4191, 130, 3417, 3458, 56954, 1431, 84105, 5315, 10797, 284273, 34, 6342, 36, 37, 8644, 39, 4200, 8565, 3033, 7390, 114876, 55157, 3029, 3028, 2730, 3421, 8833, 5007, 4677",416,2.679264641,"['HGS', 'HGD', 'KAT2B', 'TPI1', 'QDPR', 'GRHPR', 'PAPSS1', 'CRAT', 'PDHX', 'FASN', 'MAPKAPK2', 'SHMT1', 'MTHFD2L', 'ATIC', 'BPHL', 'AMT', 'OXSM', 'MTHFD1', 'GATM', 'DLAT', 'DARS1', 'MARS1', 'BPNT1', 'CTPS1', 'DECR1', 'GPX1', 'DLST', 'UBE2V1', 'NAGK', 'GAPDH', 'ADH5', 'AKT1', 'PGD', 'AKT2', 'PLA2G4A', 'STAT3', 'MDH2', 'ADH6', 'IDH1', 'IFNG', 'NIT2', 'CS', 'PCBD2', 'PKM', 'MTHFD2', 'ZADH2', 'ACADM', 'SCP2', 'ACADSB', 'ACADVL', 'AKR1C3', 'ACAT2', 'ME2', 'YARS1', 'HADH', 'UROS', 'OSBPL1A', 'DARS2', 'HAGH', 'HSD17B10', 'GCLM', 'IDH3G', 'GMPS', 'OSBP', 'NARS1']"
GO:0032787~monocarboxylic acid metabolic process,37,5.33e-07,"8850, 7167, 5321, 6774, 9380, 1384, 8050, 2194, 130, 9261, 3417, 3458, 56954, 54995, 5315, 1737, 284273, 34, 6342, 36, 8644, 37, 39, 4200, 3033, 114876, 1666, 2876, 3029, 3028, 387522, 2597, 128, 207, 5226, 5007, 208",416,2.550163347,"['KAT2B', 'TPI1', 'PLA2G4A', 'STAT3', 'GRHPR', 'CRAT', 'PDHX', 'FASN', 'ADH6', 'MAPKAPK2', 'IDH1', 'IFNG', 'NIT2', 'OXSM', 'PKM', 'DLAT', 'ZADH2', 'ACADM', 'SCP2', 'ACADSB', 'AKR1C3', 'ACADVL', 'ACAT2', 'ME2', 'HADH', 'OSBPL1A', 'DECR1', 'GPX1', 'HAGH', 'HSD17B10', 'UBE2V1', 'GAPDH', 'ADH5', 'AKT1', 'PGD', 'OSBP', 'AKT2']"
GO:0018193~peptidyl-amino acid modification,67,6.91e-12,"6197, 8850, 5781, 6198, 5584, 9943, 23326, 9261, 23081, 673, 596, 1017, 54472, 1455, 10935, 53944, 5578, 51645, 8767, 5579, 3093, 2081, 140609, 5594, 5595, 5870, 4067, 6640, 2241, 5905, 27330, 79643, 23173, 84313, 2597, 128, 5588, 207, 208, 408, 6714, 10105, 9125, 3066, 282618, 55146, 374, 3458, 3611, 1950, 2321, 92715, 64092, 135112, 30844, 2648, 6464, 4089, 5894, 2932, 10000, 867, 5007, 8877, 9647, 5601, 7867",416,2.505990261,"['RPS6KA3', 'KAT2B', 'PTPN11', 'RPS6KB1', 'PRKCI', 'OXSR1', 'USP22', 'MAPKAPK2', 'KDM4C', 'BRAF', 'BCL2', 'CDK2', 'TOLLIP', 'CSNK1G2', 'PRDX3', 'CSNK1G1', 'PRKCA', 'PPIL1', 'RIPK2', 'PRKCB', 'UBE2K', 'ERN1', 'NEK7', 'MAPK1', 'MAPK3', 'RAB6A', 'LYN', 'SNTA1', 'FER', 'RANGAP1', 'RPS6KA6', 'CHMP6', 'METAP1', 'VPS25', 'GAPDH', 'ADH5', 'PRKCQ', 'AKT1', 'AKT2', 'ARRB1', 'SRC', 'PPIF', 'CNOT9', 'HDAC2', 'IFNL1', 'ZDHHC4', 'AREG', 'IFNG', 'ILK', 'EGF', 'FLT1', 'DPH7', 'SAMSN1', 'NCOA7', 'EHD4', 'KAT2A', 'SHC1', 'SMAD4', 'RAF1', 'GSK3B', 'AKT3', 'CBL', 'OSBP', 'SPHK1', 'PPM1F', 'MAPK9', 'MAPKAPK3']"
GO:0018105~peptidyl-serine phosphorylation,29,5.31e-10,"6197, 9125, 6198, 5584, 9261, 596, 673, 1017, 3458, 3611, 1455, 5578, 53944, 5579, 8767, 2081, 140609, 5594, 5894, 27330, 2932, 10000, 5588, 207, 208, 5601, 9647, 7867, 6714",416,4.132440125,"['RPS6KA3', 'CNOT9', 'RPS6KB1', 'PRKCI', 'MAPKAPK2', 'BCL2', 'BRAF', 'CDK2', 'IFNG', 'ILK', 'CSNK1G2', 'PRKCA', 'CSNK1G1', 'PRKCB', 'RIPK2', 'ERN1', 'NEK7', 'MAPK1', 'RAF1', 'RPS6KA6', 'GSK3B', 'AKT3', 'PRKCQ', 'AKT1', 'AKT2', 'MAPK9', 'PPM1F', 'MAPKAPK3', 'SRC']"
GO:0018209~peptidyl-serine modification,29,2.62e-09,"6197, 9125, 6198, 5584, 9261, 596, 673, 1017, 3458, 3611, 1455, 5578, 53944, 5579, 8767, 2081, 140609, 5594, 5894, 27330, 2932, 10000, 5588, 207, 208, 5601, 9647, 7867, 6714",416,3.849072802,"['RPS6KA3', 'CNOT9', 'RPS6KB1', 'PRKCI', 'MAPKAPK2', 'BCL2', 'BRAF', 'CDK2', 'IFNG', 'ILK', 'CSNK1G2', 'PRKCA', 'CSNK1G1', 'PRKCB', 'RIPK2', 'ERN1', 'NEK7', 'MAPK1', 'RAF1', 'RPS6KA6', 'GSK3B', 'AKT3', 'PRKCQ', 'AKT1', 'AKT2', 'MAPK9', 'PPM1F', 'MAPKAPK3', 'SRC']"
GO:0042886~amide transport,89,3.95e-12,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 9218, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 65977, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 4089, 5894, 55072, 3033, 23633, 54662, 80772, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.15672149,"['TIMM10', 'HGS', 'PTPN11', 'CD2AP', 'PRKCI', 'NAPG', 'NAPA', 'SNX27', 'SYTL4', 'ASPSCR1', 'TRIM3', 'KPNB1', 'GDI1', 'ATG4A', 'GRIPAP1', 'CD38', 'EHD1', 'CHMP2A', 'DENND10', 'LRSAM1', 'VAPA', 'PRKCB', 'OXCT1', 'PDCD6IP', 'PURA', 'KEAP1', 'UBE2L3', 'RAB6A', 'RABGAP1L', 'RAB13', 'IST1', 'PLEKHA3', 'AP2A2', 'AP2B1', 'HSPD1', 'RILP', 'RANGAP1', 'CHMP6', 'VPS25', 'GGA1', 'NDEL1', 'RAB21', 'USO1', 'KPNA4', 'AKT1', 'AKT2', 'RAB32', 'VTA1', 'ARRB1', 'SRC', 'LIN7B', 'VEGFC', 'PIK3C3', 'AIP', 'STAT3', 'AGAP2', 'BAD', 'ZDHHC4', 'UBE2Q1', 'IFNG', 'ZFAND1', 'SNX8', 'ARL6IP5', 'EHD3', 'RAB5C', 'VPS4A', 'RABEP1', 'AP4M1', 'SMAD2', 'SMAD3', 'VIP', 'SMAD4', 'RAF1', 'RNF31', 'HADH', 'KPNA6', 'TBC1D13', 'CPTP', 'GSK3B', 'PLEKHF2', 'FAF2', 'FMR1', 'RAB11FIP3', 'OSBP', 'PPM1F', 'EIF5A2', 'ARL8A', 'NUTF2', 'APPL1']"
GO:0015031~protein transport,86,4.31e-12,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 4089, 5894, 55072, 3033, 23633, 54662, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.192685025,"['TIMM10', 'HGS', 'PTPN11', 'CD2AP', 'PRKCI', 'NAPG', 'NAPA', 'SNX27', 'SYTL4', 'ASPSCR1', 'TRIM3', 'KPNB1', 'GDI1', 'ATG4A', 'GRIPAP1', 'CD38', 'EHD1', 'CHMP2A', 'DENND10', 'LRSAM1', 'PRKCB', 'OXCT1', 'PDCD6IP', 'PURA', 'KEAP1', 'UBE2L3', 'RAB6A', 'RABGAP1L', 'RAB13', 'IST1', 'AP2A2', 'AP2B1', 'HSPD1', 'RILP', 'RANGAP1', 'CHMP6', 'VPS25', 'GGA1', 'NDEL1', 'RAB21', 'USO1', 'KPNA4', 'AKT1', 'AKT2', 'RAB32', 'VTA1', 'ARRB1', 'SRC', 'LIN7B', 'VEGFC', 'PIK3C3', 'AIP', 'STAT3', 'AGAP2', 'BAD', 'ZDHHC4', 'UBE2Q1', 'IFNG', 'ZFAND1', 'SNX8', 'ARL6IP5', 'EHD3', 'RAB5C', 'VPS4A', 'RABEP1', 'AP4M1', 'SMAD2', 'SMAD3', 'VIP', 'SMAD4', 'RAF1', 'RNF31', 'HADH', 'KPNA6', 'TBC1D13', 'GSK3B', 'PLEKHF2', 'FAF2', 'FMR1', 'RAB11FIP3', 'OSBP', 'PPM1F', 'EIF5A2', 'ARL8A', 'NUTF2', 'APPL1']"
GO:0045184~establishment of protein localization,88,2.03e-11,"26519, 9146, 5781, 23607, 5584, 8774, 8775, 81609, 94121, 79058, 10612, 3837, 673, 2664, 115201, 56850, 952, 10938, 27243, 404636, 90678, 5579, 5019, 10015, 5813, 9817, 7332, 5870, 9910, 5872, 9798, 161, 163, 3329, 83547, 5905, 79643, 84313, 26088, 81565, 23011, 8615, 3840, 207, 208, 10981, 51534, 408, 6714, 64130, 7424, 5289, 9049, 6774, 116986, 572, 55146, 55585, 3458, 79752, 29886, 10550, 30845, 5878, 27183, 9135, 9179, 4087, 4088, 7432, 22948, 4089, 5894, 55072, 3033, 23633, 54662, 2932, 79666, 23197, 2332, 9727, 5007, 9647, 56648, 127829, 10204, 26060",416,2.103953046,"['TIMM10', 'HGS', 'PTPN11', 'CD2AP', 'PRKCI', 'NAPG', 'NAPA', 'SNX27', 'SYTL4', 'ASPSCR1', 'TRIM3', 'KPNB1', 'BRAF', 'GDI1', 'ATG4A', 'GRIPAP1', 'CD38', 'EHD1', 'CHMP2A', 'DENND10', 'LRSAM1', 'PRKCB', 'OXCT1', 'PDCD6IP', 'PURA', 'KEAP1', 'UBE2L3', 'RAB6A', 'RABGAP1L', 'RAB13', 'IST1', 'AP2A2', 'AP2B1', 'HSPD1', 'RILP', 'RANGAP1', 'CHMP6', 'VPS25', 'GGA1', 'NDEL1', 'RAB21', 'USO1', 'KPNA4', 'AKT1', 'AKT2', 'RAB32', 'VTA1', 'ARRB1', 'SRC', 'LIN7B', 'VEGFC', 'PIK3C3', 'AIP', 'STAT3', 'AGAP2', 'BAD', 'ZDHHC4', 'UBE2Q1', 'IFNG', 'ZFAND1', 'SNX8', 'ARL6IP5', 'EHD3', 'RAB5C', 'VPS4A', 'RABEP1', 'AP4M1', 'SMAD2', 'SMAD3', 'VIP', 'CCT5', 'SMAD4', 'RAF1', 'RNF31', 'HADH', 'KPNA6', 'TBC1D13', 'GSK3B', 'PLEKHF2', 'FAF2', 'FMR1', 'RAB11FIP3', 'OSBP', 'PPM1F', 'EIF5A2', 'ARL8A', 'NUTF2', 'APPL1']"
