"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"SAA_15515.2",1.01878886374756e-10,65346.2104125926,6612.63123466667,3.30480721858037,33.0213554993118,33.0213554993118
"CX038_24707.6",1.26705772996752e-11,319.828950607407,1834.02137858519,-2.51963801485142,-27.4570084391904,27.4570084391904
"Cysteine.rich.protein.1_15529.33",4.14881025765794e-16,29273.2223048889,93994.6085514815,-1.68299644558574,-25.887979952048,25.887979952048
"NEK7_12703.6",3.14733875903719e-14,12386.633538837,41767.6981903704,-1.75360349650905,-23.6772535058982,23.6772535058982
"X6.Phosphogluconate.dehydrogenase_4187.49",1.68116227951566e-12,4910.05351854815,19261.5088885556,-1.97191006917968,-23.2180389150274,23.2180389150274
"PKHF2_20994.37",6.41465014668116e-13,3779.46310692593,12491.0688885926,-1.72464372533745,-21.0282826227033,21.0282826227033
"MBNL1_24408.30",3.9905830472445e-11,4326.78191306667,17532.7368717778,-2.01868490915819,-20.9922309845664,20.9922309845664
"CRP_4337.49",1.53642817301997e-10,57376.9216464444,14941.8546911481,1.94111133054695,19.0490722402347,19.0490722402347
"HSP.60_2682.68",4.74667651183555e-12,11876.5444445926,36093.3680655556,-1.60361863913646,-18.1587526430551,18.1587526430551
"MBNL2_24446.65",2.01927972323798e-09,1114.74189297889,4596.81465026296,-2.04392478831514,-17.7715244352794,17.7715244352794
"UBS3B_12558.3",2.81756869447462e-10,20557.6279217037,74113.5816440741,-1.85006414083968,-17.6683447035033,17.6683447035033
"KS6A6_12688.115",3.11735760781271e-13,1355.54779832593,3348.50100818519,-1.30463941710452,-16.3160989274253,16.3160989274253
"ARL8A_23281.29",1.00924356986544e-09,11874.358600863,40689.4388059259,-1.77680479502151,-15.9841430590531,15.9841430590531
"SRCN1_5488.74",1.78358132672132e-10,44646.8310483704,137339.681471481,-1.62111883852615,-15.8038127037884,15.8038127037884
"p60.Src_15433.4",6.02798006006946e-10,4173.33775727778,13615.420206037,-1.70596791738009,-15.7287311009393,15.7287311009393
"RNF31_23183.6",3.88088338758823e-11,1223.16393007037,3465.549033,-1.50246616209693,-15.6422794948136,15.6422794948136
"PP1G_19295.32",7.08869615809567e-11,21551.1506997778,60823.1006996296,-1.49685446289319,-15.1922250374168,15.1922250374168
"M2.PK_4240.31",3.68497883865747e-10,16244.7580246296,48436.6279837037,-1.57612417829785,-14.8684698868424,14.8684698868424
"Glutathione.peroxidase_15591.28",1.06817790325643e-11,3673.60901228519,8831.12962981482,-1.26539990491498,-13.8831533583296,13.8831533583296
"KLC1_12656.1",8.43652930605553e-08,1286.03240735926,5003.67771604815,-1.96006187105186,-13.8651565795324,13.8651565795324
"FAH2A_23389.28",5.06007928184819e-10,804.125596692593,2230.95438265556,-1.47216825521742,-13.6850444968356,13.6850444968356
"CIAO1_21178.8",2.10411125757855e-10,2369.24053501111,6297.15798348148,-1.41027618789783,-13.6471457843611,13.6471457843611
"SAA2_18832.65",9.50607065512253e-05,12315.8436218519,1194.15746916296,3.36645045709782,13.5398602443355,13.5398602443355
"WWP1_11307.33",8.48614260989284e-10,3364.77127574074,9387.15823037037,-1.48018003835144,-13.4271418978183,13.4271418978183
"OSBL1_25266.14",3.03841813715638e-09,731.4727572,2180.61039097407,-1.57585598801815,-13.422120876429,13.422120876429
"VPS25_18189.12",5.91423455197171e-11,1400.75343620741,3466.003251,-1.30706997603307,-13.3688443247377,13.3688443247377
"AIP_3839.60",4.68104736362184e-11,1631.7769753,3989.26777781481,-1.2896800778947,-13.3219527987127,13.3219527987127
"PYRG1_23705.42",2.56508564173078e-12,11775.8646506667,26055.4709051852,-1.14575333452374,-13.2803101829325,13.2803101829325
"GLRX3_16596.25",4.34656003987885e-11,6038.6212963037,14579.2084365926,-1.27162128779354,-13.1763545305167,13.1763545305167
"RPS6KA3_3469.74",3.74378382258192e-10,1944.47427986296,5081.16845685185,-1.38578014290149,-13.0633187575066,13.0633187575066
"AGAP2_14291.53",1.32340201340446e-08,407.222078196296,1275.74273666667,-1.64744974121786,-12.9791168200901,12.9791168200901
"DEST_18883.4",4.17642411491451e-12,2818.91041151852,6142.04312751852,-1.12358101451285,-12.785447917783,12.785447917783
"SMAD2_10364.6",1.66882440405123e-09,3142.11425927778,8478.54925977778,-1.43208178700993,-12.5702258533959,12.5702258533959
"DCTD_17756.69",5.7763580916635e-10,2452.17216056667,6213.47069959259,-1.34133907893173,-12.3917543690166,12.3917543690166
"I5P2_12641.3",1.56393265742946e-08,4436.85569971926,13290.2571602593,-1.58275948223289,-12.3546753999652,12.3546753999652
"TTC9A_24474.12",3.5929343329059e-08,826.994094655556,2553.43709876296,-1.62649158756811,-12.1084991196395,12.1084991196395
"LYN_3453.87",2.82527767295151e-08,6220.75660481852,18476.0853498519,-1.57049715065873,-11.855586974161,11.855586974161
