"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"SAA_15515.2",1.05083984978808e-09,76888.7183905185,6329.07411514815,3.60270556488237,32.3467602942213,32.3467602942213
"MBNL1_24408.30",6.35225803146124e-14,3099.46209875926,16905.9918921481,-2.44744489567975,-32.2991061836868,32.2991061836868
"Cysteine.rich.protein.1_15529.33",3.05334478955414e-17,26331.8305348519,93514.7152196296,-1.82838558333604,-30.1961977442859,30.1961977442859
"NEK7_12703.6",1.05656705323253e-15,10307.9807827037,40751.0246925926,-1.98307458397412,-29.6987290993138,29.6987290993138
"MBNL2_24446.65",1.26665048406883e-11,750.184259301852,4350.97810707778,-2.53602286048929,-27.6359114904581,27.6359114904581
"CX038_24707.6",6.52603605427089e-11,311.128024711111,1696.57903291852,-2.4470483817606,-24.9240455350443,24.9240455350443
"PKHF2_20994.37",1.07382578430056e-13,3289.92520565556,12272.1870778519,-1.89926568994126,-24.6317024113081,24.6317024113081
"CRP_4337.49",1.09544131027066e-11,62861.9227567037,15994.1803698148,1.97463933782177,21.6428584929734,21.6428584929734
"X6.Phosphogluconate.dehydrogenase_4187.49",1.34070722698144e-11,4772.50327155556,18591.1383948519,-1.96179702208177,-21.3299638781594,21.3299638781594
"GLRX3_16596.25",9.31974238504024e-14,5127.1693619963,14520.0617695556,-1.50181313157791,-19.569520323531,19.569520323531
"PP1G_19295.32",7.74908093978467e-12,19073.4026339259,59597.6833744444,-1.64369401389742,-18.2626729408432,18.2626729408432
"UBS3B_12558.3",5.15330826326067e-10,18365.5600412296,70812.2603692593,-1.94699627839199,-18.0835337543157,18.0835337543157
"I5P2_12641.3",9.77313703634168e-10,3516.92954718148,12926.993003963,-1.87799838389478,-16.9207016087781,16.9207016087781
"PYRG1_23705.42",1.08333248560253e-13,10405.1832507037,25494.9650203704,-1.29290998526422,-16.762885973532,16.762885973532
"SAA2_18832.65",6.24487144402049e-05,18239.1468724815,1198.21738685926,3.92807667144052,16.5155060455219,16.5155060455219
"CIAO1_21178.8",2.88862205373535e-11,2059.58788065926,6089.93172833333,-1.56407036882707,-16.4842213486413,16.4842213486413
"DEST_18883.4",1.89135390498003e-13,2626.13726338148,6279.12609048148,-1.25762145798841,-16.0010035410197,16.0010035410197
"Glutathione.peroxidase_15591.28",3.99653554812281e-12,3308.45218118519,8733.57617292593,-1.40041609336792,-15.962385611466,15.962385611466
"KS6A6_12688.115",9.04860313501877e-13,1317.82847733704,3231.4488682963,-1.2940185559866,-15.5844069637177,15.5844069637177
"SRCN1_5488.74",7.13100811510835e-10,41217.021517963,133523.858301111,-1.69578538877459,-15.5110930050852,15.5110930050852
"WWP1_11307.33",2.74658870777509e-10,2959.24405344815,8958.10185166667,-1.59796438667855,-15.2784672726526,15.2784672726526
"KLC1_12656.1",6.9342680547362e-08,1123.85491771481,4601.62316864074,-2.03368703958179,-14.5591642433548,14.5591642433548
"ARL8A_23281.29",6.81017279115798e-09,11460.1445682852,39040.1747318519,-1.76833426634945,-14.4417063244698,14.4417063244698
"SNX8_6925.26",5.87875435317594e-10,950.785164637037,2809.4985597037,-1.5631213629009,-14.4287273215516,14.4287273215516
"p60.Src_15433.4",4.94285620815628e-09,4041.51341570741,13243.8098356667,-1.71235065895029,-14.2228222849341,14.2228222849341
"OSBL1_25266.14",2.61463990343075e-09,646.516666677778,2024.03890945556,-1.64647755705069,-14.1310387129275,14.1310387129275
"HSP.60_2682.68",4.10634801975895e-10,12327.2437036296,34959.4406581481,-1.50383184427954,-14.1157841452239,14.1157841452239
"SMAD2_10364.6",8.97814328679346e-10,2773.39339511111,8162.80880696296,-1.55741339464597,-14.0896284735384,14.0896284735384
"RPS6KA3_3469.74",2.29993412439025e-10,1752.95460907037,4827.81290133333,-1.46158112699381,-14.0871348723926,14.0871348723926
"LANC2_12628.31",2.84508536288623e-12,5102.94909453704,11852.4882304815,-1.21578680544773,-14.0373585895912,14.0373585895912
"M2.PK_4240.31",2.79307955709702e-09,15082.0272842333,45954.0505762963,-1.60736166740515,-13.7492377998415,13.7492377998415
"PRAF3_13503.19",2.47601877209593e-09,8009.08008222222,24161.7226754074,-1.5930148689378,-13.7098779504809,13.7098779504809
"PKC.B.II_5475.10",1.11239434585006e-10,31053.0944033704,79708.3611911111,-1.35999402852592,-13.5370286305691,13.5370286305691
"HGS_13644.30",9.53008819114112e-09,3430.13629648148,10748.7405353333,-1.64782981633352,-13.2170832497969,13.2170832497969
"TXN4A_21651.9",1.15695052060534e-08,25453.9835398148,8090.26847748148,1.65363197051612,13.1243564100537,13.1243564100537
"SYMC_24425.8",2.34705845372085e-09,8905.08485645185,25546.6360071481,-1.52043206498956,-13.120532157561,13.120532157561
"LYNB_3381.24",2.25524846298906e-09,18367.7046091852,52118.1162548148,-1.5046135946292,-13.0101012626328,13.0101012626328
"KPCT_3817.18",4.80597618530201e-09,1444.20960905926,4155.5650822963,-1.52476452431735,-12.6833242998172,12.6833242998172
"KPRB_19150.20",5.63595593732353e-13,16205.8737862222,33155.2798148148,-1.0327218209046,-12.6498430557281,12.6498430557281
"C3b_4480.59",0.00013460935790291,23647.6441984815,2468.96425930741,3.25971861071656,12.6181254396551,12.6181254396551
"IL.1F6_14150.7",1.32988893055659e-07,6647.76024681481,1870.72197535556,1.82927318912015,12.5784201850008,12.5784201850008
"LYN_3453.87",2.76753565458034e-08,5562.25964978889,17539.2106587778,-1.65684082437062,-12.5222484921569,12.5222484921569
"FER_4220.39",2.97509211895283e-07,579.41172842963,2175.41399181481,-1.90862918594666,-12.4566675852198,12.4566675852198
"FAH2A_23389.28",2.27034076322268e-09,786.15705757037,2133.36763369259,-1.44024313390041,-12.4493305198604,12.4493305198604
"AIP_3839.60",2.832011487276e-10,1555.20162557037,3820.49991774074,-1.29665979724029,-12.3803845476023,12.3803845476023
"DCTD_17756.69",1.00989664239677e-09,2351.71730444074,6006.78168725926,-1.35287758405239,-12.1701120960407,12.1701120960407
"AMPD2_18403.25",1.5904212474496e-07,960.221584348148,3304.82604942593,-1.78313506591233,-12.1226220464412,12.1226220464412
"VPS25_18189.12",5.46114919537706e-10,1326.56627576296,3266.9257612963,-1.30023691590018,-12.0437252309125,12.0437252309125
"Alpha.1.syntrophin_19274.80",9.6358228936276e-09,5182.36563788518,14636.635431963,-1.49790124254489,-12.0073429132729,12.0073429132729
"DOK2_19578.19",5.19398551880239e-09,18097.5681889259,49167.1909462963,-1.44190008032575,-11.9454201564532,11.9454201564532
"AGAP2_14291.53",5.06228258815355e-08,394.596440333333,1225.63244862222,-1.63507655159972,-11.928952154796,11.928952154796
"GAPDH..liver_3848.14",8.51014113075497e-08,2831.20510271481,9059.4494647037,-1.678007114479,-11.8636164124904,11.8636164124904
"INP4A_25064.34",6.17021266058605e-09,301.703868314815,820.700637825926,-1.44372288031371,-11.8525315391509,11.8525315391509
"AMPK.a2b2g1_5245.40",6.08809086617619e-08,2438.78335387037,7481.42283925926,-1.61715106834407,-11.6685840561383,11.6685840561383
"HMHA1_13544.9",9.56310861917322e-09,18090.2128396667,49234.9204940741,-1.44447254640546,-11.5838044551595,11.5838044551595
"PRDC1_20950.159",1.20694627495646e-08,10391.6732716704,28619.9146914815,-1.46159139545363,-11.5733367753281,11.5733367753281
"SYDC_12675.14",1.43746141928807e-09,31913.2619337778,78931.1689703704,-1.30643903809445,-11.5520615184662,11.5520615184662
"HDHD2_13472.35",2.43614891557931e-09,2556.13551443333,6406.9538682963,-1.32567427946384,-11.4184251912055,11.4184251912055
"ERAB_4217.49",1.02671529784518e-07,3951.54292222593,12047.1188061111,-1.60820016804199,-11.2389872313506,11.2389872313506
"HSP.40_3852.19",1.01960527697943e-08,797.371419714815,2101.80728395926,-1.39830659306959,-11.174662119191,11.174662119191
"RAGP1_25036.10",1.17532710501618e-09,1025.02806581111,2425.73674896296,-1.24275957966408,-11.0976457560456,11.0976457560456
"UBP4_21763.46",7.77631873922439e-08,1675.5516666963,4904.205247,-1.54938318520464,-11.0149151415769,11.0149151415769
"RNF31_23183.6",3.20519533362334e-09,1350.30088478148,3308.46866259259,-1.2928826987097,-10.9819337549596,10.9819337549596
"STAT3_10346.5",1.05468868352475e-09,14130.4868731111,32814.9134977778,-1.21554045474965,-10.9117555873916,10.9117555873916
"ARH_18183.3",2.60609436147862e-08,17519.1753912222,47407.3421807407,-1.43617564243671,-10.8919702378175,10.8919702378175
"VAV_5275.28",1.88258085589075e-07,3500.10057611852,10653.2404115185,-1.60582403992951,-10.7995622825472,10.7995622825472
"Histone.H2A.type.1_22468.54",7.23158599808332e-06,44981.871768963,10553.1256372593,2.09167333390461,10.7528040884132,10.7528040884132
"ACADV_19262.219",1.15614921397557e-07,5885.82763368889,17225.4648147037,-1.54922571464672,-10.7469572664582,10.7469572664582
"KC1G1_20130.144",2.77520807996672e-07,2060.34872428889,6368.90218114815,-1.62815617263396,-10.6753388203263,10.6753388203263
"iC3b_2683.1",1.8864300048009e-05,36396.2721803333,7619.06526759259,2.25610477363179,10.6586495791886,10.6586495791886
"M4K5_21989.12",1.1541029626408e-07,3730.28187243704,10694.8488688148,-1.51955954109493,-10.54233247889,10.54233247889
"MP2K5_22041.26",3.8662695384212e-09,17096.0256792593,40740.5624685185,-1.25280491831502,-10.5394817987028,10.5394817987028
"PTRD1_20386.15",3.95488498925759e-08,1106.76051441111,2939.78629628148,-1.40936820479651,-10.4333641642811,10.4333641642811
"GSTK1_13474.40",2.09625552550379e-08,4580.70999996296,11741.0658441111,-1.35792024571784,-10.4268663510345,10.4268663510345
"UN45A_13082.9",1.84450916868709e-07,3713.05343597037,10806.2065426296,-1.54118217922285,-10.3785044755072,10.3785044755072
"PKC.A_2644.11",2.60846618255929e-08,15175.6750624444,39146.8860085185,-1.36713685738442,-10.367839290675,10.367839290675
"BIN2_21540.73",7.73609372527281e-09,40400.8560475185,97459.1712,-1.27041209145303,-10.3049200830092,10.3049200830092
"RABE1_24417.22",1.43497714609461e-08,2327.35629631481,5784.41662548148,-1.31347937619336,-10.3018223572621,10.3018223572621
"SHIP_25264.102",3.71198352617072e-10,1021.16296294815,2172.27037033333,-1.08899056048934,-10.2696100039759,10.2696100039759
"PDE5A_16805.5",5.94703358761861e-09,29261.3695057778,69516.9646492593,-1.24836779766255,-10.2686985047318,10.2686985047318
"SYNC_21383.37",4.19067670214614e-09,15631.3547329259,36467.7897122222,-1.22217994280629,-10.2390762690641,10.2390762690641
"VAPA_7167.102",6.6017628809914e-08,24479.0476955926,65693.4378611111,-1.42420183227567,-10.2262534961766,10.2262534961766
"EFHA1_6226.69",1.37264375849568e-07,1517.16082305185,4256.08341562963,-1.48815240354352,-10.2123597951115,10.2123597951115
"EHD3_25232.4",1.86310516955889e-08,16798.4279416667,41497.8424285185,-1.30471010262252,-10.0850993930923,10.0850993930923
"PDLI5_23703.8",6.5577087175274e-11,20478.3516465926,40610.9940733333,-0.987770747989287,-10.058714373288,10.058714373288
"FAF2_9738.7",2.32651480215777e-07,4789.26469155556,13690.6009055185,-1.51530969321004,-10.0514949688343,10.0514949688343
"TTC9A_24474.12",2.62379819010732e-07,830.146728381481,2392.04907405926,-1.52680872706862,-10.0480344557421,10.0480344557421
"MAPK2_3820.68",2.69082610136864e-08,2707.4501440037,6764.70460911111,-1.32109216639844,-10.0008187906419,10.0008187906419
"EIF1B_12701.1",2.52753893496e-08,6240.49156367407,15534.2230457778,-1.31571850613771,-9.9959110297966,9.9959110297966
"BAP18_21153.5",2.10021710886431e-08,9258.57718088889,22784.4367477778,-1.29918629791449,-9.97480916073056,9.97480916073056
"RAB21_17514.48",1.10076179788102e-09,26345.8881072963,56930.7658848148,-1.1116306952235,-9.95832865059684,9.95832865059684
"ZADH2_17345.12",2.76505105829772e-07,3358.44851851111,9620.05438311111,-1.51825013563371,-9.95713507411585,9.95713507411585
"TACO1_9257.14",2.34048516793295e-07,1473.55716054074,4154.99139922222,-1.49554246571873,-9.91648461380342,9.91648461380342
"GSH0_18214.2",2.76027232843636e-09,2141.62495875556,4777.090391,-1.15742631787819,-9.90646749027232,9.90646749027232
"SHP.2_11830.48",2.246094480829e-10,19258.963004,39172.1021803704,-1.02429652937302,-9.88299879181556,9.88299879181556
"DOK2_14246.50",3.547624955041e-07,1559.61699592963,4490.64176962963,-1.52572985740253,-9.84105263139783,9.84105263139783
"CSNK1G2_17436.193",1.71022348924856e-07,595.791707851852,1629.79325107037,-1.45180901204441,-9.82431483171251,9.82431483171251
"CHKB_13117.232",4.05925678023525e-07,6924.10162551852,2386.66606996296,1.53663017332267,9.82145392445615,9.82145392445615
"DECR_12687.2",9.37656551382059e-08,9762.31043207407,25576.5468720741,-1.38952696306031,-9.76553464570424,9.76553464570424
"HEXI1_15596.7",7.95994601623354e-08,3143.09623464815,8132.32131666667,-1.37148077378359,-9.73626527849764,9.73626527849764
"Dynamin_24435.1",6.0287048738787e-08,12829.2682092593,32598.201647037,-1.34535349673589,-9.71315085475049,9.71315085475049
"DUS28_9940.35",2.04996259559309e-07,1349.41137861852,3682.17979422222,-1.44822984040037,-9.68612911447093,9.68612911447093
"IMPCT_20463.315",5.76874086328752e-08,1252.19921808519,3153.42806581481,-1.33245691819081,-9.64554766110453,9.64554766110453
"ACO13_17675.17",7.83024260387296e-08,12835.3226541444,32819.3237444444,-1.35442594902295,-9.62485524435412,9.62485524435412
"CN37_6609.22",1.34792493961744e-09,2842.38010283704,6018.19843633333,-1.08223218232898,-9.59976123794916,9.59976123794916
"RAB6A_20083.1",6.35335472567563e-07,2636.70302477778,7711.50983574074,-1.54827826514238,-9.59467560339346,9.59467560339346
"SH3G3_18318.98",1.1549581177047e-07,8746.61263391852,22773.8349797778,-1.38058094636258,-9.57768887168029,9.57768887168029
"PDE5A_5256.86",7.3896827654299e-08,9342.18604911111,23616.6425107037,-1.33797179505416,-9.54157754653704,9.54157754653704
"ATE1_25108.6",1.54784800567898e-08,5835.90121374074,13595.5166671111,-1.22010361120122,-9.52934069105986,9.52934069105986
"DAB2_21963.48",9.4719862449559e-08,16732.6997521852,42825.9841974074,-1.35581616465924,-9.52265474604491,9.52265474604491
"UB2Q1_21727.15",6.50432573568172e-08,1883.40500005185,4704.61181074074,-1.32073242268042,-9.49183676070193,9.49183676070193
"DNJB9_11214.40",3.28497806230512e-08,21079.8567081852,8771.69666644444,1.26493723195741,9.46611669827989,9.46611669827989
"XPO5_25963.2",7.1669368191702e-06,14716.8700001852,4127.70576118519,1.83405883141646,9.43562088977365,9.43562088977365
"AP4A_16583.8",5.3640426254957e-08,3967.83841544444,9672.156996,-1.28548438701231,-9.34612423642381,9.34612423642381
"FHOD1_25115.21",2.62488132958838e-08,22047.2837448148,51773.6479440741,-1.23161704856586,-9.3367537690429,9.3367537690429
"SYDM_12395.86",4.78335885167365e-07,9116.10222191481,25379.0431881111,-1.47714867212246,-9.33597406081268,9.33597406081268
"GSK.3.beta_24050.26",3.98487719980725e-07,2760.50934145185,7588.08131651852,-1.45880065609433,-9.33571888064462,9.33571888064462
"RAB32_17778.19",1.49102151775179e-06,4104.6831684963,12378.0666247778,-1.59244321942298,-9.27839603872197,9.27839603872197
"ACTN1_9843.5",3.75282068541152e-07,5814.61137828889,15814.3413573704,-1.44347879413594,-9.27527823454112,9.27527823454112
"SARG_24950.21",2.53659107697275e-07,2110.38685187407,5589.55209881481,-1.40522520041275,-9.26851346866871,9.26851346866871
"SYYC_19270.26",3.0585795654588e-08,17158.0560082593,40304.3910696296,-1.23205091948984,-9.25822226126641,9.25822226126641
