"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"SAA_15515.2",1.06124149710508e-08,57888.1900840741,6631.21337459259,3.12592426748035,24.926700831829
"CRP_4337.49",1.31300155440767e-08,54980.3651443704,16735.0907404074,1.71604011476426,13.5253730216922
"H2B2E_14143.8",2.1710271155295e-05,27892.1495474074,4556.886173,2.61373888308282,12.1887393669009
"Histone.H2A.type.1_22468.54",7.24644952728632e-06,47016.2701618519,9392.14370318519,2.32363370590029,11.9431861629684
"H2A3_14144.3",0.000190504663667113,14871.7637451111,1620.10543209259,3.19841614871941,11.8984099655694
"TR.ECD_8795.48",2.69450067307357e-08,10253.1698765556,3722.00098766667,1.46191965987099,11.0660325942885
"IL.1F6_14150.7",1.33651718256491e-05,7685.89458877778,1777.37633748148,2.11246400356538,10.2962033229468
"SAA2_18832.65",0.000716849643234625,10785.7308643704,1207.74434161111,3.15873694119142,9.93287550867545
"H2B3B_18823.52",0.000310886908717487,12477.9485795926,1753.14703714444,2.83136186365536,9.93071170758228
"H2B2E_22974.25",0.000452924600021859,10035.0132915185,1502.62228403704,2.73948821961267,9.1607776276851
"VSIG4_17678.28",9.18050385811735e-07,10688.889876037,3895.00613162963,1.45641452125683,8.79256887074663
"H2A1A_22402.12",0.000525494263295953,7403.21786025926,1186.15053492963,2.64186536990283,8.6638178884541
"IGF.I_2952.75",2.10768217140248e-08,28625.1500414815,13422.8568727407,1.09259149299417,8.3869452223726
"PRKRA_22010.36",5.14976164438742e-06,2164.22652259259,767.05026752963,1.4964584784217,7.91359098758495
"S35G2_13501.10",1.1310843072685e-07,2779.79041151852,1266.5431480963,1.13407988478982,7.87789161617514
"C3b_4480.59",0.0033070946210546,19980.6758454852,2305.13059675185,3.11568498934616,7.72862292846093
"Apo.A.V_15363.32",1.24682341905602e-06,27703.4958025926,11317.6293014815,1.29149624700011,7.62524574730808
"OLFL3_8660.33",3.83029933813446e-06,9750.11967144444,3679.48915648148,1.40591444340872,7.61551136195236
"XPO5_25963.2",6.51196850665367e-05,13817.7156786667,3952.61962951852,1.80563809874525,7.55892057870381
"Lectin..mannose.binding.2_7638.30",2.09575462079483e-06,10256.0856791111,4080.85390937037,1.3295372498182,7.54998942418755
"TXN4A_21651.9",1.5066842088793e-06,19105.3668723704,7873.36905355556,1.27892495212443,7.44587263235189
"BLC_13701.2",0.00145633255187815,5961.31742781481,983.516707844444,2.5996097297526,7.37441545692215
"sperm.egg.fusion.protein.1_21526.88",2.41837893957038e-06,2502.13168722222,1019.97360082593,1.29462590802053,7.27123488548992
"FTMT_8048.9",2.18466958948217e-05,11269.0291772593,3903.62981481481,1.52947508095139,7.12829333686978
"alpha.1.antichymotrypsin.complex_4153.11",6.84593408793354e-06,18966.4605763704,7335.93851862963,1.37039702242417,7.0775076315673
"HTRA1_15594.47",7.72863917005806e-08,22059.3130046667,11105.3246916667,0.990136287373247,7.04174726037547
"Kininostatin_19631.13",0.000397989737372982,19728.2534571852,4738.8367902963,2.05765836062988,6.9963020668473
"IGF.II.receptor_3676.15",4.15220935272524e-08,12239.6120155185,6371.28888881481,0.941900667511364,6.95284770901726
"Inhibin.bB.chain_13676.46",2.97326106731025e-07,13014.7105551481,6229.66487659259,1.06291676582005,6.93741002400086
"calgranulin.B_5339.49",0.00046095908692517,17070.7941566296,4052.65109048148,2.07459229781596,6.92154032795486
"DNJB9_11214.40",3.85208531477705e-07,17898.0393006667,8494.1560492963,1.07525903306446,6.89703842738289
"C3_2754.50",2.62391533686724e-06,68980.7816844444,29614.9888692593,1.21986693349219,6.80813857117786
"FGL1_5581.28",1.58619624145195e-07,75237.9919307407,37803.0294237037,0.992959492051545,6.751770142357
"H2B1K_22403.13",0.00173945173578852,2795.44866247407,519.3656996,2.42825720801681,6.7009885222055
"SPON2_8099.42",1.10973765231106e-06,11762.7401636296,5398.79600814815,1.12351456808093,6.69028171853936
"iC3b_2683.1",0.000312779263388643,27409.6378196296,7299.95646103704,1.90872350057644,6.68962168394226
"CTLA.4_3022.4",0.0957014842659812,6931.18123493556,74.0276131662963,6.54889391870084,6.67385550213188
"C4b.binding.protein.alpha.chain_9449.150",1.38719862590818e-08,21705.353827,12207.7534565185,0.830253209268618,6.52401460387411
"IGF.II.receptor_16057.6",3.48869583855689e-09,8185.01666625926,4851.91541159259,0.754430955607034,6.38047675392808
"BSP_14023.84",1.60526984798983e-05,4305.70506177778,1712.92847733333,1.32978458563645,6.37558830187082
"P.Cadherin_2643.57",6.79644117766171e-08,34190.3725111111,18474.5393,0.888051753013419,6.36530492353971
"OAF_6414.8",1.11346398725583e-07,10386.7334982593,5507.723786,0.915213900662769,6.36377862024901
"HCC.4_4913.78",5.09869056266452e-07,22498.3199181111,11166.4681892222,1.01064431892355,6.35952116128713
"Endothelial.lipase_23148.100",3.27117408886323e-08,2130.47072016296,1192.4845884,0.837201603121397,6.26670209778713
"FCN2_13717.15",2.47383717354615e-07,30270.1418926296,15765.3861737037,0.941134928556924,6.21772920722913
"Myeloperoxidase_2580.83",7.41859239914897e-06,17942.5546091111,7843.2908437037,1.19385430731583,6.12408876015888
