"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"CX038_24707.6",2.6403601903525e-13,266.619958851852,1854.70475306667,-2.79833285722469,-35.1983732235113,35.1983732235113
"SAA_15515.2",1.94548918877696e-09,76476.8868268148,6629.19551451852,3.52811808825449,30.7333349802796,30.7333349802796
"MBNL1_24408.30",1.51963675730154e-13,4019.88730460741,17898.2343203333,-2.15459030922479,-27.6180992299792,27.6180992299792
"Cysteine.rich.protein.1_15529.33",3.86991130119441e-17,29834.243620963,95084.2756707407,-1.6722375775293,-27.4452631029612,27.4452631029612
"MBNL2_24446.65",2.61531410920087e-11,1013.82693421,4660.80139922593,-2.20076664226144,-23.2895604885705,23.2895604885705
"NEK7_12703.6",2.36384080002352e-14,12843.2232930741,41686.6900011111,-1.6985794997159,-23.1454927394647,23.1454927394647
"PKHF2_20994.37",3.61541145074442e-13,4030.3575513037,12672.0275716667,-1.65266764196868,-20.5622301274494,20.5622301274494
"X6.Phosphogluconate.dehydrogenase_4187.49",3.55853790238039e-11,5971.08483538889,19498.2244438148,-1.70727778325197,-17.8388818675434,17.8388818675434
"CRP_4337.49",5.9856014777754e-10,59260.7865426296,16790.999053,1.81938970248927,16.7800350993484,16.7800350993484
"UBS3B_12558.3",4.3483083067248e-10,22930.0904117481,75549.0937425926,-1.72017240611203,-16.1037030446563,16.1037030446563
"KS6A6_12688.115",1.24931644344013e-13,1424.57199585556,3379.64615225926,-1.24634366948777,-16.0819805995734,16.0819805995734
"SAA2_18832.65",0.00010107720342045,17699.4446091852,1204.2982099037,3.87743950720765,15.4917154596167,15.4917154596167
"PP1G_19295.32",2.63655529831858e-11,22556.9341152963,61745.5993007407,-1.45276532398244,-15.3687507778514,15.3687507778514
"PYRG1_23705.42",1.29472831284721e-13,11645.8645267037,26223.9892181481,-1.17106942490496,-15.0925335422831,15.0925335422831
"WWP1_11307.33",1.13204710057379e-10,3421.40164611481,9511.39995855556,-1.47507022799915,-14.6712483645291,14.6712483645291
"KLC1_12656.1",2.34480083263589e-08,1331.01528806296,5001.30862134444,-1.90977849162541,-14.5714075316454,14.5714075316454
"Glutathione.peroxidase_15591.28",7.52700612630748e-12,3639.56325114815,8885.1146502963,-1.28762505548195,-14.3227398673674,14.3227398673674
"OSBL1_25266.14",9.5745575005783e-10,745.8395062,2207.76288066296,-1.56564810929977,-14.1203944370653,14.1203944370653
"GLRX3_16596.25",1.26817722335661e-11,6112.69351858889,14921.8190947407,-1.2875432834913,-14.0301274681682,14.0301274681682
"HSP.60_2682.68",2.94750218766565e-10,13843.0460494074,36449.5253488889,-1.39673859649997,-13.3116812538154,13.3116812538154
"I5P2_12641.3",5.48937539523853e-09,4469.34251021111,13579.5507402593,-1.60330123518916,-13.2440330873931,13.2440330873931
"IL.1F6_14150.7",9.56074052961158e-08,6614.34551448148,1818.14135807778,1.86313403824029,13.0782851585037,13.0782851585037
"CIAO1_21178.8",2.47758032709204e-10,2512.95224280741,6352.11691351852,-1.33785421226415,-12.851390445712,12.851390445712
"DEST_18883.4",7.11324328811345e-12,2846.4244239,6315.57382707407,-1.14976302698295,-12.8174804286768,12.8174804286768
"SNX8_6925.26",9.6313186601815e-10,1121.19380661481,2994.61053503704,-1.41733270490923,-12.7791170612995,12.7791170612995
"SRCN1_5488.74",2.2319327090771e-09,50802.4060842222,138345.913362593,-1.44531129631604,-12.503848938764,12.503848938764
"SMAD2_10364.6",1.03579382123605e-09,3284.73388892593,8594.06938307407,-1.38756492850083,-12.4668916388609,12.4668916388609
"KPCT_3817.18",2.68131954371829e-09,1638.30845677778,4475.72607,-1.44991473135586,-12.4281636750386,12.4281636750386
"RPS6KA3_3469.74",6.12681850895283e-10,2044.17358025556,5119.33423877778,-1.3244384948422,-12.2017405891689,12.2017405891689
"FAH2A_23389.28",1.25019496317959e-09,864.323580192593,2219.79565838148,-1.36078345047993,-12.1150853440319,12.1150853440319
"HGS_13644.30",9.57931146541939e-09,4089.38526759259,11438.8991776667,-1.48399232804501,-11.8996383884067,11.8996383884067
"VAV_5275.28",3.19682546936683e-08,3897.30652258519,11429.9057201111,-1.55226419465725,-11.6346564391016,11.6346564391016
"AIP_3839.60",1.87051935406068e-10,1747.56864203333,3984.67061733333,-1.189111348685,-11.5677201410973,11.5677201410973
"LANC2_12628.31",2.50073471453922e-11,5731.29905338148,12100.4446502963,-1.07812598092623,-11.4302187437647,11.4302187437647
"LYNB_3381.24",4.49238107652557e-09,21573.2544444444,54841.6962548148,-1.34602936297338,-11.2360116190751,11.2360116190751
"AGAP2_14291.53",2.29535812516713e-08,463.930781911111,1281.78257207407,-1.46617008169467,-11.200292513311,11.200292513311
"RNF31_23183.6",1.07545867225608e-09,1481.33578187778,3498.36512355556,-1.23978217018236,-11.1188701934959,11.1188701934959
"LYN_3453.87",3.28107700483042e-08,6749.81870341852,18684.3520168519,-1.46890987339772,-10.9932973684163,10.9932973684163
"C3b_4480.59",0.00037731621438623,22290.7445688519,2420.91742804815,3.20281902890645,10.9641928670018,10.9641928670018
"TXN4A_21651.9",1.54823464747838e-07,23568.4373668519,7857.23860096296,1.58476183173295,10.7924867354804,10.7924867354804
"KPRB_19150.20",2.05343581530071e-12,17923.2630454815,33502.3472633333,-0.902428864921869,-10.5471543852943,10.5471543852943
"DCTD_17756.69",2.34252386794481e-09,2707.93701632963,6308.15609055556,-1.22002417518339,-10.5291941294557,10.5291941294557
"p60.Src_15433.4",3.80576316574443e-08,5163.75018517037,13793.0697946667,-1.4174524678145,-10.5168711395613,10.5168711395613
"AMPK.a2b2g1_5245.40",5.68876592962155e-08,2956.54936208889,8068.27555548148,-1.44834599278044,-10.4932405538701,10.4932405538701
"AMPD2_18403.25",2.92295708022847e-07,1186.34880657778,3609.86032927778,-1.60541476928039,-10.4900651625537,10.4900651625537
"M2.PK_4240.31",2.534450145218e-08,18871.8288890852,48546.4530862963,-1.36313165010082,-10.3545064745357,10.3545064745357
"ARL8A_23281.29",9.56819198763188e-08,14616.4987860852,40391.8542788889,-1.46646660602565,-10.293378581622,10.293378581622
"SYMC_24425.8",1.16801902657581e-08,10756.9725931556,26411.494279,-1.29589381925567,-10.2797426230781,10.2797426230781
"Pregnancy.zone.protein_6580.29",8.4701367437186e-07,32404.5820578519,10199.4582303889,1.66770530494285,10.126489355873,10.126489355873
"FER_4220.39",6.6165341758471e-07,773.227942434444,2397.26767493333,-1.63242532808977,-10.0873591853723,10.0873591853723
"ERAB_4217.49",1.32726228151538e-07,4749.27271635556,13034.1565837778,-1.45651872453855,-10.0165422591894,10.0165422591894
"iC3b_2683.1",3.72254782029124e-05,34701.1362544815,7287.45617303704,2.25149569615918,9.97223403489176,9.97223403489176
"FAF2_9738.7",1.02212108290999e-07,5519.65687248148,14710.5545683704,-1.41420114502868,-9.88596978602714,9.88596978602714
"UBP4_21763.46",8.92965153954744e-08,1988.46948563333,5230.23331285185,-1.39521688115376,-9.83511468716808,9.83511468716808
"PRAF3_13503.19",3.32973468380511e-08,10044.6993419259,24870.7232517037,-1.30801408042853,-9.78079349174438,9.78079349174438
"Alpha.1.syntrophin_19274.80",2.75684682288218e-08,6306.05691336667,15458.4506174815,-1.29358563107291,-9.77897359049946,9.77897359049946
"STAT3_10346.5",2.28873972288042e-09,15868.6271202963,34247.9002881482,-1.10983822196828,-9.58945016051796,9.58945016051796
"PKC.B.II_5475.10",4.19256184007988e-09,37126.3484772593,81117.1747303704,-1.12756397746213,-9.44619036201822,9.44619036201822
"VPS25_18189.12",9.41441058441035e-09,1539.00794240741,3411.5374897037,-1.14842139324865,-9.21746767042905,9.21746767042905
"FGL1_5581.28",1.25161761034768e-08,81364.9356348148,36286.7975722222,1.16496245649091,9.2061488215479,9.2061488215479
"FTMT_8048.9",1.04161976023239e-07,9593.58427944445,3847.47355966667,1.3181585121222,9.20376603873639,9.20376603873639
"HSP.40_3852.19",3.08786040379563e-08,939.40174892963,2194.21465018519,-1.22389048038879,-9.1918364962315,9.1918364962315
"TTC9A_24474.12",5.0487874076151e-07,944.125411507407,2563.95032923704,-1.44131789756216,-9.07570915346503,9.07570915346503
"TACO1_9257.14",2.6007772867137e-07,1753.27053503704,4474.95831281482,-1.35182561722763,-8.90163223011918,8.90163223011918
"METAP1_3210.1",8.72859973145322e-07,1568.11703702593,4340.65574069259,-1.46887976677461,-8.9000239144805,8.9000239144805
"C1TC_12575.30",1.44054986004149e-10,9498.78432062963,17703.122921963,-0.89818909111668,-8.8395025263276,8.8395025263276
"KC1G1_20130.144",6.77222554681699e-07,2571.38971192593,6873.98444455556,-1.41859830980432,-8.75171398922954,8.75171398922954
"GAPDH..liver_3848.14",5.87658917653282e-07,3693.22646092963,9755.87016437037,-1.40138882990816,-8.73187816182774,8.73187816182774
"KS6B1_15608.5",4.49942168496643e-10,655.823292177778,1252.33201645926,-0.933238051793774,-8.72282983444683,8.72282983444683
"ACADV_19262.219",3.33748577268041e-07,7282.3922426,18481.7683948519,-1.34361845093628,-8.70205316219386,8.70205316219386
"HDHD2_13472.35",2.41773486351226e-08,3065.8419959,6683.32189296296,-1.12428201444152,-8.5631966402714,8.5631966402714
"ODPX_18319.7",2.20359036310535e-07,1721.55037038148,4193.31810696296,-1.28438388486508,-8.5499754413965,8.5499754413965
"GSH0_18214.2",7.86755876696486e-09,2397.64335382222,4973.78434162963,-1.05272687928852,-8.5314670707153,8.5314670707153
"EIF1B_12701.1",5.9407684364343e-08,7103.15720160741,16096.7427581111,-1.18023646321388,-8.5285744235314,8.5285744235314
"CHKB_13117.232",1.86746464690884e-06,6693.14586414815,2386.55232511111,1.48775648759318,8.52298142418456,8.52298142418456
"CSNK1G2_17436.193",2.63454564362779e-07,708.585349837037,1736.00325107778,-1.29275610674378,-8.50542284929588,8.50542284929588
"M4K5_21989.12",3.72219899813932e-07,4573.43925923704,11420.5202678889,-1.32027697935263,-8.48832529974937,8.48832529974937
"GSTK1_13474.40",5.74293418644553e-08,5440.50195466667,12249.5936632963,-1.17092222427019,-8.47849111049379,8.47849111049379
"RCD1_8975.26",9.86953328275398e-07,1737.25086421481,4579.07246918148,-1.39824929896439,-8.39747054654932,8.39747054654932
"HMHA1_13544.9",1.06918522849685e-07,22203.1082303333,51069.5630455556,-1.20170206060177,-8.37700143425918,8.37700143425918
"RAGP1_25036.10",2.01656836182106e-08,1183.18874483704,2500.57934155556,-1.07958214755058,-8.30780247852563,8.30780247852563
"S100A6_13090.17",1.24665979259658e-10,1395.14283950741,2489.99927981481,-0.835732487339935,-8.27730519865493,8.27730519865493
"SYDC_12675.14",2.30708100713346e-08,38217.4200408148,80826.123127037,-1.08059126060439,-8.25240754865901,8.25240754865901
"ZADH2_17345.12",6.33529228299413e-07,4063.0035598,10082.4866464815,-1.3112329613014,-8.12732786229179,8.12732786229179
"UN45A_13082.9",5.2404720021527e-07,4594.39956762593,11253.4282713704,-1.29241633829962,-8.11718830331375,8.11718830331375
"VAPA_7167.102",3.23933333276285e-07,29526.7495458519,70141.3100818519,-1.24824183110419,-8.10052073504461,8.10052073504461
