"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"SAA_15515.2",1.94548918907357e-09,76476.8868312757,6629.19551440329,3.52811808836372,30.7333349809974
"CRP_4337.49",5.98560147922522e-10,59260.7865432099,16790.9990534979,1.81938970246061,16.7800350988927
"SAA2_18832.65",0.000101077203471498,17699.4446090535,1204.29820987654,3.87743950722945,15.4917154588534
"IL.1F6_14150.7",9.56074051343716e-08,6614.34551440329,1818.14135802469,1.86313403826536,13.0782851600485
"C3b_4480.59",0.000377316214226303,22290.7445679012,2420.91742798354,3.20281902888343,10.9641928675126
"TXN4A_21651.9",1.54823464865401e-07,23568.4373662552,7857.23860082305,1.58476183172212,10.7924867348839
"Pregnancy.zone.protein_6580.29",8.47013674697856e-07,32404.5820576132,10199.4582304527,1.6677053049232,10.126489355475
"iC3b_2683.1",3.72254782327245e-05,34701.136255144,7287.45617283951,2.25149569622583,9.97223403440388
"FGL1_5581.28",1.25161761215216e-08,81364.93563786,36286.7975720165,1.16496245655309,9.20614882130984
"FTMT_8048.9",1.04161976143756e-07,9593.58427983539,3847.47355967078,1.31815851217945,9.20376603847375
"CHKB_13117.232",1.86746464832993e-06,6693.14586419753,2386.55232510288,1.4877564876088,8.52298142378236
"DNJB9_11214.40",2.09598589053208e-07,19146.5579012346,8303.34794238683,1.20531999381462,8.04986414688511
"FCN2_13717.15",9.72136342254271e-09,29839.8419341564,15007.2156378601,0.991583561937341,7.94483802300326
"HN1_19335.2",4.89503597490926e-06,5418.17658436214,1921.87479423868,1.49529306245149,7.94037118075377
"C3_2754.50",6.37122364528555e-07,72906.1713991769,30019.0745679012,1.28016143966879,7.93159499604293
"XPO5_25963.2",4.37918663501104e-05,13694.0556790123,3916.37144032922,1.80596027740848,7.87147028579092
"Histone.H2A.type.1_22468.54",6.4000609218486e-05,39395.5449176954,10774.9327983539,1.87035361890925,7.84391873058475
"GAGE.2_25413.80",1.76270756835778e-06,4952.36104938272,1952.86524691358,1.34252409461658,7.72464162467822
"FCN2_3313.21",3.85180728089643e-08,85474.9504938272,41810.3025102881,1.03164320030709,7.64894875203949
"TR.ECD_8795.48",3.22825107878857e-05,11724.3333744856,3738.03395061728,1.64915431840002,7.40640596332033
"PCDGK_7859.21",7.40129490004634e-06,3915.73820987654,1440.78604938272,1.44242819819621,7.4006552371657
