"Proteins","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"CRBB2_10000.28",0.294802391578275,0.646108064204651,0.425228076053557,0.134003889032179,0.781335718209124,0.336203783109539
"c.Raf_10001.7",0.286630993730354,0.607951445967157,0.434693040571711,6.50908186321076e-05,0.0823237813553662,0.0114004904372782
"ZNF41_10003.15",0.39774210751758,0.685056300524391,0.577837622754126,0.0977533492095893,0.0200720308745343,0.87270196450065
"ELK1_10006.25",0.241148612596509,0.164057661306916,0.903708470488673,0.615477501975475,0.568250944969131,0.943096552296854
"GUC1A_10008.43",0.249645741733068,0.458610395053083,0.842923932757809,0.136211682375197,0.75566409352555,0.157027431513186
"BECN1_10010.10",0.014564583746757,0.946217557266327,0.605580179631029,0.00439247133378711,0.487795588573008,0.259286167708593
"OCRL_10011.65",0.419404828990161,0.436519517368766,0.578023830707209,0.0235247489551118,0.548736025173864,0.0164638063564778
"SPDEF_10012.5",0.508182206561959,0.98465052432703,0.637017580019412,1.2245871295537e-05,0.796636846029068,0.0126188821484737
"SLUG_10014.31",0.000671412693837093,0.27762875308981,0.601454406327498,0.133268309186775,0.581215873724817,0.173087683176355
"KCAB2_10015.119",0.285139152148445,0.063143626190802,0.429479005512412,0.0649103993267052,0.291990357306975,0.863722376722863
"POLH_10022.207",0.356052930580753,0.72068412651021,0.737167941481411,0.0316215414429034,0.0169309108876779,0.0114759461928813
"VDR_10023.32",0.836639539476411,0.0662201606358404,0.797647019848821,0.935590751926224,0.574989300442164,0.843261829614474
"HOGA1_10024.44",0.46676781977358,0.138475276420491,0.784439961641611,0.753711429155876,0.599064837293875,0.98776662885464
"DLDH_10025.1",0.201423997294458,0.932760679324136,0.769082442132155,0.018125126026929,0.144925298231441,0.00667871654747131
"MutY.homolog_10030.8",0.0728057316322198,0.966217475197199,0.788424923292566,0.626736869553812,0.0231031846221478,0.107340118271886
"DUS4_10035.6",0.265073780175848,0.268193508422291,0.453268760431587,0.00028413916587971,0.658199907412684,0.00789367879349136
"ZHX3_10036.201",0.547905955704697,0.714137454399587,0.334102238066319,1.08053952816959e-06,0.0900996632438312,0.000803707710835553
"SIG12.Ig.like.V.type.2_10037.98",0.00696665621363813,0.538662503109663,0.641224474328387,3.13426846093678e-05,0.561110495158791,0.204866056502286
"PNP_10039.32",0.065669559283865,0.66989602495641,0.661310988754978,3.45699585768444e-05,0.257206777040831,0.00220065643665259
"P73L_10040.63",0.168901095512046,0.0426451755284659,0.92128804677558,0.0481669288161945,0.269362930564782,0.932145463407678
"HNF4A_10041.3",0.89018430419762,0.785003809375173,0.384011926301581,0.122567553684637,0.0148241416330298,0.00203733154363566
"SGK3_10042.8",0.640498295647388,0.744276802530502,0.92010004653602,0.0798660316881215,0.95907905406201,0.0474736626826485
"BRD4_10043.31",0.0231186224916748,0.1096981693807,0.655648989222012,0.438369177708914,0.549909978246977,0.456620560065401
"WN10A_10044.12",0.413017333836746,0.327772605488408,0.503426952082269,0.00341490993701046,0.74768771010454,0.26540385500182
"CUL3_10045.47",0.060574391496625,0.984337412791855,0.605027128517583,2.59070799343472e-05,0.108330912455642,0.000204756937507273
"cIAP.1_10046.55",0.555451686887817,0.807019582027703,0.895130551299858,0.23455763156015,0.445081610423196,0.045158529565725
"NCF.2_10047.12",0.796882607579592,0.568976994616438,0.982051377731712,0.111258378925811,0.000733665930878163,0.0626626381582231
"PEBB_10048.7",0.331662351741027,0.329148776194392,0.45329160107172,0.0233088481987625,0.785734272914836,0.198602090120101
"TERF1_10049.112",0.239438117710776,0.427878527611329,0.948794398807631,0.0638102164994166,0.947666250776456,0.0237972652677042
"ILK1_10053.5",0.145860245826537,0.515271612719783,0.518375506496772,2.21477571966927e-07,0.118875195381869,0.00211215961315301
"GAN_10054.3",0.641411857818873,0.0807199428916901,0.673824322158149,0.402624720957244,0.679194722747028,0.868422643254805
"FOXM1_10056.5",0.467801313904022,0.703292251924568,0.832109489494998,0.9432173960341,0.509577745936,0.552882322940546
"RD23A_10058.1",0.0151654265938962,0.215871831708635,0.593253682664596,0.370714816246215,0.14876150240561,0.0949520071495795
"FANCL_10063.10",0.727030406862179,0.325905993222451,0.493223193745861,0.00161206623578564,0.571282096633732,0.00253595388835697
"RBBP9_10064.12",0.906704525454126,0.728204598818446,0.631253851230197,0.000737568234467474,0.0602582061375979,0.00227685887112819
"PIN1_10069.2",0.336347562024971,0.615751773506067,0.943110125953805,0.150207913943239,0.530700460052,0.340185446601596
"PLCG2_10070.22",0.0250443693742725,0.47227623666647,0.842896022469663,0.21730698902017,0.4428604574505,0.790921446032789
"TYDP1_10073.22",0.668900104832015,0.632338689590147,0.452739667314202,0.547848054766497,0.0357689968462339,0.151841083887458
"BRD2_10074.128",0.959503972418126,0.419139420354119,0.652600022489946,0.173306769202522,0.00178525707419583,0.0035244166750349
"ACBD6_10075.75",0.186628198946767,0.48396483430924,0.423675208137845,0.000290394062715422,0.166474474799833,0.0270877536534393
"AP4M1_10076.1",0.280948034345114,0.979791746196545,0.442316608058566,0.00346780878546071,0.0563193086535131,0.11653494284453
"BAG3_10078.5",0.129912213257138,0.748170467049754,0.890626448913333,0.0635865918904866,0.797962002043241,0.0476530697306008
"EI2BA_10080.9",0.227100696494395,0.6577230808704,0.373070309475693,0.0587179220180002,0.607761749859066,0.472566869489423
"SATB2_10081.17",0.327628058534528,0.279405619158717,0.640606276127064,0.240806023285871,0.345614356536538,0.987005765174622
"NFL_10082.251",0.634997649776352,0.45310653975732,0.902488666839714,0.0011540211938892,0.290008507298408,0.0891086210129819
"STAR_10085.25",0.890417271113746,0.72134437437107,0.968612508074695,0.0649741976791813,0.0126405114422793,0.00399132347271582
"CBS_10086.39",0.663807126894249,0.290324437216753,0.393878326930863,0.00873009950030526,0.736305697229513,0.00531783985750145
"Alpha.crystallin.A.chain_10087.10",0.458427445340228,0.340555614325978,0.828833715483089,0.0146817178146281,0.565637436046778,0.0518867113024888
"APT_10088.37",0.132903677805683,0.610720880720503,0.369284375035037,3.54054234014397e-05,0.142464036046115,0.012622913346326
"ASML_10089.7",0.0355925058619055,0.337446983739145,0.662848552427056,0.00029901455217359,0.0863117505929744,0.012709779685492
"CHIP_10336.3",0.170069371287917,0.497069817277804,0.305662789096267,6.4645913685583e-05,0.0638085054289641,0.0296566677919828
"NSE_10339.48",0.865766541615598,0.792840430095568,0.53507941082573,0.937161423332393,0.967878481646597,0.0121843015248174
"PIAS4_10342.55",0.0826688764867266,0.376795699799876,0.292919918953582,0.00309673072928115,0.405040200722616,0.219802070773697
"IL.10.Ra_10344.334",0.452006388537438,0.477628926176289,0.532336088983888,2.47432611960267e-06,0.156356691921122,0.00861267485015186
"STAT3_10346.5",0.342581363587357,0.596327374872915,0.286979249163731,3.59175773085146e-08,0.0702048498761095,0.00059704511970306
"IRF1_10351.51",0.0200222061593163,0.497895818210644,0.930636472818383,0.136367345961336,0.712267192264424,0.538935831762494
"STAT3_10354.57",0.525103803069899,0.362346822928539,0.455600620593093,1.28957660553673e-07,0.0429574721843235,0.00544424730640808
"c.Jun_10356.21",0.977438198692165,0.568915178158174,0.637854080857877,0.0109404478583624,0.970926194005812,0.0943308786545668
"OAS1_10361.25",0.617843728822948,0.0688204037941868,0.779426373305993,0.716782035717413,0.914464479154696,0.743696033563931
"c.Myc_10362.35",0.735139937504203,0.710061599701313,0.775263394235165,0.486521093224087,0.653394264524894,0.541571810509098
"SMAD3_10363.13",0.0929605478738214,0.449678310081609,0.414602843187345,6.50538990131895e-07,0.0376166978588159,0.000707711549391667
"SMAD2_10364.6",0.122775947191805,0.554207750423682,0.230024594960043,1.81219529815573e-07,0.067572562415476,0.000295225078559049
"IL.23_10365.132",0.566274901781808,0.55015764963164,0.506147868323826,0.429211937830032,0.329528600866747,0.66465573090279
"PDGFRA_10366.11",0.756741092686195,0.447731175438618,0.60266422089553,0.0802432446761586,0.00119509825547311,0.99425835914122
"IL.12_10367.62",0.342038204078545,0.0479296157418502,0.947200888689089,0.921687345946421,0.413638925792658,0.244100792200915
"STAT1_10370.21",0.404960257156742,0.771242429559425,0.38615276335911,0.000125057218305352,0.357179118024874,0.0197098356105039
"STAT6_10372.18",0.70251003887496,0.477950690410355,0.249889469513188,1.9767189775621e-06,0.0610556018696728,0.00776549198404149
"ANGL3_10382.1",0.313218164655859,0.067422129683184,0.366720514016263,0.00161257281681205,0.215278414595444,0.0244588450848572
"ZNRF3_10390.21",0.084222643176252,0.637354073185984,0.26844257581271,0.00990547267604841,0.676145537235625,0.210676893252916
