"Protein","Adjusted_linear_model","linear_modeling_pvalue","adjusted_pvalues","fold_change","coefficient","Target","Entrez","Uniprot"
"CRBB2_10000.28","~ Study_group",0.00691554040234628,0.999950880216876,0.286680930825503,-110.224814814815,"CRBB2","1415","P43320"
"c.Raf_10001.7","~ Study_group + Prednisone + Aspirin",0.00457501769358571,0.999950880216876,-0.901439903424333,290.746050903984,"c-Raf","5894","P04049"
"ZNF41_10003.15","~ Study_group + Methotrexate",0.976798964345901,0.999950880216876,0.0363210080417754,0.182877777777661,"ZNF41","7592","P51814"
"ELK1_10006.25","~ Study_group",0.23987818825294,0.999950880216876,0.334100093186743,-177.700981481481,"ELK1","2002","P19419"
"GUC1A_10008.43","~ Study_group",0.231606318833832,0.999950880216876,0.306415995423533,-109.341777777778,"GUC1A","2978","P43080"
"BECN1_10010.10","~ Study_group + Age + Prednisone",0.261359818439558,0.999950880216876,0.226596042222502,-27.4409527453699,"BECN1","8678","Q14457"
"OCRL_10011.65","~ Study_group + Prednisone + Aspirin",0.0451723538760386,0.999950880216876,0.547105319691393,-1159.7382988415,"OCRL","4952","Q01968"
"SPDEF_10012.5","~ Study_group + Prednisone + Aspirin",0.0135857208786563,0.999950880216876,0.413798248073938,-347.539938564156,"SPDEF","25803","O95238"
"SLUG_10014.31","~ Study_group + Age",0.160503198968953,0.999950880216876,0.194649368932374,-109.481348760391,"SLUG","6591","O43623"
"KCAB2_10015.119","~ Study_group",0.364947284778641,0.999950880216876,-0.12447722948164,58.8407777777779,"KCAB2","8514","Q13303"
"POLH_10022.207","~ Study_group + Prednisone + Methotrexate + Aspirin",0.747756128835512,0.999950880216876,0.390591277032871,-11.3811314705489,"POLH","5429","Q9Y253"
"VDR_10023.32","~ Study_group",0.956518051812925,0.999950880216876,-0.00978855669741379,4.06020370370355,"VDR","7421","P11473"
"HOGA1_10024.44","~ Study_group",0.157021843590017,0.999950880216876,0.584613192484525,-353.614666666666,"HOGA1","112817","Q86XE5"
"DLDH_10025.1","~ Study_group + Prednisone + Aspirin",0.157003100184995,0.999950880216876,-0.229322229925409,180.529944883271,"DLDH","1738","P09622"
"MutY.homolog_10030.8","~ Study_group + Methotrexate",0.688203117290009,0.999950880216876,0.235828476427185,-10.8961740740741,"MutY homolog","4595","Q9UIF7"
"DUS4_10035.6","~ Study_group + Prednisone + Aspirin",0.00715363001505476,0.999950880216876,0.302489054876416,-100.539806915921,"DUS4","1846","Q13115"
"ZHX3_10036.201","~ Study_group + Prednisone + Aspirin",0.00632752691675036,0.999950880216876,0.514630763334707,-632.492195629279,"ZHX3","23051","Q9H4I2"
"SIG12.Ig.like.V.type.2_10037.98","~ Study_group + Age + Prednisone",0.85667885121959,0.999950880216876,0.562780553398149,-7.34668881691991,"SIG12:Ig-like V-type 2","89858","Q96PQ1"
"PNP_10039.32","~ Study_group + Prednisone + Aspirin",0.0091161644536242,0.999950880216876,-0.954872104483376,2804.45280902229,"PNP","4860","P00491"
"P73L_10040.63","~ Study_group + Sex + Prednisone",0.416723085776871,0.999950880216876,-0.046214473150627,-25.4519758487184,"P73L","8626","Q9H3D4"
"HNF4A_10041.3","~ Study_group + Methotrexate + Aspirin",0.1310691594955,0.999950880216876,0.452373960801786,-3149.93468148149,"HNF4A","3172","P41235"
"SGK3_10042.8","~ Study_group + Aspirin",0.559536835450759,0.999950880216876,0.0385108957570442,20.737481481481,"SGK3","100533105","Q96BR1"
"BRD4_10043.31","~ Study_group + Age",0.586602110205241,0.999950880216876,-0.0309889403142522,15.4903251804663,"BRD4","23476","O60885"
"WN10A_10044.12","~ Study_group + Prednisone",0.522089414333074,0.999950880216876,0.361025049694323,-68.9937175925922,"WN10A","80326","Q9GZT5"
"CUL3_10045.47","~ Study_group + Prednisone + Aspirin",0.0289834645827235,0.999950880216876,-0.676497808141164,331.629133666842,"CUL3","8452","Q13618"
"cIAP.1_10046.55","~ Study_group + Aspirin",0.785967312827309,0.999950880216876,0.278127772583857,90.8625185185187,"cIAP-1","329","Q13490"
"NCF.2_10047.12","~ Study_group + Methotrexate",0.7508545008009,0.999950880216876,2.23872993980947,-383.680692592595,"NCF-2","4688","P19878"
"PEBB_10048.7","~ Study_group + Prednisone",0.457236592925886,0.999950880216876,0.112147481202968,-55.3302962962955,"PEBB","865","Q13951"
"TERF1_10049.112","~ Study_group + Aspirin",0.566041888323263,0.999950880216876,0.295274284751713,-40.5647499999999,"TERF1","7013","P54274"
"ILK1_10053.5","~ Study_group + Prednisone + Aspirin",0.0768516068086245,0.999950880216876,-1.10799105264338,5941.88699236439,"ILK1","3611","Q13418"
"GAN_10054.3","~ Study_group",0.656594044934231,0.999950880216876,0.0450987014140514,-9.96377777777773,"GAN","8139","Q9H2C0"
"FOXM1_10056.5","~ Study_group",0.637806175268177,0.999950880216876,-0.242156925877171,274.768925925926,"FOXM1","2305","Q08050"
"RD23A_10058.1","~ Study_group + Age",0.0598150136267461,0.999950880216876,-0.129177560616448,1412.1160438786,"RD23A","5886","P54725"
