"Protein","Study_group","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"CRBB2_10000.28",0.0947373762857871,0.10041503365534,0.27593590781055,0.182497207448057,0.64541170130304,0.802496587195193,4.97511423700305e-05
"c.Raf_10001.7",0.55398949118187,0.961359674546396,0.975140111754043,0.249549224470675,0.436455493966577,0.346417196562303,0.240611987835088
"ZNF41_10003.15",0.244977135473433,0.511496563627913,0.32102857663436,0.585920044774293,0.299735491893569,0.00297779461548524,0.787818242611342
"ELK1_10006.25",0.314365087661253,0.213597622185689,0.0484993692469081,0.33061727100079,0.369293387614087,0.631863448269942,0.329261456158808
"GUC1A_10008.43",0.341220216928529,0.411325864919138,0.477404898007272,0.420466695505883,0.71752614280718,0.858669361298224,0.555512827789785
"BECN1_10010.10",0.302947037701099,0.043260371283334,0.722756459929206,0.416336039655672,0.0416971211805778,0.980527136720958,0.348628823521053
"OCRL_10011.65",0.99601704905858,0.780697905353875,0.527203812827127,0.324711200920435,0.844973842553354,0.508054832704926,0.912445699704445
"SPDEF_10012.5",0.884020858915647,0.38293956411346,0.974986740144098,0.306477329239788,0.320065435603806,0.426932730002864,0.175396927099779
"SLUG_10014.31",0.0443393173051172,0.0299785089451024,0.583228896421055,0.950051438086342,0.796130299439714,0.826257918172455,0.520372823035189
"KCAB2_10015.119",0.484829074479209,0.0401362473782818,0.0692561467328235,0.442876945692754,0.375945429161292,0.502074615078,0.346494547258921
"POLH_10022.207",0.110455763491876,0.12607072496804,0.805659633328617,0.110883812969637,0.958087683388241,0.606256009741682,0.790529653884558
"VDR_10023.32",0.262216066539905,0.625752846284425,0.312261527934516,0.455630987593893,0.826937734941809,0.900758093903801,0.15436715175648
"HOGA1_10024.44",0.414390225254256,0.559001246253734,0.0238651255766914,0.0737229038213202,0.0400410511781444,0.539388184133174,0.643668983161205
"DLDH_10025.1",0.953785184435239,0.296418539228937,0.502260696204246,0.131238792257574,0.980804268014494,0.403939288186288,0.175134798980438
"MutY.homolog_10030.8",0.749165570744699,0.33254821202607,0.67062446018726,0.270748851983724,0.913206513884201,0.213145278964547,0.466180907262278
"DUS4_10035.6",0.714375909409125,0.179059124815704,0.397437821827207,0.305397990015415,0.723706608724707,0.980544318106269,0.00489590767210423
"ZHX3_10036.201",0.14367746952949,0.45571348548478,0.849878330982911,0.777993632097269,0.185625692586482,0.515753931500346,0.830764240218538
"SIG12.Ig.like.V.type.2_10037.98",0.814954672657959,0.00860070819588972,0.457931768577954,0.411083607855501,0.935677041058343,0.586197877102045,0.00168002836323459
"PNP_10039.32",0.930942446570091,0.138064149126022,0.945529298078076,0.35222054887126,0.977539552132774,0.772591169382922,0.499189641096218
"P73L_10040.63",0.180853663294181,0.0678698261886467,0.0369106754064024,0.570806506916677,0.385560369304698,0.798022520464468,0.414149134356426
"HNF4A_10041.3",0.5304282117646,0.685135037235485,0.740263601489086,0.838015109677945,0.27510983879786,0.252174138424182,0.977577421109779
"SGK3_10042.8",0.273476886715073,0.113894563591454,0.279817650629765,0.924320216042429,0.354305427764326,0.393723156923863,0.0455626510416127
"BRD4_10043.31",0.151887193277729,0.0689523502934415,0.380560755054643,0.65228737839355,0.0638972227985676,0.162849315645389,0.0141317229921888
"WN10A_10044.12",0.251155769150386,0.375098119740818,0.890252692387547,0.796922203066305,0.366007623968201,0.312870777181046,0.116315267991784
"CUL3_10045.47",0.703015554769411,0.297915697662773,0.495684417779442,0.828064925009093,0.79221867245381,0.907612328642236,0.435320424294658
"cIAP.1_10046.55",0.106680301951373,0.4749051385914,0.497516566952082,0.32593906438803,0.724688337690967,0.530709899701597,0.420080427802883
"NCF.2_10047.12",0.0614317550711028,0.930422823616471,0.531610800803533,0.506701088643555,0.479125805876927,0.115796716728318,0.404556764222115
"PEBB_10048.7",0.684172541371538,0.701348531506308,0.629592439235946,0.837149263792329,0.283565040009366,0.303256284747326,0.71021368396122
"TERF1_10049.112",0.250130354433202,0.316989035028096,0.496598787581958,0.4912323043194,0.637859931483297,0.835508579744093,0.333325605695615
"ILK1_10053.5",0.768346845575029,0.309553540271716,0.73667198299531,0.30263330426516,0.29191570716897,0.674743671770841,0.553168190645574
"GAN_10054.3",0.118119082735627,0.53929509845853,0.365840520870862,0.979279442493196,0.537954017789275,0.27022183506663,0.865609640242955
"FOXM1_10056.5",0.287662075587035,0.384244267699245,0.642042749620276,0.287461135364675,0.751160390369276,0.576231553002084,0.384494486519686
