Protein,Nominal_pvalue,formula,Active_mean,Inactive_mean,fold_change,adjusted_pvalue,Target,Entrez
CRBB2_10000.28,0.094737376, ~ Study_group + (1|maskID),611.6325556,641.971963,-0.069845092,0.999937631,CRBB2,1415
c.Raf_10001.7,0.553989491, ~ Study_group + (1|maskID),345.3882778,336.792963,0.036357125,0.999937631,c-Raf,5894
ZNF41_10003.15,0.391849869, ~ Study_group + (1|maskID) + Methotrexate,164.9051852,179.6714259,-0.123724225,0.999937631,ZNF41,7592
ELK1_10006.25,0.314365088, ~ Study_group + (1|maskID) + Sex,859.6166481,1705.067352,-0.9880634,0.999937631,ELK1,2002
GUC1A_10008.43,0.341220217, ~ Study_group + (1|maskID),571.4173889,518.0058519,0.141576544,0.999937631,GUC1A,2978
BECN1_10010.10,0.364808869, ~ Study_group + (1|maskID) + Age + Prednisone,347.8445926,372.7862593,-0.09990579,0.999937631,BECN1,8678
OCRL_10011.65,0.996017049, ~ Study_group + (1|maskID),3521.57987,3522.798222,-0.000499039,0.999937631,OCRL,4952
SPDEF_10012.5,0.884020859, ~ Study_group + (1|maskID),1666.083556,1676.953,-0.0093815,0.999937631,SPDEF,25803
SLUG_10014.31,0.05672059, ~ Study_group + (1|maskID) + Age,941.2153704,1003.481056,-0.092416595,0.999937631,SLUG,6591
KCAB2_10015.119,0.535853203, ~ Study_group + (1|maskID) + Age,652.9691111,722.9895185,-0.146959986,0.999937631,KCAB2,8514
POLH_10022.207,0.110455763, ~ Study_group + (1|maskID),216.167037,197.1421111,0.132910565,0.999937631,POLH,5429
VDR_10023.32,0.262216067, ~ Study_group + (1|maskID),596.3888889,618.1276111,-0.051651331,0.999937631,VDR,7421
HOGA1_10024.44,0.308198006, ~ Study_group + (1|maskID) + Sex + Prednisone,1061.358019,1119.813722,-0.077347374,0.999937631,HOGA1,112817
DLDH_10025.1,0.953785184, ~ Study_group + (1|maskID),1360.333926,1357.125,0.00340723,0.999937631,DLDH,1738
MutY.homolog_10030.8,0.749165571, ~ Study_group + (1|maskID),184.9931296,181.5561852,0.027055612,0.999937631,MutY homolog,4595
DUS4_10035.6,0.714375909, ~ Study_group + (1|maskID),543.2685926,550.9812963,-0.020337701,0.999937631,DUS4,1846
ZHX3_10036.201,0.14367747, ~ Study_group + (1|maskID),2729.080315,2962.819981,-0.118556119,0.999937631,ZHX3,23051
SIG12.Ig.like.V.type.2_10037.98,0.633493369, ~ Study_group + (1|maskID) + Age,320.3536111,317.8548333,0.011297227,0.999937631,SIG12:Ig-like V-type 2,89858
PNP_10039.32,0.930942447, ~ Study_group + (1|maskID),3498.590333,3536.395926,-0.015506062,0.999937631,PNP,4860
P73L_10040.63,0.180853664, ~ Study_group + (1|maskID) + Sex,486.220537,513.6876296,-0.0792805,0.999937631,P73L,8626
HNF4A_10041.3,0.530428212, ~ Study_group + (1|maskID),20709.70985,21923.50696,-0.082171254,0.999937631,HNF4A,3172
SGK3_10042.8,0.273476887, ~ Study_group + (1|maskID),886.6248519,860.419963,0.043282804,0.999937631,SGK3,100533105
BRD4_10043.31,0.151887193, ~ Study_group + (1|maskID),610.3304815,589.6876667,0.049639624,0.999937631,BRD4,23476
WN10A_10044.12,0.251155769, ~ Study_group + (1|maskID),856.8857222,924.5589259,-0.109662458,0.999937631,WN10A,80326
CUL3_10045.47,0.703015555, ~ Study_group + (1|maskID),794.0501481,777.3025741,0.03075383,0.999937631,CUL3,8452
cIAP.1_10046.55,0.106680302, ~ Study_group + (1|maskID),1612.885056,1382.085519,0.222796739,0.999937631,cIAP-1,329
NCF.2_10047.12,0.061431755, ~ Study_group + (1|maskID),1994.755963,5744.108778,-1.525870811,0.999937631,NCF-2,4688
PEBB_10048.7,0.684172541, ~ Study_group + (1|maskID),1444.195778,1465.114444,-0.020747032,0.999937631,PEBB,865
TERF1_10049.112,0.250130354, ~ Study_group + (1|maskID),558.9088704,520.8185741,0.101832171,0.999937631,TERF1,7013
ILK1_10053.5,0.768346846, ~ Study_group + (1|maskID),9447.280796,9076.170981,0.057815352,0.999937631,ILK1,3611
GAN_10054.3,0.118119083, ~ Study_group + (1|maskID),323.7463519,362.244037,-0.162098006,0.999937631,GAN,8139
FOXM1_10056.5,0.287662076, ~ Study_group + (1|maskID),1503.444185,1090.938481,0.46270156,0.999937631,FOXM1,2305
RD23A_10058.1,0.453990971, ~ Study_group + (1|maskID) + Age + Methotrexate,15737.60615,15183.83404,0.05167998,0.999937631,RD23A,5886
FANCL_10063.10,0.870273387, ~ Study_group + (1|maskID),416.1875741,417.2873704,-0.003807365,0.999937631,FANCL,55120
RBBP9_10064.12,0.242656415, ~ Study_group + (1|maskID),1365.335648,1563.412519,-0.195442834,0.999937631,RBBP9,10741
PIN1_10069.2,0.202133514, ~ Study_group + (1|maskID),616.2023148,577.068963,0.094660363,0.999937631,PIN1,5300
PLCG2_10070.22,0.250220264, ~ Study_group + (1|maskID) + Age,3109.627889,2485.372,0.323280147,0.999937631,PLCG2,5336
TYDP1_10073.22,0.931050345, ~ Study_group + (1|maskID),882.9017778,880.8301852,0.003389038,0.999937631,TYDP1,55775
BRD2_10074.128,0.48554073, ~ Study_group + (1|maskID),920.6476296,905.4077593,0.024081412,0.999937631,BRD2,6046
ACBD6_10075.75,0.947834738, ~ Study_group + (1|maskID),638.7166481,644.9353704,-0.013978539,0.999937631,ACBD6,84320
AP4M1_10076.1,0.117903908, ~ Study_group + (1|maskID),1323.978926,1229.009111,0.107384548,0.999937631,AP4M1,9179
BAG3_10078.5,0.347301976, ~ Study_group + (1|maskID),887.6767407,778.3694259,0.189579353,0.999937631,BAG3,9531
EI2BA_10080.9,0.961827682, ~ Study_group + (1|maskID),2402.510148,2416.579519,-0.008423943,0.999937631,EI2BA,1967
SATB2_10081.17,0.431088623, ~ Study_group + (1|maskID),604.4787037,641.4183519,-0.085574119,0.999937631,SATB2,23314
NFL_10082.251,0.30806156, ~ Study_group + (1|maskID),691.9521667,653.6876296,0.082070915,0.999937631,NFL,4747
STAR_10085.25,0.422240897, ~ Study_group + (1|maskID),1292.457315,1404.579944,-0.120022106,0.999937631,STAR,6770
CBS_10086.39,0.419413641, ~ Study_group + (1|maskID) + Methotrexate,1687.394222,1851.728056,-0.134075174,0.999937631,CBS,102724560
Alpha.crystallin.A.chain_10087.10,0.395086349, ~ Study_group + (1|maskID),395.9722222,374.550037,0.080240763,0.999937631,Alpha crystallin A chain,102724652
APT_10088.37,0.826886781, ~ Study_group + (1|maskID),3969.302407,4105.410389,-0.048640965,0.999937631,APT,353
ASML_10089.7,0.846472342, ~ Study_group + (1|maskID),634.0259259,643.5465556,-0.021502685,0.999937631,ASML,8623
CHIP_10336.3,0.086711159, ~ Study_group + (1|maskID),1260.913556,1489.526481,-0.2403844,0.999937631,CHIP,10273
NSE_10339.48,0.516555122, ~ Study_group + (1|maskID),11506.70087,11182.97578,0.041170113,0.999937631,NSE,2026
PIAS4_10342.55,0.364839684, ~ Study_group + (1|maskID) + Age,414.3775926,429.8563148,-0.052908509,0.999937631,PIAS4,51588
IL.10.Ra_10344.334,0.458325239, ~ Study_group + (1|maskID),4434.473889,4641.109648,-0.065706831,0.999937631,IL-10 Ra,3587
STAT3_10346.5,0.86340902, ~ Study_group + (1|maskID),14973.61228,15193.15552,-0.020999236,0.999937631,STAT3,6774
IRF1_10351.51,0.312543563, ~ Study_group + (1|maskID) + Age + Prednisone,1477.032593,1642.239574,-0.152962945,0.999937631,IRF1,3659
STAT3_10354.57,0.745192873, ~ Study_group + (1|maskID),3993.395241,4107.214444,-0.040544407,0.999937631,STAT3,6774
c.Jun_10356.21,0.88822679, ~ Study_group + (1|maskID),1409.373315,1419.217444,-0.010041845,0.999937631,c-Jun,3725
OAS1_10361.25,0.252537085, ~ Study_group + (1|maskID),487.3411296,472.9404074,0.043273576,0.999937631,OAS1,4938
c.Myc_10362.35,0.737247803, ~ Study_group + (1|maskID) + Prednisone,377.3071481,372.5291111,0.018386264,0.999937631,c-Myc,4609
SMAD3_10363.13,0.984093824, ~ Study_group + (1|maskID),5342.214852,5335.703,0.001759635,0.999937631,SMAD3,4088
SMAD2_10364.6,0.929079012, ~ Study_group + (1|maskID),3100.395315,3073.8245,0.012417381,0.999937631,SMAD2,4087
IL.23_10365.132,0.042982998, ~ Study_group + (1|maskID),751.5212778,890.8954074,-0.245442115,0.999937631,IL-23,3593|51561
PDGFRA_10366.11,0.432493309, ~ Study_group + (1|maskID),1534.784796,1464.001204,0.068119639,0.999937631,PDGFRA,5156
IL.12_10367.62,0.378839606, ~ Study_group + (1|maskID),217.1469259,233.948963,-0.107522304,0.999937631,IL-12,3592|3593
STAT1_10370.21,0.907220352, ~ Study_group + (1|maskID),822.4942222,810.7708519,0.020711321,0.999937631,STAT1,6772
STAT6_10372.18,0.885483827, ~ Study_group + (1|maskID),5057.600444,5112.109667,-0.015465719,0.999937631,STAT6,6778
ANGL3_10382.1,0.403255993, ~ Study_group + (1|maskID),65130.133,62631.73541,0.056431319,0.999937631,ANGL3,27329
ZNRF3_10390.21,0.363708032, ~ Study_group + (1|maskID),427.121537,450.4598148,-0.076751764,0.999937631,ZNRF3,84133
ANGL3_10391.1,0.721947917, ~ Study_group + (1|maskID),2278.42837,2231.48987,0.030031758,0.999937631,ANGL3,27329
Mcl.1_10396.6,0.166618737, ~ Study_group + (1|maskID),193.3988148,233.1078704,-0.269418761,0.999937631,Mcl-1,4170
ANKR1_10398.110,0.407380533, ~ Study_group + (1|maskID),545.1592593,556.1028333,-0.028673937,0.999937631,ANKR1,27063
STX12_10418.36,0.33434386, ~ Study_group + (1|maskID),2809.675815,2913.441315,-0.052320571,0.999937631,STX12,23673
SCAR5_10419.1,0.396515841, ~ Study_group + (1|maskID) + Age,9247.516185,8461.556704,0.128142815,0.999937631,SCAR5,286133
FAIM1_10420.30,0.021420635, ~ Study_group + (1|maskID),677.4843148,748.0706296,-0.142986944,0.999937631,FAIM1,55179
NPDC1_10424.31,0.691677581, ~ Study_group + (1|maskID),478.2646296,470.9117963,0.022352237,0.999937631,NPDC1,56654
B4GT5_10425.3,0.441521248, ~ Study_group + (1|maskID),858.9439074,877.1670185,-0.030287647,0.999937631,B4GT5,9334
GOSR2_10426.21,0.812652756, ~ Study_group + (1|maskID),188.218463,194.0786852,-0.044233528,0.999937631,GOSR2,9570
KI2S2_10428.1,0.261972093, ~ Study_group + (1|maskID),2099.526037,1904.737778,0.140471282,0.999937631,KI2S2,100132285
X4F2.CD_10430.31,0.244009054, ~ Study_group + (1|maskID),128.0546852,132.5991852,-0.050311872,0.999937631,4F2:CD,6520
K1644_10432.3,0.293566954, ~ Study_group + (1|maskID),128.8455741,126.8291852,0.022756212,0.999937631,K1644,85352
ASPG_10435.2,0.871011346, ~ Study_group + (1|maskID),727.8687778,719.1240556,0.01743771,0.999937631,ASPG,175
CSF2R_10438.19,0.180692999, ~ Study_group + (1|maskID),856.1546481,914.8275185,-0.095628348,0.999937631,CSF2R,1438
Alpha.amylase.2B_10439.57,0.795252719, ~ Study_group + (1|maskID),7202.971333,7084.517685,0.023922525,0.999937631,Alpha-amylase 2B,280
ACAM.ECD_10440.26,0.518702991, ~ Study_group + (1|maskID),1155.652167,1122.226389,0.042343491,0.999937631,ACAM:ECD,79827
TM190_10442.1,0.731031958, ~ Study_group + (1|maskID),270.4453333,267.2175926,0.017322011,0.999937631,TM190,147744
ApoM_10445.20,0.215109669, ~ Study_group + (1|maskID),740.0597593,710.0600556,0.059700722,0.999937631,ApoM,55937
PABP3_10447.18,0.322051868, ~ Study_group + (1|maskID),3555.810037,4464.915444,-0.328454601,0.999937631,PABP3,5042
TMM46_10449.31,0.887515292, ~ Study_group + (1|maskID),3416.499963,3443.4455,-0.011333732,0.999937631,TMM46,387914
NUCB1_10451.11,0.636885239, ~ Study_group + (1|maskID),2210.362593,2311.434426,-0.064505383,0.999937631,NUCB1,4924
CEA20_10453.7,0.74026877, ~ Study_group + (1|maskID),79.10088889,78.55211111,0.010043858,0.999937631,CEA20,125931
DJC16_10454.99,0.940133908, ~ Study_group + (1|maskID),665.4285185,674.0538519,-0.018580159,0.999937631,DJC16,23341
