"Protein","Nominal_pvalue","formula","fold_change","adjusted_pvalue","Target","Entrez"
"CRBB2_10000.28",0.0947373762857871," ~ Study_group + (1|maskID)",-0.0698450919450948,0.999937631057378,"CRBB2","1415"
"c.Raf_10001.7",0.55398949118187," ~ Study_group + (1|maskID)",0.0363571250115463,0.999937631057378,"c-Raf","5894"
"ZNF41_10003.15",0.39184986896053," ~ Study_group + (1|maskID) + Methotrexate",-0.123724225079054,0.999937631057378,"ZNF41","7592"
"ELK1_10006.25",0.314365088337355," ~ Study_group + (1|maskID) + Sex",-0.988063399516231,0.999937631057378,"ELK1","2002"
"GUC1A_10008.43",0.341220216928529," ~ Study_group + (1|maskID)",0.141576543851108,0.999937631057378,"GUC1A","2978"
"BECN1_10010.10",0.364808869291486," ~ Study_group + (1|maskID) + Age + Prednisone",-0.0999057903471703,0.999937631057378,"BECN1","8678"
"OCRL_10011.65",0.99601704905858," ~ Study_group + (1|maskID)",-0.000499039139906672,0.999937631057378,"OCRL","4952"
"SPDEF_10012.5",0.884020858915647," ~ Study_group + (1|maskID)",-0.00938150007916809,0.999937631057378,"SPDEF","25803"
"SLUG_10014.31",0.0567205904028826," ~ Study_group + (1|maskID) + Age",-0.0924165951395483,0.999937631057378,"SLUG","6591"
"KCAB2_10015.119",0.535853203308988," ~ Study_group + (1|maskID) + Age",-0.146959985686473,0.999937631057378,"KCAB2","8514"
"POLH_10022.207",0.110455763491876," ~ Study_group + (1|maskID)",0.132910565254452,0.999937631057378,"POLH","5429"
"VDR_10023.32",0.262216066539905," ~ Study_group + (1|maskID)",-0.0516513306263219,0.999937631057378,"VDR","7421"
"HOGA1_10024.44",0.308198005789497," ~ Study_group + (1|maskID) + Sex + Prednisone",-0.0773473741734109,0.999937631057378,"HOGA1","112817"
"DLDH_10025.1",0.953785184435239," ~ Study_group + (1|maskID)",0.00340722991436581,0.999937631057378,"DLDH","1738"
"MutY.homolog_10030.8",0.749165570744699," ~ Study_group + (1|maskID)",0.0270556120367774,0.999937631057378,"MutY homolog","4595"
"DUS4_10035.6",0.714375909409125," ~ Study_group + (1|maskID)",-0.0203377012280939,0.999937631057378,"DUS4","1846"
"ZHX3_10036.201",0.14367746952949," ~ Study_group + (1|maskID)",-0.118556119306871,0.999937631057378,"ZHX3","23051"
"SIG12.Ig.like.V.type.2_10037.98",0.633493368931864," ~ Study_group + (1|maskID) + Age",0.0112972266686382,0.999937631057378,"SIG12:Ig-like V-type 2","89858"
"PNP_10039.32",0.930942446570091," ~ Study_group + (1|maskID)",-0.0155060618438531,0.999937631057378,"PNP","4860"
"P73L_10040.63",0.180853663930273," ~ Study_group + (1|maskID) + Sex",-0.0792805004707891,0.999937631057378,"P73L","8626"
"HNF4A_10041.3",0.5304282117646," ~ Study_group + (1|maskID)",-0.0821712542557338,0.999937631057378,"HNF4A","3172"
"SGK3_10042.8",0.273476886715073," ~ Study_group + (1|maskID)",0.0432828036973817,0.999937631057378,"SGK3","100533105"
"BRD4_10043.31",0.151887193277729," ~ Study_group + (1|maskID)",0.0496396236592259,0.999937631057378,"BRD4","23476"
"WN10A_10044.12",0.251155769150386," ~ Study_group + (1|maskID)",-0.10966245795508,0.999937631057378,"WN10A","80326"
"CUL3_10045.47",0.703015554769411," ~ Study_group + (1|maskID)",0.0307538296895261,0.999937631057378,"CUL3","8452"
"cIAP.1_10046.55",0.106680301951373," ~ Study_group + (1|maskID)",0.222796739227648,0.999937631057378,"cIAP-1","329"
"NCF.2_10047.12",0.0614317550711028," ~ Study_group + (1|maskID)",-1.52587081118523,0.999937631057378,"NCF-2","4688"
"PEBB_10048.7",0.684172541371538," ~ Study_group + (1|maskID)",-0.0207470324296702,0.999937631057378,"PEBB","865"
"TERF1_10049.112",0.250130354433202," ~ Study_group + (1|maskID)",0.101832171418558,0.999937631057378,"TERF1","7013"
"ILK1_10053.5",0.768346845575029," ~ Study_group + (1|maskID)",0.0578153517753949,0.999937631057378,"ILK1","3611"
"GAN_10054.3",0.118119082735627," ~ Study_group + (1|maskID)",-0.162098005693689,0.999937631057378,"GAN","8139"
"FOXM1_10056.5",0.287662075587035," ~ Study_group + (1|maskID)",0.462701559657095,0.999937631057378,"FOXM1","2305"
"RD23A_10058.1",0.453990971007124," ~ Study_group + (1|maskID) + Age + Methotrexate",0.0516799802177506,0.999937631057378,"RD23A","5886"
"FANCL_10063.10",0.87027338694849," ~ Study_group + (1|maskID)",-0.00380736480230324,0.999937631057378,"FANCL","55120"
"RBBP9_10064.12",0.24265641515145," ~ Study_group + (1|maskID)",-0.195442834252911,0.999937631057378,"RBBP9","10741"
"PIN1_10069.2",0.202133514357133," ~ Study_group + (1|maskID)",0.0946603627045477,0.999937631057378,"PIN1","5300"
"PLCG2_10070.22",0.250220263928475," ~ Study_group + (1|maskID) + Age",0.323280147287735,0.999937631057378,"PLCG2","5336"
"TYDP1_10073.22",0.931050344636967," ~ Study_group + (1|maskID)",0.00338903846752096,0.999937631057378,"TYDP1","55775"
