"Proteins","Age","Sex","Smoking","Prednisone","Methotrexate","Aspirin"
"CRBB2_10000.28",0.204116563653757,0.798010173580925,0.456368687370961,0.00124412610068054,0.890268714489196,0.64202650759326
"c.Raf_10001.7",0.107937636561959,0.637010549327876,0.431754383808103,0.000189398725323057,0.0390137343203132,0.010596775309855
"ZNF41_10003.15",0.688196427990565,0.636428305877592,0.776730221950072,0.110223204419077,0.00123506252228401,0.143662970393599
"ELK1_10006.25",0.230443908512905,0.0522598783225679,0.823964627056114,0.180787163521059,0.746208105645172,0.66369454509198
"GUC1A_10008.43",0.320817191087229,0.3897778479912,0.687752175470571,0.123159975558051,0.848377924516689,0.104479030045607
"BECN1_10010.10",0.00979129575422814,0.739668827118501,0.812530716489804,0.886110283627377,0.81848638500826,0.917602198018819
"OCRL_10011.65",0.229090660032553,0.453810834524046,0.553923434823419,0.000210080009907001,0.0130329235276815,0.020479661206378
"SPDEF_10012.5",0.102903761046035,0.911159026301124,0.597849190737405,3.09934762457095e-05,0.997906484015135,0.179055433505918
"SLUG_10014.31",7.88987591917836e-05,0.277621763442821,0.604676329754162,0.199416693829468,0.527006610808401,0.242317113262244
"KCAB2_10015.119",0.0586213845455874,0.0550230597003535,0.71205282636809,0.171390505123047,0.419165280917341,0.263264293711613
"POLH_10022.207",0.362891916627137,0.498757645814798,0.594319209582955,0.101816923494263,0.00297758661550324,0.214640727003432
"VDR_10023.32",0.683828804508294,0.0795939815586245,0.731419194820089,0.731536120556526,0.99915911548996,0.961147789744694
"HOGA1_10024.44",0.585323632497555,0.0828898667687085,0.764584838017435,0.0389480749629421,0.713230342102173,0.90321018209911
"DLDH_10025.1",0.0175413926625574,0.842151032766955,0.774262850285275,0.0308544276106291,0.68743046687652,0.00885418403015741
"MutY.homolog_10030.8",0.0774928823113713,0.459302142831034,0.69302413063425,0.348724870797073,0.806836158576541,0.235338046307832
"DUS4_10035.6",0.0734743095581962,0.289774149037917,0.471910156040912,0.0030715791274672,0.233401096346976,0.673046254338286
"ZHX3_10036.201",0.120006860015853,0.952889375839977,0.416793671649148,3.86127231931766e-07,0.010057149773026,0.00258847865276442
"SIG12.Ig.like.V.type.2_10037.98",0.00534181699287428,0.587741281499279,0.584857836515971,0.0133878738350939,0.741398700213456,0.830371784827272
"PNP_10039.32",0.0148188349103969,0.919465276019736,0.669369952716246,0.000120303513551263,0.113641648199576,0.0245092999984856
"P73L_10040.63",0.0401473908977727,0.0290557440991712,0.949297644972958,0.436884768415144,0.592648895102274,0.272720901031419
"HNF4A_10041.3",0.26831970480387,0.490712772210157,0.488416882952838,0.055135055352548,0.066338812454301,0.164536352112986
"SGK3_10042.8",0.65887766626074,0.857777404996548,0.700938966493115,0.92158510680393,0.201800124432975,0.277665229803084
"BRD4_10043.31",0.0175234326962677,0.0164193550025574,0.69996279718036,0.648076562712732,0.277567555056661,0.785648787169811
"WN10A_10044.12",0.187996197798231,0.601594106055377,0.419288953167573,0.0940066753332758,0.636795962244881,0.305702151959906
"CUL3_10045.47",0.00597482165825231,0.816845987156879,0.602776539922121,0.000265287261539498,0.112156747512805,0.00174893089962521
"cIAP.1_10046.55",0.699656371720432,0.485442744949832,0.849949691986151,0.951613757839701,0.143877753422564,0.418661796441956
"NCF.2_10047.12",0.994329821706337,0.524559132570668,0.911697376121823,0.021438096269779,0.00589304706466262,0.0352801878342321
"PEBB_10048.7",0.65007291728706,0.5639218339228,0.605685257547102,0.0116146857839292,0.00935211197620207,0.0443753924270865
"TERF1_10049.112",0.156866761899342,0.418447115215649,0.941226764154628,0.00182526078333598,0.579356707678847,0.00217489759630152
"ILK1_10053.5",0.0738981511575615,0.72330758137214,0.539871052624861,1.03816043347507e-05,0.0857519930077845,0.0462766817823182
"GAN_10054.3",0.609670697050007,0.415836261406146,0.863504883458391,0.0835150125841315,0.0387112577807635,0.131927024660655
"FOXM1_10056.5",0.768668820644279,0.763438915578279,0.61840864211351,0.0593450360524103,0.0425175026492529,0.522341252424344
"RD23A_10058.1",0.0379612886041319,0.429186701347108,0.702820174639732,0.435830514250796,0.751657425921428,0.00497221953084495
"FANCL_10063.10",0.79243871244049,0.392565212057394,0.614098514540713,0.00204709838671761,0.24285593401434,0.00227384021629638
"RBBP9_10064.12",0.877322440717486,0.718425710675196,0.877463346564873,0.03079310663201,0.00282875517392584,0.0386705872382134
"PIN1_10069.2",0.81442848786133,0.206005617884838,0.979578011304648,0.493360114039738,0.861583206938197,0.475172810560575
"PLCG2_10070.22",0.0310665501084463,0.454083592776666,0.782564509845094,0.308170993570507,0.353432750392201,0.668351183144432
"TYDP1_10073.22",0.586579656735281,0.308753467485124,0.504884796040738,0.455234232133251,0.0471056546164441,0.0462455125151643
"BRD2_10074.128",0.752179054456272,0.418354191101113,0.62864197973155,0.156818669582419,0.52497661937574,0.0196512699386443
"ACBD6_10075.75",0.0656616643805362,0.784713959601511,0.433204213059806,0.00387966509912238,0.140653788003537,0.143892597818176
"AP4M1_10076.1",0.0655140857208964,0.951703808958318,0.428186591968423,0.000848418199108644,0.0304408923232151,0.0207067488735084
"BAG3_10078.5",0.0205459194059464,0.906482539487439,0.734352010765028,0.0121170989563214,0.896934095789063,0.0188480390074425
"EI2BA_10080.9",0.0489172124097522,0.94730627141227,0.42090890994952,0.0291886354210741,0.764256647233237,0.925350921338224
"SATB2_10081.17",0.103011412376123,0.416966855045546,0.61879688035601,0.137680174705077,0.704651550999381,0.5479005888821
"NFL_10082.251",0.482071952284427,0.518152517303111,0.817390620220285,0.0423778922188897,0.618594248941165,0.0551727472289325
"STAR_10085.25",0.89535687305138,0.649932521773674,0.9868561708867,0.102664480144584,0.00556872947512837,0.0436905761640666
"CBS_10086.39",0.708211028950497,0.281589116754285,0.639585155776791,0.0101688414319111,0.000536967252263384,0.00669781819402403
"Alpha.crystallin.A.chain_10087.10",0.841610686959301,0.189228168605027,0.71703122894585,0.000540770508493659,0.10082964600602,0.0459532552433053
"APT_10088.37",0.0536483959502387,0.78996237440143,0.399202274958566,0.000208217692515226,0.107377125936974,0.0968533048892515
"ASML_10089.7",0.00196766495356406,0.638727593455671,0.642784887980944,0.00552753259271575,0.108805147258391,0.0334671491136196
"CHIP_10336.3",0.0620998377753128,0.730651078961032,0.355623383389956,0.00130827502723096,0.157186780418293,0.344192008684725
"NSE_10339.48",0.649403834671314,0.738220559370244,0.459452682738508,0.440946612995598,0.366487230782612,0.207600210031691
"PIAS4_10342.55",0.013242173539975,0.841249236192185,0.219387258501019,0.0181306264031907,0.532215380703951,0.0473230447534971
"IL.10.Ra_10344.334",0.177991479572222,0.673625915490318,0.559181284180317,4.82737697611087e-06,0.0455702481703197,0.0252552838012453
"STAT3_10346.5",0.254703051760642,0.580670965081108,0.314071292622401,5.79131013512953e-07,0.00767333734720876,0.00493585349866299
"IRF1_10351.51",0.0206856817225283,0.490091124366672,0.924491053099328,0.59643752428663,0.966949844891806,0.527691935572588
"STAT3_10354.57",0.256038601459841,0.469503069768145,0.478103495677759,4.32197079216335e-06,0.0262569555149668,0.0110270912416482
"c.Jun_10356.21",0.503878772894534,0.549405488329876,0.550750195774411,0.00204888628377244,0.299672225669135,0.262132748255533
"OAS1_10361.25",0.582940215947618,0.0620893328829685,0.799554524783004,0.564792993240223,0.860816595302952,0.650050427904415
"c.Myc_10362.35",0.667684135916453,0.58443767848367,0.763392093517638,0.398603279825576,0.673350756243017,0.48627347570164
"SMAD3_10363.13",0.0279364951813708,0.576571174528837,0.429598287896747,5.75879806602476e-06,0.0378456435429295,0.0073052414020909
"SMAD2_10364.6",0.0492097128017249,0.660291686997448,0.240763628056912,1.668226077491e-06,0.0309802653901475,0.00267180829075949
"IL.23_10365.132",0.0178270707896522,0.398279030028893,0.841367372939448,0.943399810904771,0.144333882192243,0.715821743114723
"PDGFRA_10366.11",0.808686308084751,0.47042955387122,0.586535673739828,0.0293876941997076,0.0017772127673661,0.895730865840204
"IL.12_10367.62",0.107843679644378,0.0413071886360282,0.962308764760323,0.818394310564422,0.941293092977189,0.115825280810015
"STAT1_10370.21",0.218880205812844,0.99011054949598,0.387910041747202,0.000570938047372767,0.0569478821747527,0.0599372410549853
"STAT6_10372.18",0.265345136124449,0.811714928652871,0.270672719179534,5.60079121310513e-06,0.0186053534880927,0.036854739789217
"ANGL3_10382.1",0.132837940788196,0.135443687878135,0.37431285885982,0.00783927295158185,0.132736480582542,0.144421217860439
"ZNRF3_10390.21",0.0413453124455806,0.628775791659943,0.37633368384904,0.387382201447027,0.873712074873001,0.262096121696363
"ANGL3_10391.1",0.0854154066277972,0.247308042175815,0.957616839117512,0.0569900822138303,0.427115680167671,0.149148962014166
"Mcl.1_10396.6",0.907903061597947,0.584615647578862,0.907844523922563,0.0882404970683131,0.0523716964918743,0.076523168743834
"ANKR1_10398.110",0.183021455240807,0.870494001731749,0.458940759272217,1.26625179329703e-05,0.0243349121460704,0.033113939184197
"STX12_10418.36",0.528110838079131,0.726055733939235,0.872464405035791,0.094424734779438,0.303369979207806,0.215058534294729
"SCAR5_10419.1",0.0519058344540027,0.684987254344943,0.56130012561028,0.0144716801193705,0.495205079034089,0.727269093581836
"FAIM1_10420.30",0.463532544388419,0.600806298070881,0.649908168516412,0.772786564597247,0.659928935075945,0.773898844116673
"NPDC1_10424.31",0.0539562860310575,0.753405523356635,0.898108439928056,0.0179801872086921,0.885803592551164,0.698222541476273
"B4GT5_10425.3",0.0604389002058775,0.782430537820253,0.923896442993908,0.000398482928857646,0.869239248978493,0.00960824633920895
"GOSR2_10426.21",0.57354298695883,0.367014661492762,0.515523111629595,0.885437748670238,0.271675133136776,0.469022085124756
"KI2S2_10428.1",0.020395507801984,0.49597884805213,0.420168175773201,0.00189509459143085,0.800714983091654,0.0441366038892115
"X4F2.CD_10430.31",0.703399794834261,0.152821133418759,0.677865668590468,0.360249857515558,0.50780681621914,0.700927918235615
"K1644_10432.3",0.361675806519845,0.0657827968246323,0.996124167022582,0.483649743590902,0.720194732328543,0.572735805508691
"ASPG_10435.2",0.962543870961895,0.932650195765684,0.705602610385183,0.0373473774323,0.00100301776760866,0.203200689231911
"CSF2R_10438.19",0.451342975682407,0.521529329038721,0.871030531084877,0.0536948299496556,0.0481534671686003,0.0496612301638245
"Alpha.amylase.2B_10439.57",0.225665956228925,0.613654652050761,0.540461844008737,0.0011474863013657,0.719290531283522,0.186678089690286
"ACAM.ECD_10440.26",0.0489377210802112,0.627507449101432,0.710174601774661,0.0527586187111976,0.515731644647729,0.0566631236852864
"TM190_10442.1",0.0465500654985008,0.85085850758303,0.745297286519079,0.0437880018439473,0.225848153248378,0.226088590537232
"ApoM_10445.20",0.755006306188504,0.0242034408972111,0.181916822424706,0.50882320148257,0.0667373717643701,0.739004036779481
"PABP3_10447.18",0.42752779604193,0.509470176310869,0.882255470043127,0.111734416973696,0.97983537071103,0.847328956607816
"TMM46_10449.31",0.0921017076060233,0.983762202596053,0.589078328959988,0.000126156689260715,0.887409407259461,0.234648744818523
"NUCB1_10451.11",0.267150490671012,0.964962342439307,0.603541986576374,0.00210219383781,0.0551794842613159,0.0400320130044348
"CEA20_10453.7",0.871611523081657,0.388495265692556,0.417497653851017,0.336384909461854,0.572023228209182,0.1988655182843
"DJC16_10454.99",0.160400761022183,0.83439973610269,0.261997950481897,0.00159191912578912,0.18191837820622,0.266652985124946
"IL.31_10455.196",0.140446356648717,0.375181932863083,0.598984503801627,0.0208283993279102,7.58686767326586e-06,0.343409106040246
"IL.18.Rb_10457.3",0.715531626303361,0.582079144724411,0.717077341215272,0.561769960761563,0.847169541422223,0.791779172372851
"Chitotriosidase.1_10460.1",0.000444699632148321,0.152693178490417,0.895550594109623,0.296530594411556,0.21959062592656,0.409386801921825
"INSL5_10462.14",0.0979606912766899,0.61078408192463,0.801457465934623,0.113242298486671,0.706945424307292,0.538340688596061
"Alkaline.phosphatase..intestine_10463.23",0.0334060578340696,0.672934463507023,0.342171169736342,0.0419158680751986,0.622982806143421,0.672793108532055
"ANTR1_10464.6",0.64154266233024,0.0940447564515525,0.33790654666529,0.764953674475144,0.663315052289647,0.526203686197846
"TXD11.N.term_10470.34",0.73383067059785,0.809570797356786,0.636133143287616,0.428004069984922,0.790232887514047,0.800083263548662
"HVEM_10472.53",0.136567665275799,0.108686141618013,0.497915990858379,0.0678697284699801,0.825074956576382,0.884528471321713
"Trefoil.factor.2_10473.2",0.374936704758244,0.848264936200262,0.96019560154938,0.240683696382685,0.00760125204889519,0.138326466194649
"MMP.10_10479.18",0.000631340109766998,0.102329453814689,0.751049490522273,0.94560958014235,0.957250436217312,0.253858646592061
"CD59_10480.33",0.33072585402125,0.398530995332411,0.809726335242723,0.068868750925379,0.00138443837428777,0.0277613350953986
"MAGE.4_10485.56",0.61087407293867,0.185187862547256,0.42259943847607,0.501046100671574,0.182944773232632,0.420869882792095
"RPN1.CD_10490.3",0.423373016115931,0.0218875634144854,0.857226741092768,0.963976905961076,0.0435264758720052,0.39846890095805
"CaCC_10496.11",0.129503704472617,0.382663638409506,0.877765215003316,0.0184716000165184,4.53584287319155e-06,0.0491399609519562
"T106A_10499.1",0.0446596858705427,0.941253210863401,0.378002985833926,0.0013624128372749,0.495679980618497,0.089245786218232
"RNF43_10505.12",0.968296028714624,0.807598992363663,0.542312735301273,0.433579004528096,0.0468289774205459,0.173550595464812
"PGRC2_10506.53",0.712296173345901,0.585172849135137,0.809101707778618,0.455114176167511,0.00505061430100878,0.0985355130426244
"sperm.protein.10_10507.166",0.250238839501003,0.45876266583146,1.50484461852745e-13,0.778953728958757,0.175674731859544,0.382614572999482
"SCIMP_10510.62",0.303650061568583,0.54402133518784,0.892596332691376,0.0708107955415553,0.275527554374519,0.445589790834278
"Collagen.alpha.3.VI..isoform.3_10511.10",0.0586998242124475,0.514839471669949,0.5058953835661,0.364387053564928,0.655845548724503,0.47077456942044
"IL3RB.ECD_10512.13",0.862108759220378,0.859514305367625,0.639582254670133,0.788074122568976,0.376187404621805,0.597827242107233
"CSEN_10513.13",0.455040006370279,0.279225014947085,0.710178265785998,0.979461386798518,0.724492518123963,0.331168070432741
"PGD2.synthase_10514.5",0.00102735715287754,0.928250890740624,0.430541893116761,0.000429857860631572,0.202761897854378,0.13727064632888
"MXRA8.ECD_10521.10",0.772255085360976,0.290744861181333,0.224241765874352,0.89209248168189,0.469480394223397,0.462604884201624
"DHX9_10527.22",0.490741739636789,0.866204905410181,0.559903280433856,0.019406078958964,0.62409681726559,0.989991208250482
"DPEP1_10528.2",0.019685319240824,0.0834619446263323,0.81364427958299,0.518307152671476,0.672867791158908,0.124373375164488
"PSB6_10530.8",0.932451148937258,0.193137854009686,0.646352353179911,0.0452072726825564,0.850747147979476,0.569817763789423
"RASN_10531.18",0.380274268361546,0.799487475188046,0.679943442745977,0.168005766236954,0.108371751019329,0.343701050313212
