Protein,Adjusted_linear_model,linear_modeling_pvalue,adjusted_pvalues,fold_change,coefficient,Target,Entrez,Uniprot
X5..Nucleotidase_15452.5,~ Study_group + Prednisone,0.006909672,0.999705358,0.792538925,4408.583432,5'-Nucleotidase,4907,P21589
a1.Antitrypsin_3580.25,~ Study_group + Age + Prednisone,0.002523494,0.999705358,0.824795887,15665.20604,a1-Antitrypsin,5265,P01009
ABL2_5261.13,~ Study_group,0.009448227,0.999705358,0.13461984,97.15640741,ABL2,27,P42684
Activin.B_16746.12,~ Study_group + Aspirin,0.003265934,0.999705358,0.404391812,386.6311667,Activin B,3625,P09529
Activin.RIA_21703.31,~ Study_group,0.00888325,0.999705358,0.254310728,156.3713704,Activin RIA,90,Q04771
ADA15.CD_9956.7,~ Study_group + Age + Prednisone + Aspirin,0.003274926,0.999705358,0.295757521,135.7271205,ADA15:CD,8751,Q13444
AL7A1_21498.3,~ Study_group,0.00123702,0.999705358,1.087636059,2424.715852,AL7A1,501,P49419
Aldo.keto.reductase.1C1_12618.50,~ Study_group + Prednisone,0.006094378,0.999705358,0.195237198,36.7187037,Aldo-keto reductase 1C1,1645,Q04828
Alkaline.phosphatase..intestine_17441.4,~ Study_group,0.002724772,0.999705358,0.306696996,68.4602037,"Alkaline phosphatase, intestine",248,P09923
Angiopoietin.2_2602.2,~ Study_group + Age,0.001177474,0.999705358,0.95086174,4559.542018,Angiopoietin-2,285,O15123
Annexin.A8_18290.6,~ Study_group + Prednisone,0.004007737,0.999705358,0.391996567,192.4054259,Annexin A8,653145,P13928
APC7_11690.47,~ Study_group + Smoking,0.001443843,0.999705358,0.112991902,62.12442903,APC7,51434,Q9UJX3
APEX2_25123.198,~ Study_group + Prednisone + Aspirin,0.007273754,0.999705358,0.229797275,67.35586682,APEX2,27301,Q9UBZ4
Apo.D_4712.28,~ Study_group + Prednisone,0.004577066,0.999705358,0.483873691,876.9105432,Apo D,347,P05090
Apo.F_12370.30,~ Study_group + Age + Prednisone,0.006794942,0.999705358,1.069633225,4885.536661,Apo F,319,Q13790
ARI1A_9898.161,~ Study_group + Aspirin,0.007800092,0.999705358,0.17220879,87.09328571,ARI1A,8289,O14497
ARL2_12587.65,~ Study_group + Age + Prednisone,0.006098101,0.999705358,0.613646399,320.1811443,ARL2,402,P36404
ARMC5.ARM.2_9945.8,~ Study_group + Prednisone + Aspirin,0.009190558,0.999705358,0.389638534,326.3163113,ARMC5:ARM 2,79798,Q96C12
