"Protein","Adjusted_linear_model","linear_modeling_pvalue","adjusted_pvalues","fold_change","coefficient","Target","Entrez","Uniprot"
"CRBB2_10000.28","~ Study_group + Prednisone",0.46043205790313,0.999705357513807,0.356526022770597,51.4878148148147,"CRBB2","1415","P43320"
"c.Raf_10001.7","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00196558127935224,0.999705357513807,-0.937797028435879,-301.481364353569,"c-Raf","5894","P04049"
"ZNF41_10003.15","~ Study_group + Methotrexate",0.844371014574917,0.999705357513807,0.16004523312083,2.83606038647355,"ZNF41","7592","P51814"
"ELK1_10006.25","~ Study_group",0.284338810570609,0.999705357513807,1.32216349270297,1023.15168518518,"ELK1","2002","P19419"
"GUC1A_10008.43","~ Study_group",0.165504267223502,0.999705357513807,0.164839451572426,55.9302407407407,"GUC1A","2978","P43080"
"BECN1_10010.10","~ Study_group + Age",0.0581625571929339,0.999705357513807,0.326501832569673,70.3617313121504,"BECN1","8678","Q14457"
"OCRL_10011.65","~ Study_group + Prednisone + Methotrexate + Aspirin",0.230693277028659,0.999705357513807,0.5476043588313,561.279114316681,"OCRL","4952","Q01968"
"SPDEF_10012.5","~ Study_group + Prednisone",0.100004116187179,0.999705357513807,0.423179748153106,232.973518518517,"SPDEF","25803","O95238"
"SLUG_10014.31","~ Study_group + Age",0.0540922261729317,0.999705357513807,0.287065964071922,162.245824777769,"SLUG","6591","O43623"
"KCAB2_10015.119","~ Study_group",0.943798043093657,0.999705357513807,0.0224827562048341,11.1796296296294,"KCAB2","8514","Q13303"
"POLH_10022.207","~ Study_group + Methotrexate",0.145759620619729,0.999705357513807,0.257680711778418,20.3196851851853,"POLH","5429","Q9Y253"
"VDR_10023.32","~ Study_group",0.810490262965038,0.999705357513807,0.0418627739289083,17.6785185185187,"VDR","7421","P11473"
"HOGA1_10024.44","~ Study_group + Prednisone",0.820637498530672,0.999705357513807,0.661960566657936,-99.9118086419719,"HOGA1","112817","Q86XE5"
"DLDH_10025.1","~ Study_group + Age + Prednisone + Aspirin",0.173938510392265,0.999705357513807,-0.232729459839775,-166.216456953259,"DLDH","1738","P09622"
"MutY.homolog_10030.8","~ Study_group",0.267332376505375,0.999705357513807,0.208772864390408,24.460537037037,"MutY homolog","4595","Q9UIF7"
"DUS4_10035.6","~ Study_group + Prednisone",0.0126491572971337,0.999705357513807,0.32282675610451,101.519629629629,"DUS4","1846","Q13115"
"ZHX3_10036.201","~ Study_group + Prednisone + Methotrexate + Aspirin",0.0251940662905223,0.999705357513807,0.633186882641579,650.247697124654,"ZHX3","23051","Q9H4I2"
"SIG12.Ig.like.V.type.2_10037.98","~ Study_group + Age + Prednisone",0.0345285658613989,0.999705357513807,0.551483326729511,87.4350503853774,"SIG12:Ig-like V-type 2","89858","Q96PQ1"
"PNP_10039.32","~ Study_group + Age + Prednisone + Aspirin",0.00727973291300049,0.999705357513807,-0.939366042639523,-2785.88570417849,"PNP","4860","P00491"
"P73L_10040.63","~ Study_group + Age + Sex",0.794653766140782,0.999705357513807,0.0330660273201619,8.59684481761698,"P73L","8626","Q9H3D4"
"HNF4A_10041.3","~ Study_group",0.00445062316967544,0.999705357513807,0.53454521505752,6788.03796296297,"HNF4A","3172","P41235"
"SGK3_10042.8","~ Study_group",0.897704648641945,0.999705357513807,-0.00477190794033749,-2.85066666666659,"SGK3","100533105","Q96BR1"
"BRD4_10043.31","~ Study_group + Age + Sex",0.101769813774057,0.999705357513807,-0.0806285639734781,-36.4949610241231,"BRD4","23476","O60885"
"WN10A_10044.12","~ Study_group",0.000426441317362344,0.999705357513807,0.470687507649403,257.37812962963,"WN10A","80326","Q9GZT5"
"CUL3_10045.47","~ Study_group + Age + Prednisone + Aspirin",0.00114715970917965,0.999705357513807,-0.70725163783069,-447.076766469371,"CUL3","8452","Q13618"
"cIAP.1_10046.55","~ Study_group",0.719038997860219,0.999705357513807,0.05533103335621,52.0029074074068,"cIAP-1","329","Q13490"
"NCF.2_10047.12","~ Study_group + Prednisone + Methotrexate + Aspirin",0.432058889975828,0.999705357513807,3.76460075099471,-3833.06049935381,"NCF-2","4688","P19878"
"PEBB_10048.7","~ Study_group + Prednisone + Methotrexate + Aspirin",0.529700954009187,0.999705357513807,0.132894513632638,-68.0239867248733,"PEBB","865","Q13951"
"TERF1_10049.112","~ Study_group + Prednisone + Aspirin",0.806914499338651,0.999705357513807,0.193442113333156,-9.06343262411358,"TERF1","7013","P54274"
"ILK1_10053.5","~ Study_group + Prednisone + Aspirin",0.00159566185839683,0.999705357513807,-1.16580640441877,-10594.2722466509,"ILK1","3611","Q13418"
"GAN_10054.3","~ Study_group + Methotrexate",0.544380572516537,0.999705357513807,0.20719670710774,23.8035611916267,"GAN","8139","Q9H2C0"
"FOXM1_10056.5","~ Study_group + Methotrexate",0.0309294225313238,0.999705357513807,-0.704858485534267,-574.759560386473,"FOXM1","2305","Q08050"
"RD23A_10058.1","~ Study_group + Age + Aspirin",0.226283059712817,0.999705357513807,-0.180857540834199,-1104.2666031479,"RD23A","5886","P54725"
"FANCL_10063.10","~ Study_group + Prednisone + Aspirin",0.904324499110448,0.999705357513807,0.0953397999912808,1.71075728920416,"FANCL","55120","Q9NW38"
"RBBP9_10064.12","~ Study_group + Prednisone + Methotrexate + Aspirin",0.610505825030815,0.999705357513807,0.392236723990388,-165.168271674477,"RBBP9","10741","O75884"
"PIN1_10069.2","~ Study_group",0.950470761621718,0.999705357513807,-0.00467822102443733,-1.87429629629643,"PIN1","5300","Q13526"
"PLCG2_10070.22","~ Study_group + Age",0.856127770493858,0.999705357513807,0.170322874817231,168.413269685888,"PLCG2","5336","P16885"
"TYDP1_10073.22","~ Study_group + Methotrexate + Aspirin",0.796088650711357,0.999705357513807,-0.0928523630820306,-11.1425203703697,"TYDP1","55775","Q9NUW8"
"BRD2_10074.128","~ Study_group + Aspirin",0.0252540218205364,0.999705357513807,0.340307264767128,164.453312169312,"BRD2","6046","P25440"
"ACBD6_10075.75","~ Study_group + Prednisone",0.0152278923123695,0.999705357513807,-1.14711727781413,-720.39337037037,"ACBD6","84320","Q9BR61"
"AP4M1_10076.1","~ Study_group + Prednisone + Methotrexate + Aspirin",0.0027035072307454,0.999705357513807,-0.66930185489361,-749.917950255173,"AP4M1","9179","O00189"
"BAG3_10078.5","~ Study_group + Age + Prednisone + Aspirin",0.725708392191654,0.999705357513807,0.370890701123085,-44.6554759813908,"BAG3","9531","O95817"
"EI2BA_10080.9","~ Study_group + Age + Prednisone",0.825502444618134,0.999705357513807,-0.378296345758417,145.435166749424,"EI2BA","1967","Q14232"
"SATB2_10081.17","~ Study_group",0.290347713572028,0.999705357513807,0.239062577767756,97.9473518518518,"SATB2","23314","Q9UPW6"
"NFL_10082.251","~ Study_group + Prednisone",0.0577136930910079,0.999705357513807,0.30230021559651,122.561845679012,"NFL","4747","P07196"
"STAR_10085.25","~ Study_group + Methotrexate + Aspirin",0.730532215777578,0.999705357513807,0.326676434006004,-82.69753333333,"STAR","6770","P49675"
"CBS_10086.39","~ Study_group + Prednisone + Methotrexate + Aspirin",0.814055182955746,0.999705357513807,0.414131561634196,-67.5049921031089,"CBS","102724560","P35520"
"Alpha.crystallin.A.chain_10087.10","~ Study_group + Prednisone + Aspirin",0.890982343347506,0.999705357513807,0.214490987623873,4.0277107959024,"Alpha crystallin A chain","102724652","P02489"
