Proteins,Target name,EntrezGeneID,Uniprot,EntrezGeneIDString
CRBB2_10000.28,CRBB2,1415,P43320,1415
c.Raf_10001.7,c-Raf,5894,P04049,5894
ZNF41_10003.15,ZNF41,7592,P51814,7592
ELK1_10006.25,ELK1,2002,P19419,2002
GUC1A_10008.43,GUC1A,2978,P43080,2978
BECN1_10010.10,BECN1,8678,Q14457,8678
OCRL_10011.65,OCRL,4952,Q01968,4952
SPDEF_10012.5,SPDEF,25803,O95238,25803
SLUG_10014.31,SLUG,6591,O43623,6591
KCAB2_10015.119,KCAB2,8514,Q13303,8514
POLH_10022.207,POLH,5429,Q9Y253,5429
VDR_10023.32,VDR,7421,P11473,7421
HOGA1_10024.44,HOGA1,112817,Q86XE5,112817
DLDH_10025.1,DLDH,1738,P09622,1738
MutY.homolog_10030.8,MutY homolog,4595,Q9UIF7,4595
DUS4_10035.6,DUS4,1846,Q13115,1846
ZHX3_10036.201,ZHX3,23051,Q9H4I2,23051
SIG12.Ig.like.V.type.2_10037.98,SIG12:Ig-like V-type 2,89858,Q96PQ1,89858
PNP_10039.32,PNP,4860,P00491,4860
P73L_10040.63,P73L,8626,Q9H3D4,8626
HNF4A_10041.3,HNF4A,3172,P41235,3172
SGK3_10042.8,SGK3,100533105,Q96BR1,100533105
BRD4_10043.31,BRD4,23476,O60885,23476
WN10A_10044.12,WN10A,80326,Q9GZT5,80326
CUL3_10045.47,CUL3,8452,Q13618,8452
cIAP.1_10046.55,cIAP-1,329,Q13490,329
NCF.2_10047.12,NCF-2,4688,P19878,4688
PEBB_10048.7,PEBB,865,Q13951,865
TERF1_10049.112,TERF1,7013,P54274,7013
ILK1_10053.5,ILK1,3611,Q13418,3611
GAN_10054.3,GAN,8139,Q9H2C0,8139
FOXM1_10056.5,FOXM1,2305,Q08050,2305
RD23A_10058.1,RD23A,5886,P54725,5886
FANCL_10063.10,FANCL,55120,Q9NW38,55120
RBBP9_10064.12,RBBP9,10741,O75884,10741
PIN1_10069.2,PIN1,5300,Q13526,5300
PLCG2_10070.22,PLCG2,5336,P16885,5336
TYDP1_10073.22,TYDP1,55775,Q9NUW8,55775
BRD2_10074.128,BRD2,6046,P25440,6046
ACBD6_10075.75,ACBD6,84320,Q9BR61,84320
AP4M1_10076.1,AP4M1,9179,O00189,9179
BAG3_10078.5,BAG3,9531,O95817,9531
EI2BA_10080.9,EI2BA,1967,Q14232,1967
SATB2_10081.17,SATB2,23314,Q9UPW6,23314
NFL_10082.251,NFL,4747,P07196,4747
STAR_10085.25,STAR,6770,P49675,6770
CBS_10086.39,CBS,102724560,P35520,102724560
Alpha.crystallin.A.chain_10087.10,Alpha crystallin A chain,102724652,P02489,102724652
APT_10088.37,APT,353,P07741,353
ASML_10089.7,ASML,8623,O95671,8623
CHIP_10336.3,CHIP,10273,Q9UNE7,10273
NSE_10339.48,NSE,2026,P09104,2026
PIAS4_10342.55,PIAS4,51588,Q8N2W9,51588
IL.10.Ra_10344.334,IL-10 Ra,3587,Q13651,3587
STAT3_10346.5,STAT3,6774,P40763,6774
IRF1_10351.51,IRF1,3659,P10914,3659
STAT3_10354.57,STAT3,6774,P40763,6774
c.Jun_10356.21,c-Jun,3725,P05412,3725
OAS1_10361.25,OAS1,4938,P00973,4938
c.Myc_10362.35,c-Myc,4609,P01106,4609
SMAD3_10363.13,SMAD3,4088,P84022,4088
SMAD2_10364.6,SMAD2,4087,Q15796,4087
IL.23_10365.132,IL-23,3593|51561,P29460|Q9NPF7,3593|51561
PDGFRA_10366.11,PDGFRA,5156,P16234,5156
IL.12_10367.62,IL-12,3592|3593,P29459|P29460,3592|3593
STAT1_10370.21,STAT1,6772,P42224,6772
STAT6_10372.18,STAT6,6778,P42226,6778
ANGL3_10382.1,ANGL3,27329,Q9Y5C1,27329
ZNRF3_10390.21,ZNRF3,84133,Q9ULT6,84133
ANGL3_10391.1,ANGL3,27329,Q9Y5C1,27329
Mcl.1_10396.6,Mcl-1,4170,Q07820,4170
ANKR1_10398.110,ANKR1,27063,Q15327,27063
STX12_10418.36,STX12,23673,Q86Y82,23673
SCAR5_10419.1,SCAR5,286133,Q6ZMJ2,286133
FAIM1_10420.30,FAIM1,55179,Q9NVQ4,55179
NPDC1_10424.31,NPDC1,56654,Q9NQX5,56654
B4GT5_10425.3,B4GT5,9334,O43286,9334
GOSR2_10426.21,GOSR2,9570,O14653,9570
KI2S2_10428.1,KI2S2,100132285,P43631,100132285
X4F2.CD_10430.31,4F2:CD,6520,P08195,6520
K1644_10432.3,K1644,85352,Q3SXP7,85352
ASPG_10435.2,ASPG,175,P20933,175
