"Protein","Adjusted_linear_model","linear_modeling_pvalue","spearman","spearman_pvalue","log_lm_pvalue","log_spear_pvalue"
"CRBB2_10000.28","~ CRP",0.0680721399362716,0.0589609526398506,0.756949241863386,1.16703059656881,0.120933241659398
"c.Raf_10001.7","~ CRP",0.917798445903359,0.0487262212382162,0.79818566350901,0.0372526820261567,0.0978960769965491
"ZNF41_10003.15","~ CRP + Methotrexate",0.809085860997256,0.02514463729417,0.895070196148954,0.0920053881792254,0.0481429036732708
"ELK1_10006.25","~ CRP",0.153577474856526,-0.0578549176680018,0.761376318114693,0.813672477422219,0.11840063562785
"GUC1A_10008.43","~ CRP",0.158425833661987,-0.447213263419244,0.0132192993962802,0.800173998869929,1.87879156121893
"BECN1_10010.10","~ CRP",0.408542534365121,-0.0834353103394112,0.66113886814995,0.388762721314126,0.179707310049981
"OCRL_10011.65","~ CRP",0.900157334297815,0.046056291307355,0.80903603362641,0.0456815756212113,0.0920321349308575
"SPDEF_10012.5","~ CRP",0.977857815656022,0.0685282015587697,0.718982571806305,0.0097242887350177,0.143281636821688
"SLUG_10014.31","~ CRP",0.888423354676225,-0.039158972319297,0.83722261005087,0.0513800333364248,0.0771590516093482
"KCAB2_10015.119","~ CRP",0.85838094928825,0.219379242652425,0.244104455617197,0.0663199295682006,0.612424293371414
"POLH_10022.207","~ CRP",0.540256385561456,-0.200244744814587,0.288701532411718,0.267400091269866,0.539550910902144
"VDR_10023.32","~ CRP",0.300916184754339,0.217178460169114,0.248986494548375,0.521554453135722,0.603824209137945
"HOGA1_10024.44","~ CRP + Sex",0.248654237691896,-0.110357103808928,0.56154743177298,0.604404134901397,0.25061355465226
"DLDH_10025.1","~ CRP",0.284102806744013,0.157303371759903,0.406446841001312,0.546524475719458,0.390996247534795
"MutY.homolog_10030.8","~ CRP",0.498468363648555,-0.0859305517051146,0.651630211465712,0.302362399897669,0.185998788745529
"DUS4_10035.6","~ CRP",0.926794436977312,0.18422516522942,0.329787473749134,0.0330165816983189,0.481765844097636
"ZHX3_10036.201","~ CRP",0.99908124914599,0.0956724891891915,0.615027839443752,0.000399191833151914,0.211105225292622
"SIG12.Ig.like.V.type.2_10037.98","~ CRP + Age",0.0265238185058202,-0.37890755602138,0.0389337059290747,1.57636395249093,1.40967425572324
"PNP_10039.32","~ CRP",0.849167757058713,0.0765379913513532,0.687688973568696,0.0710065043757091,0.162607939096485
"P73L_10040.63","~ CRP + Sex + Prednisone",0.268595517994363,0.00533985986172232,0.977658183996955,0.570901238601616,0.00981295988704376
"HNF4A_10041.3","~ CRP",0.913573982621037,0.0756564307966177,0.691109597226442,0.039256277054673,0.160453076075243
"SGK3_10042.8","~ CRP",0.820293381328492,0.00244743576995606,0.989759001527232,0.0860307926110551,0.0044705397946731
"BRD4_10043.31","~ CRP",0.41475106615895,-0.125041718428664,0.510299384869584,0.382212488904919,0.292174955179245
"WN10A_10044.12","~ CRP",0.491655425574804,0.246746024443752,0.18868117966365,0.308339163896957,0.724271417142194
"CUL3_10045.47","~ CRP",0.464150490444578,-0.121940364931019,0.520926816095504,0.333341186313197,0.283223285526523
"cIAP.1_10046.55","~ CRP",0.764046594669338,0.103805073431242,0.585146362286612,0.116880155572561,0.232735490527873
"NCF.2_10047.12","~ CRP + Methotrexate",0.841157447189979,-0.199354768170967,0.290894426778677,0.075122705693303,0.536264599283891
"PEBB_10048.7","~ CRP",0.792929553971633,-0.0338191124575747,0.859182844841085,0.100765394877091,0.0659144030426023
"TERF1_10049.112","~ CRP",0.262374773649003,-0.0382689956756766,0.84087479161979,0.581077923075694,0.0752686669332077
"ILK1_10053.5","~ CRP",0.615660747575181,0.133051508221248,0.483357165370686,0.210658534657538,0.31573183896644
"GAN_10054.3","~ CRP",0.0806629136814772,0.18179795282599,0.336309961503006,1.09332609459057,0.47326026868978
"FOXM1_10056.5","~ CRP",0.246685954909493,-0.144398710427408,0.446477474854342,0.607855576407894,0.350200446726673
"RD23A_10058.1","~ CRP + Age",0.0655670193797606,-0.275923453493547,0.139969907166942,1.18331455853792,0.853965325437067
"FANCL_10063.10","~ CRP",0.488174931344037,-0.100122372407293,0.598598745501146,0.311424526144735,0.222864197657038
"RBBP9_10064.12","~ CRP",0.81100221225044,0.212036935342557,0.260641996505088,0.0909779611194871,0.583955606348097
"PIN1_10069.2","~ CRP",0.648262798753218,-0.00222518914107699,0.990688923720977,0.188248900130493,0.00406269255781816
"PLCG2_10070.22","~ CRP + Age",0.0464006480927616,-0.0965624658328119,0.611727042730508,1.33347595347218,0.213442320141342
"TYDP1_10073.22","~ CRP",0.495557196124324,0.062075870892522,0.744522162677441,0.304906212969548,0.128122369791917
"BRD2_10074.128","~ CRP",0.84786084968451,0.011569696367065,0.951614819228078,0.071675417994403,0.0215388034371379
"ACBD6_10075.75","~ CRP",0.785375100152211,0.0970074541546221,0.610079429676202,0.104922871894117,0.214613618064035
"AP4M1_10076.1","~ CRP",0.334454571856103,-0.0816553570521704,0.667953600493365,0.475662863044263,0.175253704814239
"BAG3_10078.5","~ CRP",0.360513564931564,-0.034045393858478,0.85825004864425,0.443078389573979,0.0663861632870898
"EI2BA_10080.9","~ CRP",0.981340182201078,0.0525086219736028,0.782877622860849,0.00818041806056413,0.10630612027919
"SATB2_10081.17","~ CRP",0.792853799810125,0.107254116599911,0.572669387226638,0.100806888078884,0.24209603203228
"NFL_10082.251","~ CRP",0.965509540485157,0.124596730106854,0.511817614002892,0.0152434304712388,0.290884772117008
"STAR_10085.25","~ CRP",0.752465691334323,0.149516076128225,0.430355549207467,0.123513296935267,0.366172592664292
"CBS_10086.39","~ CRP",0.157854708967097,-0.0916675942928998,0.629972011804904,0.801742458130826,0.200678744814191
"Alpha.crystallin.A.chain_10087.10","~ CRP",0.195647553062451,-0.12570920091138,0.508026223316529,0.708525579391825,0.294113869708736
"APT_10088.37","~ CRP",0.936546429871516,0.121926800175993,0.520973533953735,0.0284706873360912,0.283184338792225
"ASML_10089.7","~ CRP",0.770931773664632,0.036934030710246,0.846359116720213,0.11298405467544,0.0724453233472195
"CHIP_10336.3","~ CRP",0.925513591861425,0.0914451001319947,0.630806528203167,0.0336171989239661,0.200103820815643
"NSE_10339.48","~ CRP + Prednisone",0.0646853815274505,0.261875627385299,0.162131162174381,1.18919385595097,0.79013350421567
"PIAS4_10342.55","~ CRP",0.40570708152813,0.0462787854682601,0.808130479798804,0.391787411714581,0.0925185128866658
"IL.10.Ra_10344.334","~ CRP",0.346983712695209,-0.129728526924789,0.494445087659283,0.459690910375141,0.305881933492043
"STAT3_10346.5","~ CRP",0.818073291090433,0.155763239875389,0.411114926483286,0.0872077861938531,0.386036754862455
"IRF1_10351.51","~ CRP + Age",0.144406529060519,-0.156635889277188,0.408466273723609,0.840413170541638,0.388843796513226
"STAT3_10354.57","~ CRP",0.685209794829873,0.214063195371607,0.256006742757639,0.164176437577278,0.591748596001153
"c.Jun_10356.21","~ CRP",0.611004182165611,-0.00144637294170004,0.993947725425848,0.213955817113859,0.00263645579995429
"OAS1_10361.25","~ CRP + Smoking",0.370257764296714,-0.049182152301802,0.79633641692549,0.43149582556607,0.0989034232814646
"c.Myc_10362.35","~ CRP",0.356048026593777,-0.00244743576995606,0.989759001527232,0.448491416976919,0.00447053979467291
"SMAD3_10363.13","~ CRP",0.677742987521742,0.190455001734763,0.313403920086535,0.168934967286935,0.503895575636084
"SMAD2_10364.6","~ CRP",0.762947033105689,0.188230060125712,0.319196033047815,0.117505611492555,0.495942514677666
"IL.23_10365.132","~ CRP",0.698878794748316,-0.103682278981775,0.585592765178238,0.155598136609458,0.232404297493685
"PDGFRA_10366.11","~ CRP + Methotrexate",0.840670334641758,0.0547335635826538,0.773909483966172,0.0753742775842651,0.11130983119411
"IL.12_10367.62","~ CRP",0.209524509546003,-0.451935914552737,0.0121695092557251,0.67876516726577,1.91472693465636
"STAT1_10370.21","~ CRP",0.852026403032428,0.0720881081332513,0.705015745860339,0.0695469468839814,0.151801183343504
"STAT6_10372.18","~ CRP",0.851117541105226,-0.110357103808928,0.56154743177298,0.0700104588010121,0.25061355465226
"ANGL3_10382.1","~ CRP",0.657072602362346,0.0865694897981944,0.649203913100408,0.182386640998364,0.187618871111991
"ZNRF3_10390.21","~ CRP",0.60515411950926,0.0433863613764938,0.819921223011525,0.218134005961607,0.0862278720734606
"ANGL3_10391.1","~ CRP",0.50098409164577,0.226499055801388,0.228747834254607,0.300176064592136,0.640643009067966
"Mcl.1_10396.6","~ CRP",0.564927252612786,-0.249860942696423,0.182982068970285,0.248007473991122,0.737591466164662
"ANKR1_10398.110","~ CRP",0.707848918321644,0.0338191124575747,0.859182844841085,0.15005942725511,0.0659144030426023
"STX12_10418.36","~ CRP",0.921959114884811,0.171320503896924,0.365355924286873,0.0352883377030083,0.437283846128431
"SCAR5_10419.1","~ CRP + Age",0.463998943826975,-0.0462787854682601,0.808130479798804,0.33348300800253,0.092518512886666
"FAIM1_10420.30","~ CRP",0.481354108386834,0.157080877598998,0.407119358497241,0.31753531710296,0.390278246457143
"NPDC1_10424.31","~ CRP",0.576019575580308,-0.10434976146449,0.583168025905034,0.239562757163512,0.234206295653178
"B4GT5_10425.3","~ CRP",0.254593668116736,0.265687583444593,0.155884917110952,0.59415240168848,0.807195903620473
"GOSR2_10426.21","~ CRP",0.919861330963626,0.22699454908524,0.227703891583521,0.0362776375853161,0.642629546992206
"KI2S2_10428.1","~ CRP",0.234883018710756,-0.221159195939666,0.240202740234477,0.629148380186199,0.619422042470481
"X4F2.CD_10430.31","~ CRP",0.883442451094331,0.162901970519996,0.389731694626906,0.0538217358982498,0.409234274110183
"K1644_10432.3","~ CRP",0.102376238076909,0.116416255793579,0.540119234440416,0.989800833102407,0.267510356578102
"ASPG_10435.2","~ CRP",0.118675573457694,0.0914451001319947,0.630806528203167,0.925638661030202,0.200103820815643
"CSF2R_10438.19","~ CRP",0.311449809969496,0.278785183614086,0.135739780037265,0.506611929773704,0.86729285890674
"Alpha.amylase.2B_10439.57","~ CRP",0.67626799646862,0.0142396262979262,0.940466779333872,0.169881164527859,0.0266565406843603
"ACAM.ECD_10440.26","~ CRP",0.777663437147328,-0.0674157307542443,0.72336570976042,0.109208319481855,0.140642082268893
"TM190_10442.1","~ CRP",0.223902977600909,-0.118144399440606,0.534079392001304,0.649940130864715,0.272394179403613
"ApoM_10445.20","~ CRP",0.195529421981027,0.196484201157098,0.298039433017245,0.708787883574516,0.525726271464615
"PABP3_10447.18","~ CRP + Methotrexate",0.960124929361319,-0.0671932365933392,0.724243372711035,0.0176722538330874,0.14011547017763
"TMM46_10449.31","~ CRP",0.475629822406141,0.203137168906353,0.281647551852146,0.322730922555503,0.550294019403687
"NUCB1_10451.11","~ CRP + Methotrexate",0.462082862595946,-0.0836578045003163,0.660288876506137,0.335280137990768,0.180266018966117
"CEA20_10453.7","~ CRP + Methotrexate",0.100826148227957,0.323327471608417,0.0813602956149544,0.996426823461417,1.08958748211444
"DJC16_10454.99","~ CRP",0.95212936371258,0.0947930574098799,0.61829677931785,0.0213040409750835,0.208803015717085
"IL.31_10455.196","~ CRP + Prednisone",0.99556174566897,0.137723885600255,0.467985279762091,0.00193179945201369,0.329767807222112
"IL.18.Rb_10457.3","~ CRP",0.760534073748905,-0.0064523306662478,0.973005173452265,0.118881323741649,0.0118848505889985
"Chitotriosidase.1_10460.1","~ CRP",0.031861695283847,0.111469574613453,0.557584231053576,1.49673112015973,0.253689516946014
"INSL5_10462.14","~ CRP",0.325263494670819,-0.0126821671715905,0.946968595704414,0.487764676197598,0.0236644232548348
"Alkaline.phosphatase..intestine_10463.23","~ CRP",0.54649771758219,0.132176234979973,0.486265284860757,0.262411647517627,0.313126734198156
"ANTR1_10464.6","~ CRP",0.237466187796528,0.262098121546204,0.161761753646426,0.624398219718188,0.791124153575293
"TXD11.N.term_10470.34","~ CRP",0.00935822623552041,0.325731451565061,0.078992942159608,2.02880645992921,1.10241171020406
"HVEM_10472.53","~ CRP",0.592191674896323,0.146639964396974,0.439376911448364,0.227537702269249,0.357162768294032
"Trefoil.factor.2_10473.2","~ CRP",0.993374689273354,0.102304368513671,0.59061218901717,0.00288690982192459,0.228697594336278
"MMP.10_10479.18","~ CRP + Methotrexate",0.289175101349175,0.18958611481976,0.315658031996682,0.538839103535784,0.500783155465544
"CD59_10480.33","~ CRP",0.439205671445741,0.19512737911377,0.301454866587314,0.357332060494015,0.520777700636061
"MAGE.4_10485.56","~ CRP + Aspirin",0.850785141723228,0.00957168899077332,0.959963283391718,0.0701801033061675,0.0177453775076341
"RPN1.CD_10490.3","~ CRP",0.675304116301038,-0.00289242409176626,0.987897126423367,0.170500603039512,0.00528827783423616
"CaCC_10496.11","~ CRP",0.595290695293555,0.0589675122385403,0.756923008375766,0.225270905646207,0.12094829320541
"T106A_10499.1","~ CRP",0.69688266797208,0.0591834468007557,0.75605957962861,0.156840336596028,0.121443979519432
"RNF43_10505.12","~ CRP",0.729776580807619,0.274557794556889,0.142022029279475,0.136810077651578,0.84764428623324
"PGRC2_10506.53","~ CRP + Methotrexate",0.684836365406148,0.104361370716511,0.583125892579967,0.164413186304186,0.234237674142423
"sperm.protein.10_10507.166","~ CRP",0.752876343212037,0.0682020471740098,0.720266723040059,0.123276348992799,0.142506649549173
"SCIMP_10510.62","~ CRP",0.843998435697045,0.088025820119271,0.643686819232534,0.0736583583136472,0.191325383823005
"Collagen.alpha.3.VI..isoform.3_10511.10","~ CRP",0.124292705440619,0.149310191366266,0.430997939883018,0.905554358726397,0.365524805708354
"IL3RB.ECD_10512.13","~ CRP",0.739880646296925,0.16444147752559,0.385205659118769,0.130838332749111,0.414307341210015
"CSEN_10513.13","~ CRP + Aspirin",0.116959488234929,0.0180220270333128,0.924693068910427,0.931964540670352,0.0340023976380444
"PGD2.synthase_10514.5","~ CRP + Age",0.351366207977085,0.0936908874165549,0.62240376032818,0.454240008335219,0.205927792167395
"MXRA8.ECD_10521.10","~ CRP + Smoking",0.4555362073244,0.374680166964183,0.0413505685673107,0.341477098347942,1.38351851455284
"DHX9_10527.22","~ CRP",0.83164940272257,0.0313716766876186,0.869283491311095,0.0800597200469996,0.0608385680460225
"DPEP1_10528.2","~ CRP + Age + Sex",0.10683104168068,0.184892647712135,0.328007463761936,0.971302536897055,0.484116273868373
"PSB6_10530.8","~ CRP",0.719814027963403,0.173545445505975,0.359067441413769,0.142779693932436,0.444823972917355
"RASN_10531.18","~ CRP",0.1243921523933,-0.21272808188696,0.259054811211184,0.905207017392711,0.586608337509015
