Protein,Adjusted_linear_model,linear_modeling_pvalue,adjusted_pvalues,fold_change,coefficient,Target,Entrez,Uniprot,,
PRKRA_22010.36,~ Study_group + Prednisone + Methotrexate,0.0008263,0.99995088,1.496414447,-1585.532457,PRKRA,8575,O75569,,Irrelevant
VSIG4_17678.28,~ Study_group + Age + Prednisone + Aspirin,0.008052212,0.99995088,1.488302869,-5248.032597,VSIG4,11326,Q9Y279,,Possible biomarker
MOS1_7956.11,~ Study_group + Prednisone,0.007910905,0.99995088,1.314999799,-2850.245787,MOS1,440574,Q5TGZ0,,
IL.1.R4_4234.8,~ Study_group + Prednisone + Aspirin,0.007618421,0.99995088,1.298786677,-4225.732123,IL-1 R4,9173,Q01638,,
Renin_3396.54,~ Study_group + Age + Prednisone,0.006037308,0.99995088,1.291571801,-13854.33413,Renin,5972,P00797,,
PUF60_10575.31,~ Study_group,0.002473833,0.99995088,1.180173277,-3988.322426,PUF60,22827,Q9UHX1,,
SIG14_22577.24,~ Study_group + Prednisone,0.00284014,0.99995088,1.072872021,-7023.428407,SIG14,100049587,Q08ET2,,
IGF.I_2952.75,~ Study_group + Prednisone + Methotrexate + Aspirin,0.000733068,0.99995088,1.07170335,-13825.93381,IGF-I,3479,P05019,,
Trefoil.factor.2_9191.8,~ Study_group + Age,0.007196977,0.99995088,1.0660192,-5615.079327,Trefoil factor 2,7032,Q03403,,
MATN3_19361.78,~ Study_group + Prednisone + Aspirin,0.001769359,0.99995088,0.962948285,-3526.580149,MATN3,4148,O15232,,
HCC.1_2900.53,~ Study_group + Prednisone + Methotrexate,0.001277135,0.99995088,0.955387013,-3090.248588,HCC-1,6358,Q16627,,
HE4_11388.75,~ Study_group + Age + Prednisone,0.008839498,0.99995088,0.943585376,-2752.931833,HE4,10406,Q14508,,
NSE_11083.23,~ Study_group,0.006428772,0.99995088,0.930485958,-368.9817778,NSE,2026,P09104,,
IGFBP.3_2571.12,~ Study_group + Prednisone + Aspirin,0.003428036,0.99995088,0.869679739,-13248.81105,IGFBP-3,3486,P17936,,
REG1B_16770.3,~ Study_group + Age + Prednisone + Aspirin,0.002877666,0.99995088,0.859341427,-13446.2203,REG1B,5968,P48304,,
PAP1_15304.1,~ Study_group + Age,0.009203533,0.99995088,0.829922846,-5985.61214,PAP1,5068,Q06141,,
Spondin.1_5496.49,~ Study_group + Age + Prednisone + Aspirin,0.006181458,0.99995088,0.825231328,-5407.503003,Spondin-1,10418,Q9HCB6,,
Galectin.3_3066.12,~ Study_group + Prednisone + Aspirin,0.008455274,0.99995088,0.811136061,-3548.435541,Galectin-3,3958,P17931,,
AUGN_6362.6,~ Study_group,0.003879543,0.99995088,0.794147071,-930.7156481,AUGN,84417,Q9H1Z8,,
SLIK1_10743.13,~ Study_group + Sex + Prednisone + Methotrexate + Aspirin,0.00012069,0.875965746,0.787241191,-2584.578268,SLIK1,114798,Q96PX8,,
SUMF1_6941.11,~ Study_group,0.005068337,0.99995088,0.786622484,-975.767,SUMF1,285362,Q8NBK3,,
SLPI_4413.3,~ Study_group + Age + Prednisone + Aspirin,0.003444035,0.99995088,0.78376299,-3886.571886,SLPI,6590,P03973,,
L.plastin_17231.1,~ Study_group + Prednisone + Aspirin,0.008712338,0.99995088,0.779836795,-11877.63181,L-plastin,3936,P13796,,
NDUB4_10677.9,~ Study_group + Prednisone,0.006247378,0.99995088,0.748856683,-1243.149065,NDUB4,4710,O95168,,
sICAM.5_5124.62,~ Study_group + Age + Prednisone + Aspirin,0.003842481,0.99995088,0.730214242,-3305.399552,sICAM-5,7087,Q9UMF0,,
IGFBP.6_2686.67,~ Study_group + Age + Prednisone + Aspirin,0.002157838,0.99995088,0.711941319,-9697.750093,IGFBP-6,3489,P24592,,
TFPI_3336.50,~ Study_group + Prednisone + Aspirin,0.007284565,0.99995088,0.707031104,-12823.9231,TFPI,7035,P10646,,
Endostatin_2201.17,~ Study_group + Prednisone + Aspirin,0.001594233,0.99995088,0.705797863,-10861.93172,Endostatin,80781,P39060,,
UPK3L_6633.43,~ Study_group + Prednisone,0.006473751,0.99995088,0.673877279,-909.2871111,UPK3L,100134938,B0FP48,,
IGFALS_6605.17,~ Study_group + Prednisone + Aspirin,0.004120024,0.99995088,0.667695167,-13532.82705,IGFALS,3483,P35858,,
CJ035_8220.15,~ Study_group + Prednisone,0.008690981,0.99995088,0.664775556,-4679.79625,CJ035,219738,Q96D05,,
CD59_11514.196,~ Study_group + Age + Prednisone + Aspirin,0.009406844,0.99995088,0.662780832,-2727.322074,CD59,966,P13987,,
IGFBP.5_2685.21,~ Study_group + Prednisone + Aspirin,0.000787537,0.99995088,0.656182617,-23816.24579,IGFBP-5,3488,P24593,,
CEP76_23675.16,~ Study_group + Prednisone,0.003455741,0.99995088,0.65404273,-2743.130333,CEP76,79959,Q8TAP6,,
