"Protein","Adjusted_linear_model","linear_modeling_pvalue","adjusted_pvalues","fold_change","coefficient","Target","Entrez","Uniprot"
"Cysteine.rich.protein.1_15529.33","~ Study_group + Prednisone + Methotrexate + Aspirin",1.8410092681979e-07,0.00134191165558945,-1.69138308060934,53943.0800282062,"Cysteine-rich protein 1","1465","P21291"
"NEK7_12703.6","~ Study_group + Prednisone + Aspirin",5.39699918333765e-06,0.0393333300481648,-1.74586165346337,23360.3902984027,"NEK7","140609","Q8TDX7"
"CX038_24707.6","~ Study_group + Prednisone + Aspirin",8.247287198172e-06,0.0600897345258812,-2.51686003413447,1442.66670844304,"CX038","159013","Q8TB03"
"KS6A6_12688.115","~ Study_group + Prednisone + Methotrexate + Aspirin",8.95077944827446e-06,0.0652064282806794,-1.29002928165226,1709.82398919077,"KS6A6","27330","Q9UK32"
"S100A6_13090.17","~ Study_group + Prednisone + Aspirin",9.65644924387231e-06,0.0703375762923659,-0.837419785865086,1232.0418980165,"S100A6","6277","P06703"
"RNF31_23183.6","~ Study_group + Prednisone + Aspirin",1.20690740453861e-05,0.0878990662725469,-1.50093175652304,2128.42564595401,"RNF31","55072","Q96EP0"
"KPRB_19150.20","~ Study_group + Prednisone + Aspirin",1.28364348829475e-05,0.093474918817624,-0.882493016769653,13635.0466190978,"KPRB","5636","O60256"
"Glutathione.peroxidase_15591.28","~ Study_group + Age + Prednisone + Aspirin",1.9706134842011e-05,0.143480367784682,-1.21177516518982,4287.37163658432,"Glutathione peroxidase","2876","P07203"
"DEST_18883.4","~ Study_group + Prednisone + Aspirin",2.26964265402517e-05,0.165229985213032,-1.15886211867692,2905.7004305775,"DEST","11034","P60981"
"KS6B1_15608.5","~ Study_group + Prednisone + Aspirin",2.2991889505323e-05,0.167357963709246,-0.93669255237924,696.435510619625,"KS6B1","6198","P23443"
"PKHF2_20994.37","~ Study_group + Prednisone + Aspirin",2.76833355627851e-05,0.20147931622595,-1.70540715934912,6931.01034096892,"PKHF2","79666","Q9H8W4"
"RABL6_25276.32","~ Study_group + Prednisone + Aspirin",2.9321491475907e-05,0.213372493470175,-0.791876125782371,2565.5373255222,"RABL6","55684","Q3YEC7"
"FAH2A_23389.28","~ Study_group + Prednisone + Aspirin",3.47254290529109e-05,0.252627496359926,-1.47481643023631,1415.47899183781,"FAH2A","51011","Q96GK7"
"S100A4_9750.7","~ Study_group + Prednisone + Aspirin",4.25036289641032e-05,0.309171397084887,-0.691836155061046,458.217721607864,"S100A4","6275","P26447"
"AIP_3839.60","~ Study_group + Prednisone + Aspirin",5.1954715895296e-05,0.377814693990592,-1.25451937595355,2130.93040925048,"AIP","9049","O00170"
"GLRX3_16596.25","~ Study_group + Prednisone + Aspirin",5.7834997072394e-05,0.420518263713377,-1.2939936933384,7212.56771730735,"GLRX3","10539","O76003"
"MBNL1_24408.30","~ Study_group + Prednisone + Methotrexate + Aspirin",6.73689032574304e-05,0.489771926681519,-2.10179459358518,11333.8619173984,"MBNL1","4154","Q9NR56"
"VPS25_18189.12","~ Study_group + Prednisone + Aspirin",7.17604544022782e-05,0.52162674305016,-1.29372253151128,1865.05262796209,"VPS25","84313","Q9BRG1"
"HSP.60_2682.68","~ Study_group + Prednisone + Methotrexate + Aspirin",7.43380792377087e-05,0.540289159899667,-1.5457636616355,19853.9387784972,"HSP 60","3329","P10809"
"OSBL1_25266.14","~ Study_group + Prednisone + Aspirin",9.09300095044249e-05,0.660697449059151,-1.5799230681052,1418.06302308232,"OSBL1","114876","Q9BXW6"
"NAGK_3894.15","~ Study_group + Prednisone + Aspirin",9.49259999142934e-05,0.689637389377342,-0.669429901780606,602.422049060909,"NAGK","55577","Q9UJ70"
"UB2Q1_21727.15","~ Study_group + Prednisone + Aspirin",9.94641676029189e-05,0.7224082493,-1.38013363442092,3048.6772639986,"UB2Q1","55585","Q7Z7E8"
"TIPRL_23387.18","~ Study_group + Prednisone + Aspirin",0.000112872348667904,0.819566123677651,-0.476105416799105,8973.97452220467,"TIPRL","261726","O75663"
"PYRG1_23705.42","~ Study_group + Prednisone + Aspirin",0.000116210287510492,0.84368668732617,-1.14041530603455,10941.7362041425,"PYRG1","1503","P17812"
"RBG1L_25286.33","~ Study_group + Prednisone + Aspirin",0.000117131318235171,0.850256239069107,-0.798319915859331,2807.46677479375,"RBG1L","9910","Q5R372"
"WWP1_11307.33","~ Study_group + Prednisone + Aspirin",0.000128238646520254,0.930499619150966,-1.4783447829109,5544.89754256626,"WWP1","11059","Q9H0M0"
"CN37_6609.22","~ Study_group + Prednisone + Aspirin",0.000147296915394862,0.999950880216876,-1.04330526735689,2884.14552931367,"CN37","1267","P09543"
"CIAO1_21178.8","~ Study_group + Prednisone + Aspirin",0.000149802222347108,0.999950880216876,-1.41316779118526,3316.73446234861,"CIAO1","9391","O76071"
"CTGF_2975.19","~ Study_group + Prednisone + Aspirin",0.000159549735578296,0.999950880216876,-0.393979197265994,407.804495085132,"CTGF","1490","P29279"
"RILP_24244.81","~ Study_group + Prednisone + Aspirin",0.000165644359530619,0.999950880216876,-0.807414896412622,2182.00939450588,"RILP","83547","Q96NA2"
"C1TC_12575.30","~ Study_group + Prednisone + Aspirin",0.000196166019647431,0.999950880216876,-0.803178048328648,7532.0280135159,"C1TC","4522","P11586"
"STAT3_10346.5","~ Study_group + Prednisone + Aspirin",0.000210415990094571,0.999950880216876,-1.16394835766521,16061.8227575039,"STAT3","6774","P40763"
"SHIP_25264.102","~ Study_group + Prednisone + Aspirin",0.000225379010569888,0.999950880216876,-1.02259199466571,999.199463752852,"SHIP","3635","Q92835"
"HPRT_19290.5","~ Study_group + Age + Prednisone + Aspirin",0.000229772075189295,0.999950880216876,-0.560312196005129,873.757111749323,"HPRT","3251","P00492"
"X6.Phosphogluconate.dehydrogenase_4187.49","~ Study_group + Prednisone + Aspirin",0.000245445268453993,0.999950880216876,-1.78298296685512,11387.5583702826,"6-Phosphogluconate dehydrogenase","5226","P52209"
"RPS6KA3_3469.74","~ Study_group + Prednisone + Aspirin",0.000256823044762778,0.999950880216876,-1.36160655405904,2670.8124175882,"RPS6KA3","6197","P51812"
"BIEA_11382.5","~ Study_group + Age + Prednisone + Aspirin",0.00026163979801788,0.999950880216876,-0.766753163796734,2466.99065891493,"BIEA","644","P53004"
"GMEB2_12804.5","~ Study_group + Prednisone + Aspirin",0.000265669716005707,0.999950880216876,-0.566194667996629,191.473199052133,"GMEB2","26205","Q9UKD1"
"RAGP1_25036.10","~ Study_group + Prednisone + Aspirin",0.000266854613983843,0.999950880216876,-1.12775841101526,1283.88590898719,"RAGP1","5905","P46060"
"PCBP3_24470.20","~ Study_group + Prednisone + Aspirin",0.000270073176760155,0.999950880216876,-1.16267335729367,811.875701070739,"PCBP3","54039","P57721"
"AP2A2_13621.31","~ Study_group + Prednisone + Aspirin",0.000285284965250886,0.999950880216876,-0.671028435984942,12542.5915474811,"AP2A2","161","O94973"
"ORN_13590.1","~ Study_group + Age + Prednisone + Aspirin",0.000299619227695784,0.999950880216876,-0.714601117702649,1178.94474984244,"ORN","25996","Q9Y3B8"
"UBS3B_12558.3","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00030700031666815,0.999950880216876,-1.86497802904415,44209.5560930757,"UBS3B","84959","Q8TF42"
"HSP.40_3852.19","~ Study_group + Prednisone + Aspirin",0.000327437604172265,0.999950880216876,-1.29803032513689,1207.28313033175,"HSP 40","3337","P25685"
"Fatty.acid.synthase_8403.18","~ Study_group + Prednisone + Aspirin",0.000348640004965021,0.999950880216876,-1.14846627525044,2026.11040635422,"Fatty acid synthase","2194","P49327"
"ARI3A_3875.62","~ Study_group + Prednisone + Aspirin",0.000367378218350575,0.999950880216876,-0.529010166255459,188.809501228717,"ARI3A","1820","Q99856"
"DCTD_17756.69","~ Study_group + Prednisone + Methotrexate + Aspirin",0.00036752250181191,0.999950880216876,-1.3482006392108,3162.82719669622,"DCTD","1635","P32321"
"ARL8A_23281.29","~ Study_group + Prednisone + Aspirin",0.000375092297185306,0.999950880216876,-1.7015907297064,24649.2479685799,"ARL8A","127829","Q96BM9"
"SMAD2_10364.6","~ Study_group + Prednisone + Aspirin",0.000382208089666433,0.999950880216876,-1.44181721772048,4582.92648104266,"SMAD2","4087","Q15796"
"KPRA_9478.69","~ Study_group + Prednisone + Aspirin",0.000389439603527702,0.999950880216876,-0.573340317419948,477.902999122346,"KPRA","5635","Q14558"
"SHLB2_18222.34","~ Study_group + Age + Prednisone + Aspirin",0.000401867652667712,0.999950880216876,-0.885996254672099,4071.84630278908,"SHLB2","56904","Q9NR46"
"GSH0_18214.2","~ Study_group + Age + Prednisone + Aspirin",0.000409129768721499,0.999950880216876,-0.987921780573522,2326.81535969036,"GSH0","2730","P48507"
"MTL26_25236.11","~ Study_group + Prednisone + Aspirin",0.000410238704611571,0.999950880216876,-0.590480758214455,787.171641214673,"MTL26","84326","Q96S19"
"SRCN1_5488.74","~ Study_group + Prednisone + Aspirin",0.000419770131308962,0.999950880216876,-1.5794754037548,73313.249265666,"SRCN1","6714","P12931"
"HDHD2_13472.35","~ Study_group + Prednisone + Aspirin",0.00042113432512219,0.999950880216876,-1.22595716705614,3267.54801746533,"HDHD2","84064","Q9H0R4"
"GCNL2_19797.4","~ Study_group + Prednisone + Methotrexate + Aspirin",0.000429495313454225,0.999950880216876,-1.25349889704289,1499.18343798007,"GCNL2","2648","Q92830"
"CBL_12016.60","~ Study_group + Prednisone + Aspirin",0.000430634621808376,0.999950880216876,-0.937693442398901,12035.3418608917,"CBL","867","P22681"
"PP1G_19295.32","~ Study_group + Prednisone + Aspirin",0.000434170773998326,0.999950880216876,-1.48986134753978,29161.835832719,"PP1G","5501","P36873"
"EF.1.beta_5882.34","~ Study_group + Age + Prednisone + Aspirin",0.000464686984500071,0.999950880216876,-0.66557961725329,183.353663830267,"EF-1-beta","1933","P24534"
"HNRPF_9764.79","~ Study_group",0.000467561329272424,0.999950880216876,-0.345264917240756,5935.22774074076,"HNRPF","3185","P52597"
"HDAC2_18897.31","~ Study_group + Prednisone + Aspirin",0.000478642865008085,0.999950880216876,-0.698796050566214,1452.0028062138,"HDAC2","3066","Q92769"
"AAMDC_24216.30","~ Study_group + Prednisone + Aspirin",0.000492394073557936,0.999950880216876,-0.866753811274866,785.546988063893,"AAMDC","28971","Q9H7C9"
"PELI2_12702.13","~ Study_group + Prednisone",0.000499015523502154,0.999950880216876,-0.0207618627511458,-286.247851851853,"PELI2","57161","Q9HAT8"
"MBNL2_24446.65","~ Study_group + Prednisone + Methotrexate + Aspirin",0.000505193804909322,0.999950880216876,-2.1221728613612,2974.22743601571,"MBNL2","10150","Q5VZF2"
"GUAA_18184.28","~ Study_group + Age + Prednisone + Aspirin",0.000536678698179474,0.999950880216876,-1.09281487761623,6836.80585981376,"GUAA","8833","P49915"
"VAV_5275.28","~ Study_group + Prednisone + Aspirin",0.000538324584031252,0.999950880216876,-1.51898787733756,7306.25555072846,"VAV","7409","P15498"
